Sample,Dataset,Number,Latitude,Longitude,Date,Time,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,State.zone,Depth,Observer,Successful.count,Successful.length,FishnClipz,Maxn.checker,Left.cam,Right.cam,Rear.cam,Time.out,Video.notes,Raw.hdd.number,Con.hdd.number,Maxn.analyst,Maxn.complete.yyyymmdd,Notes,Habitat.image.saved,Habitat.backwards.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd
FH14,FH,14,-33.76618897,114.8713721,20201017,11:24:00,MBH,C.FH.10,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.4,Daphne,Yes,No,Y,,372,371,563,12:35,,RAW1,CON1/CON2,Daphne,20210305,L didn't record,,Yes,,,,
FH15,FH,15,-33.68868897,114.8063721,20201012,10:29:00,MBH,C.FH.4,South-west,Fished,Special Purpose Zone (Mining Exclusion),,48,Daphne,Yes,Yes,Y,Rachel,1203,1204,439,11:31,,RAW2,,Daphne,20210104,,Yes,Yes,,,Rachel,20210204
FH16,FH,16,-33.90118897,114.8563721,20201013,8:02:00,MBH,C.FH.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.1,Hayley ,Yes,check calibration,Y,Rachel,372,371,563,9:15,,RAW2,CON1/CON2,Hayley ,20210110,,Yes,Yes,,,Rachel,check calibration 
FH17,FH,17,-33.83368897,114.8763721,20201012,15:35:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.9,Daphne,Yes,Yes,Y,Rachel,1201,1202,420,16:50,,RAW2,,Daphne,20210105,,Yes,Yes,,,Rachel,20210203
FH18,FH,18,-33.79118897,114.8213721,20201012,13:19:00,MBH,C.FH.12,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.5,Daphne,Yes,Yes,Y,Rachel,375,376,561,14:39,,RAW2,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210125
FH2,FH,2,-33.91868897,114.8913721,20201029,12:43:00,MBH,C.FH.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.9,Daphne,Yes,No,Y,,375,376,561,13:49,,RAW4,CON3,Daphne,20210304,R fail. FHWY.,,Yes,,,,
FH20,FH,20,-33.78618897,114.8738721,20201017,11:40:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.1,Daphne,Yes,Yes,Y,Brooke,375,376,561,12:56,,RAW1,BU1,Daphne,20201209,tangled,Yes,Yes,,,Rachel,20210126
FH21,FH,21,-33.79368897,114.8088721,20201012,13:26:00,MBH,C.FH.12,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45,Daphne,Yes,Yes,Y,Rachel ,1203,1204,439,14:53,,RAW2,,Daphne,20210105,light not on,Yes,Yes,,,Rachel,20210204
FH23,FH,23,-33.94618897,114.8288721,20201013,9:51:00,MBH,C.FH.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.2,Daphne,Yes,Yes,Y,Rachel,1203,1204,439,10:56,,RAW2,,Daphne,20210107,,Yes,Yes,,,Rachel,20210204
FH24,FH,24,-33.66868897,114.8438721,20201012,7:55:00,MBH,C.FH.1,South-west,Fished,Special Purpose Zone (Mining Exclusion),,47.6,Brooke Gibbons,Yes,Yes,Y,Claude,1201,1202,420,9:02,,RAW2,,Brooke Gibbons,20210211,,Yes,Yes,,,Ramesh/Claude,20210211
FH25,FH,25,-33.87868897,114.8163721,20201013,7:34:00,MBH,C.FH.16,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.4,Hayley ,Yes,Yes,Y,Claude,373,374,440,8:38,,RAW2,CON1/CON2,Hayley  ,20210110,,Yes,Yes,,,Claude,20210208
FH26,FH,26,-33.81118897,114.8288721,20201012,15:10:00,MBH,C.FH.13,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.1,Daphne,Yes,check calibration,Y,Rachel ,372,371,563,16:15,,RAW2,BU1,Daphne,20201222,Habitat images for 439 saved in 563 folder,Yes,No,,,Rachel,check calibration
FH27,FH,27,-33.83618897,114.8713721,20201012,15:39:00,MBH,C.FH.14,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.9,Daphne,Yes,Yes,Y,Rachel,373,374,440,16:55,,RAW2,BU1,Daphne,20201222,,Yes,Yes,,,Rachel,20210126
FH28,FH,28,-33.76368897,114.9338721,20201017,9:24:00,MBH,C.FH.9,South-west,Fished,,,44.7,Daphne,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,,,RAW1,,Daphne,20201214,tangled,Yes,Yes,,,Brooke Gibbons,20210218
FH30,FH,30,-33.75118897,114.8888721,20201017,11:12:00,MBH,C.FH.8,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46.2,Daphne,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,12:19,,RAW1,,Daphne,20201214,,Yes,Yes,,,Brooke Gibbons,20210219
FH31,FH,31,-33.67368897,114.8238721,20201012,8:27:00,MBH,C.FH.2,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.4,Daphne,Yes,Yes,Y,Rachel,375,376,561,9:44,,RAW2,BU1,Daphne,20201222,,Yes,Yes,,,Rachel,20210126
FH32,FH,32,-33.69618897,114.9463721,20201017,8:50:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,42.9,Daphne,Yes,No,Y,,375,376,561,9:59,,RAW1,CON1/CON2,Daphne,20210305,"L375 card didn't record, always was not on the bottom properly",,Yes,,,,
FH33,FH,33,-33.70868897,114.8263721,20201012,10:54:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.3,Daphne,Yes,No,Y,,1201,1202,420,12:00,,RAW2,,Daphne,20210311,left cuts out @ 30mins,,Yes,,,,
FH34,FH,34,-33.78618897,114.8838721,20201017,11:51:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.8,Daphne,Yes,Yes,Y,Brooke/Rachel,378,377,562,13:12,,RAW1,BU1,Daphne,20201211,,Yes,Yes,,,Rachel,20210126
FH35,FH,35,-33.88368897,114.9313721,20201029,15:09:00,MBH,C.FH.17,South-west,Fished,,,45.2,Rachel,Yes,Yes,Yes,Claude,378,377,562,16:29,,RAW4,CON3,Rachel,20201220,shit vis,Yes,Yes,,,Claude,20210125
FH36,FH,36,-33.69868897,114.9338721,20201017,8:59:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,44.4,,No,No,NA,,373,374,440,10:11,,RAW1,CON1/CON2,,,landed on side so unusable,Yes,Yes,,,,
FH37,FH,37,-33.71118897,114.8138721,20201012,11:03:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.2,Daphne,Yes,Yes,Y,Claude,373,374,440,12:07,,RAW2,BU5.5,Daphne,20210119,,Yes,Yes,,,Claude,20210201
