Sample,Dataset,Number,Latitude,Longitude,Date,Time,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,State.zone,Depth,Observer,Successful.count,Successful.length,FishnClipz,Maxn.checker,Left.cam,Right.cam,Rear.cam,Time.out,Video.notes,Raw.hdd.number,Con.hdd.number,Maxn.analyst,Maxn.complete.yyyymmdd,Notes,Habitat.image.saved,Habitat.backwards.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd
FH96,FH,96,-33.81868897,114.8338721,20201012,15:20:00,MBH,C.FH.13,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.9,Daphne,Yes,Yes,Y,Claude,378,377,562,16:30,,RAW2,CON1/CON2,Daphne,20210114,,Yes,Yes,,,Claude,20210210
FH99,FH,99,-33.95368897,114.8363721,20201013,10:04:00,MBH,C.FH.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.5,Hayley ,Yes,Yes,Y,Claude,372,371,563,11:17,,RAW2,CON1/CON2,Hayley ,20210107,,Yes,Yes,,,Claude,20210210
FHA,FH,A,-33.683135,114.937827,20201017,6:55:00,Captains pick,C.FH.3,South-west,No-take,,Injidup Sanctuary Zone,44.6,Daphne,Yes,Yes,Y,Brooke/Rachel,372,371,563,8:06,,RAW1,BU1,Daphne,20201125,moved inside,Yes,Yes,,,Rachel,20210121
FHB,FH,B,-33.681655,114.957127,20201017,7:02:00,Captains pick,C.FH.A,South-west,No-take,,Injidup Sanctuary Zone,41.3,Daphne,Yes,Yes,Y,Brooke,373,374,440,8:15,,RAW1,BU1,Daphne,20201209,,Yes,Yes,,,Rachel,20210121
FHC,FH,C,-33.680718,114.965092,20201017,7:07:00,Captains pick,C.FH.A,South-west,No-take,,Injidup Sanctuary Zone,36.2,Daphne,Yes,Yes,Y,Claude,1203,1204,439,8:22,,RAW1,,Daphne,20201125,dropped on top of a last min surprise ledge,Yes,Yes,,,Claude,20210225
FHC01,FH,C01,-33.669869,114.809825,20201012,8:38:00,Captains pick,C.FH.2,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.8,Daphne,Yes,Yes,Y,Rachel ,1203,1204,439,10:01,,RAW2,,Daphne,20210106,"captains pick #1, snagged",Yes,Yes,,,Rachel,20210208
FHC02,FH,C02,-33.72358,114.813293,20201012,11:13:00,Captains pick,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42,Daphne,Yes,Yes ,Y,Rachel ,1205,1206,1209,,,RAW2,,Daphne,20210107,captains pick No2,Yes,Yes,,,Rachel,20210210
FHC03,FH,C03,-33.948622,114.819555,20201013,9:56:00,Captains pick,C.FH.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.5,Claude,Yes,Yes,Y,Brooke Gibbons,378,377,562,11:03,,RAW2,CON1/CON2,Claude,20210115,,Yes,Yes,,,Brooke Gibbons,20210302
FHD,FH,D,-33.686897,114.958507,20201017,7:12:00,Captains pick,C.FH.A,South-west,No-take,,Injidup Sanctuary Zone,39.5,Daphne,Yes,Yes,Y,Rachel,375,376,561,8:27,,RAW1,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210128
FHE,FH,E,-33.687267,114.951172,20201017,7:16:00,Captains pick,C.FH.A,South-west,No-take,,Injidup Sanctuary Zone,42.3,Daphne,Yes,Yes,Y,Rachel,369,370,1207,8:33,,RAW1,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210128
IO1,IO,1,-34.07868897,114.7788721,20201015,12:07:00,MBH,C.IO.43,South-west,No-take,National Park Zone,,64.6,Hayley,Yes,Yes,Y,Daphne,375,376,561,13:11,,RAW2,CON1,Hayley ,20201218,,Yes,Yes,,,Daphne,20210119
IO100,IO,100,-34.07618897,114.9088721,20201029,10:21:00,MBH,C.IO.39,South-west,No-take,National Park Zone,,43.6,Rachel,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,11:23,,RAW4,,Rachel,20210107,,Yes,Yes,,,Brooke Gibbons,20210216
IO101,IO,101,-34.07868897,114.8963721,20201029,10:10:00,MBH,C.IO.39,South-west,No-take,National Park Zone,,43.5,Rachel,Yes,Yes,Y,Brooke Gibbons/Claude,367,368,1208,11:12,,RAW4,CON3,Rachel,20201204,very stong surge,Yes,Yes,,,Claude,20210219
IO102,IO,102,-34.07118897,114.9113721,20201029,10:26:00,MBH,C.IO.2,South-west,No-take,National Park Zone,,45.2,Rachel,Yes,Yes,Y,Brooke Gibbons/Claude,372,371,563,11:28,,RAW4,CON3,Rachel,20201207,strong surge,Yes,Yes,,,Claude,20210120
IO105,IO,105,-34.06368897,114.6688721,20201023,9:45:00,MBH,C.IO.30,South-west,No-take,National Park Zone,,139,Rachel,Yes,Yes,Y,Brooke/Claude - check holocentridae with Glenn,372,371,563,11:04,,RAW4,CON3,Rachel,20201207,light turned off when it hit the bottom,Yes,Yes,,,Claude,20210128
IO107,IO,107,-34.06368897,114.6763721,20201023,9:50:00,MBH,C.IO.30,South-west,No-take,National Park Zone,,137,Rachel,Yes,Yes,Y,Brooke Gibbons/Claude,373,374,440,11:12,,RAW4,CON3,Rachel,20201208,,Yes,Yes,,,Claude,20210125
IO108,IO,108,-34.05118897,114.6688721,20201023,10:04:00,MBH,C.IO.30,South-west,No-take,National Park Zone,,138,Rachel,Yes,Yes,Y,Brooke/Claude - exported cant id video of gerres,375,376,561,11:27,,RAW4,CON3,Rachel,20201208,filmed 106 but was 108,Yes,Yes,,,Claude,20210120
IO109,IO,109,-34.05618897,114.6738721,20201023,9:57:00,MBH,C.IO.30,South-west,No-take,National Park Zone,,138,Rachel,Yes,Yes,Y,Brooke Gibbons,1203,1204,439,11:19,,RAW4,,Rachel ,20210105,knot in rope,Yes,Yes,,,Brooke Gibbons,20210216
IO110,IO,110,-34.14118897,114.7288721,20201022,8:00:00,MBH,C.IO.68,South-west,No-take,National Park Zone,,128,Brooke Gibbons,Yes,Yes,Y,Claude,373,374,440,9:17,,RAW3,BU5.5,Brooke Gibbons,20201215,Baby sharks,Yes,Yes,,,Claude,20210127
IO113,IO,113,-34.05868897,114.7388721,20201023,7:30:00,MBH,C.IO.31,South-west,No-take,National Park Zone,,111,Rachel,Yes,Yes,Y,Brooke/Claude,367,368,1208,8:51,,RAW4,CON3,Rachel,20201208,,Yes,Yes,,,Claude,20210119
IO115,IO,115,-34.05368897,114.7363721,20201023,7:34:00,MBH,C.IO.31,South-west,No-take,National Park Zone,,112,Rachel,Yes,Yes,Y,Brooke/Claude,378,377,562,8:58,,RAW4,CON3,Rachel,20201208,,Yes,Yes,,,Claude,20210120
IO117,IO,117,-34.06368897,114.7388721,20201023,7:25:00,MBH,C.IO.31,South-west,No-take,National Park Zone,,115,Rachel,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,8:43,,RAW4,,Rachel,20210106,,Yes,Yes,,,Brooke Gibbons,20210216
IO119,IO,119,-34.07618897,114.9038721,20201029,10:17:00,MBH,C.IO.39,South-west,No-take,National Park Zone,,43.8,Rachel,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,11:18,,RAW4,,Rachel,20210107,,Yes,Yes,,,Brooke Gibbons,20210216
IO122,IO,122,-34.11618897,114.8263721,20201015,12:35:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,57.4,Brooke Gibbons,Yes,Yes,Y,Claude,1201,1202,420,13:48,,RAW2,,Brooke Gibbons,20210115,,Yes,Yes,,,Claude,20210223
IO123,IO,123,-34.10618897,114.8188721,20201015,12:42:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,49.1,Hayley ,Yes,Yes,Y,Daphne,372,371,563,14:02,,RAW2,CON1,Hayley ,20201220,,Yes,Yes,,,Daphne,20210119
IO125,IO,125,-34.10868897,114.8263721,20201015,12:38:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,55.8,Hayley ,Yes,Yes,Yes,Daphne,378,377,562,13:55,,RAW2,CON1,Hayley ,20201220,,Yes,Yes,,,Daphne,20210120
IO126,IO,126,-34.11368897,114.8188721,20201015,12:31:00,MBH,C.IO.59,South-west,No-take,National Park Zone,,58.2,Brooke Gibbons,Yes,Yes,Y,Claude,1205,1206,1209,13:41,,RAW2,,Brooke Gibbons,20210115,,Yes,Yes,,,Claude,20210223
IO130,IO,130,-33.98118897,114.8763721,20201013,12:24:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.1,Daphne ,Yes,No,Y,,367,368,1208,13:30,,RAW2,CON1,Daphne,20210305,R camera (368) flooded (battery 27) - No backwards habitat ,,No (stopped working ),,,,
IO132,IO,132,-33.99118897,114.8713721,20201013,12:47:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.6,Hayley ,Yes,Yes,Y,Daphne,378,377,562,14:08,,RAW2,CON1,Hayley ,20210107,,Yes,Yes,,,Daphne,20210120
IO133,IO,133,-33.99118897,114.8663721,20201013,12:50:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,40.8,Daphne,Yes,Yes,Y,Rachel,1203,1204,439,14:15,,RAW2,,Daphne,20210108,,Yes,Yes,,,Rachel,20210210
IO134,IO,134,-33.98368897,114.8613721,20201013,12:14:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.2,Claude,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,13:17,,RAW2,,Claude,20210118,,Yes,Yes,,,Brooke Gibbons,20210127
IO145,IO,145,-33.98618897,114.8238721,20201013,10:24:00,MBH,C.IO.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.5,Hayley ,Yes,Yes,Y,Daphne,373,374,440,11:50,,RAW2,CON1,Hayley ,20210105,in/out,Yes,Yes,,,Daphne,20210120
IO146,IO,146,-33.97618897,114.8213721,20201013,10:17:00,MBH,C.IO.33,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.7,Claude,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,11:37,,RAW2,,Claude,20210115,in/out,Yes,Yes,,,Brooke Gibbons,20210120
IO147,IO,147,-33.98118897,114.8313721,20201013,10:28:00,MBH,C.IO.33,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44,Claude,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,11:57,,RAW2,,Claude,20210118,in/out,Yes,Yes,,,Brooke Gibbons,20210121
IO148,IO,148,-34.01118897,114.5963721,20201123,10:31,MBH,C.IO.46,South-west,Fished,Special Purpose Zone (Mining Exclusion),,140,Rachel,Yes,Yes,Y,Claude,1205,1206,1209,11:38,,RAW5.5,,Rachel ,20210112,,Yes,Yes,,,Claude,20210125
IO15,IO,15,-34.06118897,114.8663721,20201016,7:59:00,MBH,C.IO.35,South-west,No-take,National Park Zone,,40.8,Brooke Gibbons,Yes,Yes,Y,Claude,1205,1206,1209,9:16,,RAW2,,Brooke Gibbons,20210113,,Yes,Yes,,,Claude,20210223
IO152,IO,152,-33.98118897,114.8688721,20201013,12:18:00,MBH,C.IO.37,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.2,Hayley ,Yes,Yes,Y,Daphne,373,374,440,13:24,,RAW2,CON1,Hayley ,20210105,,Yes,Yes,,,Daphne,20210120
IO153,IO,153,-34.04618897,114.8888721,20201016,7:36:00,MBH,C.IO.65,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.6,Brooke Gibbons,Yes,Yes,Y,Claude,1203,1204,439,8:47,,RAW2,,Brooke Gibbons,20210113,Rope tangled at surface - was re-deployed,Yes,Yes,,,Claude,20210223
IO155,IO,155,-34.04368897,114.8838721,20201016,7:42:00,MBH,C.IO.65,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.9,Hayley ,Yes,Yes,Y,Claude,373,374,440,8:50,,RAW2,CON1,Hayley ,20210103,R cam has some stuff in front of it,Yes,Yes,,,Claude,20210212
IO157,IO,157,-33.97118897,114.8238721,20201013,10:14:00,MBH,C.IO.33,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.6,Daphne,Yes,No,Y,,375,376,561,11:29,,RAW2,CON1,Daphne,20210305,"in/out, zoomed in",,Yes,,,,
IO158,IO,158,-33.98118897,114.8188721,20201013,10:21:00,MBH,C.IO.33,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.6,Hayley,Yes,Yes,Y,Claude,367,368,1208,11:42,,RAW2,CON1,Hayley ,20210105,No Backwards habitat ,Yes,No,,,Claude,20210212
IO16,IO,16,-34.07368897,114.8688721,20201016,9:43:00,MBH,C.IO.35,South-west,No-take,National Park Zone,,41.4,Daphne ,Yes,No,Y,,378,377,562,10:46,,RAW2,CON1,Daphne,20210305,L card failed again,,Yes,,,,
IO164,IO,164,-34.03368897,114.9038721,20201016,7:14:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.1,Hayley ,Yes,Yes,Y,Daphne,367,368,1208,8:22,,RAW2,CON1,Hayley ,20210103,Light flooded,Yes,Yes,,,Daphne,20210120
IO165,IO,165,-34.04368897,114.8988721,20201016,7:23:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.6,Hayley ,Yes,Yes,Y,Claude,375,376,561,8:40,,RAW2,CON1,Hayley ,20210103,,Yes,Yes,,,Ramesh/Claude,20210217
IO17,IO,17,-34.06368897,114.8763721,20201016,8:07:00,MBH,C.IO.35,South-west,No-take,National Park Zone,,41.1,Daphne ,Yes,No,Y,,378,377,562,9:29,,RAW2,CON1,Daphne,20210305,Rope was tangled - not on bottom properly; memory card error in L,,Yes,,,,
IO180,IO,180,-33.99618897,114.7038721,20201123,12:36,MBH,C.IO.41,South-west,Fished,Special Purpose Zone (Mining Exclusion),,122,Brooke Gibbons,Yes,Yes,Y,Claude,369,370,1207,1:50,,RAW5,BU5.5,Brooke Gibbons,20201216,,Yes,Yes,,,Claude,20210202
IO184,IO,184,-34.04118897,114.9038721,20201016,7:19:00,MBH,C.IO.62,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.9,Hayley ,Yes,Yes,Y,Brooke,369,370,1207,8:32,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh/Brooke,20210128
IO189,IO,189,-33.98868897,114.6638721,20201023,12:31:00,MBH,C.IO.40,South-west,Fished,Special Purpose Zone (Mining Exclusion),,139,Daphne,Yes,No,Yes,,367,368,1208,13:56,,RAW4,CON3,Daphne,20210304,L card failed to record,No,Yes,,,,
IO191,IO,191,-33.99868897,114.6713721,20201023,12:20:00,MBH,C.IO.40,South-west,Fished,Special Purpose Zone (Mining Exclusion),,137,Rachel,Yes,Yes,Y,Brooke Gibbons,1205,1206,1209,13:38,,RAW4,,Rachel,20210106,,Yes,Yes,,,Brooke Gibbons,20210217
IO192,IO,192,-33.98618897,114.6688721,20201023,12:36:00,MBH,C.IO.40,South-west,Fished,Special Purpose Zone (Mining Exclusion),,138,Rachel,Yes,Yes,Yes,Brooke/Claude ,378,377,562,14:04,,RAW4,CON3,Rachel,20201209,,Yes,Yes,,,Claude,20210121
IO194,IO,194,-33.99618897,114.6638721,20201023,12:24:00,MBH,C.IO.40,South-west,Fished,Special Purpose Zone (Mining Exclusion),,139,Rachel,Yes,Yes,Yes,Brooke Gibbons,1201,1202,420,13:47,,RAW4,,Rachel,20210106,,Yes,Yes,,,Brooke Gibbons,20210217
IO195,IO,195,-34.09368897,114.8588721,20201016,9:57:00,Legacy,C.IO.6,South-west,No-take,National Park Zone,,43.4,Brooke Gibbons,Yes,Yes,Y,Claude,1205,1206,1209,11:04,,RAW2,,Brooke Gibbons,20210114,,Yes,Yes,,,Claude,20210223
IO199,IO,199,-34.08618897,114.8613721,20201016,9:51:00,Legacy,C.IO.6,South-west,No-take,National Park Zone,,42.1,Claude,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,10:57,,RAW2,,Claude,20210118,,Yes,Yes,,,Brooke Gibbons,20210120
IO201,IO,201,-34.05618897,114.8338721,20201015,14:46:00,Legacy,C.IO.5,South-west,No-take,National Park Zone,,45.3,Hayley ,Yes,Yes,Y,Ramesh/Brooke/Claude,369,370,1207,16:21,,RAW2,CON1,Hayley ,20201221,,Yes,Yes,,,Ramesh/Claude,20210216
IO204,IO,204,-34.06618897,114.7863721,20201015,10:35:00,Legacy,C.IO.7,South-west,No-take,National Park Zone,,61.5,Hayley ,Yes,Yes,Y,Claude,369,370,1207,11:55,,RAW2,CON1,Hayley ,20201221,,Yes,Yes,,,Ramesh/Claude,20210216
IO206,IO,206,-34.06368897,114.7913721,20201015,10:28:00,Legacy,C.IO.7,South-west,No-take,National Park Zone,,58.2,Daphne,Yes,No,Y,,1203,1204,439,11:41,,RAW2,,Daphne,20210311,Left only goes for 35 mins,,Yes,,,,
IO207,IO,207,-34.06118897,114.7863721,20201015,10:23:00,Legacy,C.IO.7,South-west,No-take,National Park Zone,,60.4,Hayley,Yes,Yes,Y,Claude,378,377,562,11:36,,RAW2,CON1,Hayley ,20201221,,Yes,Yes,,,Ramesh/Claude,20210216
IO210,IO,210,-34.09118897,114.8738721,20201016,10:09:00,Legacy,C.IO.6,South-west,No-take,National Park Zone,,43.5,Hayley ,Yes,Yes,Y,Ramesh/Brooke/Claude,373,374,440,11:20,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh/Claude,20210216
IO211,IO,211,-34.05618897,114.9063721,20201029,10:42:00,Legacy,C.IO.3,South-west,No-take,National Park Zone,,43.5,Rachel,Yes,Yes,Y,Brooke Gibbons/Claude,369,370,1207,11:48,,RAW4,CON3,Rachel,20201209,Filmed 250 was 211  ,Yes,Yes,,,Claude,20210120
IOC06,IO,C06,-34.048689,114.876372,20201016,7:48:00,Captains pick,C.IO.65,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.5,Ramesh,Yes,Yes,Y,Brooke/Claude,372,371,563,9:06,,RAW2,CON1,Ramesh,20210118,156 was too close to NPZ. Changed from IOCO4 to IOC06,Yes,Yes,,,Claude,20210216
IO216,IO,216,-34.06118897,114.9163721,20201029,10:33:00,Legacy,C.IO.3,South-west,No-take,National Park Zone,,47.5,Rachel,Yes,Yes,Y,Brooke Gibbons/Claude,373,374,440,11:36,,RAW4,CON3,Rachel,20201209,,Yes,Yes,,,Claude,20210120
IO217,IO,217,-34.06618897,114.9188721,20201016,12:43:00,Legacy,C.IO.2,South-west,No-take,National Park Zone,,47.1,Claude,Yes,Yes,Y,Brooke Gibbons,1201,1202,420,14:02,,RAW2,,Claude,20210119,17 no video,Yes,Yes,,,Brooke Gibbons,20210129
IO218,IO,218,-34.07368897,114.9213721,20201016,12:28:00,Legacy,C.IO.2,South-west,No-take,National Park Zone,,46.8,Hayley ,Yes,Yes,Y,Claude,373,374,440,13:39,,RAW2,CON1,Hayley ,20210104,,Yes,Yes,,,Ramesh/Claude,20210216
IO220,IO,220,-34.05618897,114.8438721,20201015,14:39:00,Legacy,C.IO.5,South-west,No-take,National Park Zone,,43.7,Brooke Gibbons,Yes,Yes,Y,Claude,1203,1204,439,16:03,,RAW2,,Brooke Gibbons,20210118,,Yes,Yes,,,Claude,20210224
IO222,IO,222,-34.06618897,114.8313721,20201015,14:54:00,Legacy,C.IO.4,South-west,No-take,National Park Zone,,45,Hayley ,Yes,Yes,Y,Claude,367,368,1208,16:31,,RAW2,CON1,Hayley ,20201222,,Yes,Yes,,,Ramesh/Claude,20210217
IO223,IO,223,-34.07118897,114.8463721,20201015,14:25:00,Legacy,C.IO.4,South-west,No-take,National Park Zone,,42.9,Hayley ,Yes,Yes,Y,Claude,378,377,562,15:29,,RAW2,CON1,Hayley ,20201222,,Yes,Yes,,,Ramesh/Claude,20210217
IO224,IO,224,-34.06118897,114.8388721,20201015,14:35:00,Legacy,C.IO.4,South-west,No-take,National Park Zone,,43.6,Hayley ,Yes,Yes,Y,Claude,373,374,440,15:53,,RAW2,CON1,Hayley ,20201227,,Yes,Yes,,,Claude,20210212
IO225,IO,225,-34.07118897,114.8338721,20201015,14:20:00,Legacy,C.IO.4,South-west,No-take,National Park Zone,,44.9,Hayley ,Yes,Yes,Y,Claude,372,371,563,15:22,,RAW2,CON1,Hayley ,20201227,,Yes,Yes,,,Claude,20210212
IO226,IO,226,-34.06368897,114.8438721,20201015,14:32:00,Legacy,C.IO.4,South-west,No-take,National Park Zone,,42.8,Brooke Gibbons,Yes,Yes,Y,Claude,1205,1206,1209,15:42,,RAW2,,Brooke Gibbons,20210119,,Yes,Yes,,,Claude,20210224
IO227,IO,227,-33.99868897,114.7838721,20201019,6:37:00,MBH,C.IO.42,South-west,Fished,Special Purpose Zone (Mining Exclusion),,52.9,Ramesh,Yes,Yes,Y,Brooke Gibbons/Claude,375,376,561,7:44,,RAW3,CON2,Ramesh,20201201,,Yes,Yes,,,Claude,20210210
IO228,IO,228,-34.00368897,114.7938721,20201019,6:46:00,MBH,C.IO.42,South-west,Fished,Special Purpose Zone (Mining Exclusion),,50.4,Rachel,Yes,Yes,Y,Claude,1203,1204,439,7:54,,RAW3,,Rachel,20210119,,Yes,Yes,,,Claude,20210218
IO229,IO,229,-33.99368897,114.7863721,20201019,6:31:00,MBH,C.IO.42,South-west,Fished,Special Purpose Zone (Mining Exclusion),,53,Ramesh,Yes,Yes,Y,Brooke Gibbons,369,370,1207,7:39,,RAW3,CON2,Ramesh,20201203,,Yes,Yes,,,Hayley ,20210121
IO235,IO,235,-34.06618897,114.9138721,20201016,12:49:00,Legacy,C.IO.2,South-west,No-take,National Park Zone,,46.5,Daphne,Yes,No,Y,,378,377,562,14:10,,RAW2,CON1,Daphne,20210305,L didn't work again - memory card error,,Yes,,,,
IO236,IO,236,-34.08118897,114.9238721,20201016,12:22:00,Legacy,C.IO.1,South-west,No-take,National Park Zone,,46.8,Hayley ,Yes,Yes,Y,Brooke Gibbons,1203,1204,439,13:32,,RAW2,,Hayley ,20210118,,Yes,Yes,,,Brooke Gibbons,20210128
IO237,IO,237,-34.08118897,114.9363721,20201016,12:15:00,Legacy,C.IO.1,South-west,No-take,,Cape Freycinet Sanctuary Zone,43.2,Hayley,Yes,Yes,Y,Claude,375,376,561,13:21,,RAW2,CON1,Hayley ,20210104,Missing Backwards habitat ,Yes,No,,,Claude,20210212
IO239,IO,239,-34.09118897,114.9313721,20201016,12:05:00,Legacy,C.IO.1,South-west,No-take,,Cape Freycinet Sanctuary Zone,45.9,Hayley ,Yes,Yes,Y,Claude,367,368,1208,13:06,,RAW2,CON1,Hayley ,20210105,,Yes,Yes,,,Claude,20210212
IO241,IO,241,-33.99368897,114.7913721,20201019,6:26:00,MBH,C.IO.42,South-west,Fished,Special Purpose Zone (Mining Exclusion),,50.6,Ramesh,Yes,Yes,Y,,378,377,562,7:30,,RAW3,CON2,Ramesh,20201208,,Yes,Yes,,,Hayley,20210121
IO244,IO,244,-34.00368897,114.9063721,20201019,11:35:00,MBH,C.IO.47,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.7,Ramesh,Yes,Yes,Y,Brooke/Claude,1203,1204,439,12:49,,RAW3,,Ramesh,20210115,,Yes,Yes,,,Claude,20210218
IO245,IO,245,-34.00868897,114.9013721,20201019,11:30:00,MBH,C.IO.47,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.3,Ramesh,Yes,Yes,Y,Brooke Gibbons/Claude,375,376,561,12:43,,RAW3,CON2,Ramesh,20201217,"tilted up a bit, cant see benthos",Yes,Yes,,,Claude,20210210
IO253,IO,253,-34.01368897,114.7038721,20201123,12:15,MBH,C.IO.49,South-west,Fished,Special Purpose Zone (Mining Exclusion),,124,Brooke Gibbons,Yes,Yes,Y,Claude,367,368,1208,1:20,,RAW5,BU5.5,Brooke Gibbons,20201216,Rear facing camera corrupt memory card,Yes,No ,,,Claude,20210202
IO254,IO,254,-34.01868897,114.6963721,20201029,8:51:00,MBH,C.IO.49,South-west,Fished,Special Purpose Zone (Mining Exclusion),,129,,No,No,NA,,375,376,561,,,RAW4,,,,Currents too strong. Pulled early. Retrieved.,,Yes,,,,
IO254,IO,254,-34.01868897,114.6963721,20201123,12:10,MBH,C.IO.49,South-west,Fished,Special Purpose Zone (Mining Exclusion),,119,Rachel,Yes,Yes,Y,Claude,1205,1206,1209,1:15,,RAW5.5,,Rachel,20210112,,Yes,Yes,,,Claude,20210125
IO258,IO,258,-33.96618897,114.9138721,20201019,12:05:00,Legacy,C.IO.20,South-west,Fished,,,45.2,Ramesh,Yes,Yes,Y,Brooke/Claude,367,368,1208,13:27,,RAW3,CON2,Ramesh,20201217,Couldn't record habitat footage,Yes,Yes,,,Claude,20210210
IO259,IO,259,-33.96868897,114.9213721,20201019,12:00:00,Legacy,C.IO.20,South-west,Fished,,,46.8,Rachel,Yes,Yes,Y,Claude,1201,1202,420,13:19,,RAW3,,Rachel,20210118,,Yes,Yes,,,Claude,20210218
IO260,IO,260,-33.97118897,114.9163721,20201019,11:55:00,Legacy,C.IO.20,South-west,Fished,,,46.3,Rachel,Yes,Yes,Y,Claude,1205,1206,1209,13:14,,RAW3,,Rachel,20210118,,Yes,Yes,,,Claude,20210218
IO261,IO,261,-33.97618897,114.9213721,20201019,11:46:00,Legacy,C.IO.20,South-west,Fished,,,46.9,Ramesh,Yes,Yes,Yes,Claude,373,374,440,13:02,,RAW3,CON2,Ramesh,20201218,,Yes,Yes,,,Claude,20210211
IO262,IO,262,-34.01368897,114.8738721,20201019,9:46:00,Legacy,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,41.9,Rachel,Yes,Yes,Y,Claude,369,370,1207,10:56,,RAW3,CON2,Rachel,20210102,,Yes,Yes,,,Claude,20210211
IO263,IO,263,-34.00868897,114.8788721,20201019,9:52:00,Legacy,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42.4,Brooke Gibbons,Yes,Yes,Y,Claude,378,377,562,11:04,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210128
IO264,IO,264,-34.01868897,114.8738721,20201019,9:31:00,Legacy,C.IO.19,South-west,Fished,Special Purpose Zone (Mining Exclusion),,42,Brooke Gibbons,Yes,Yes,Y,Claude,373,374,440,10:36,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210127
IO266,IO,266,-34.02118897,114.7588721,20201015,8:06:00,Legacy,C.IO.23,South-west,Fished,Special Purpose Zone (Mining Exclusion),,67.3,Hayley ,Yes,Yes,Y,Claude,373,374,440,9:17,,RAW2,CON1,Hayley ,20210102,,Yes,Yes,,,Claude,20210212
IO267,IO,267,-34.02618897,114.7638721,20201015,8:11:00,Legacy,C.IO.23,South-west,Fished,Special Purpose Zone (Mining Exclusion),,62.5,Daphne,Yes,No,Y,,1205,1206,1209,9:37,,RAW2,,Daohne,20210312,"snagged slightly, R was accidentally turned off during inserting",,Yes,,,,
IO269,IO,269,-33.98868897,114.8138721,20201019,7:18:00,Legacy,C.IO.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,47.6,Brooke Gibbons,Yes,Yes,Y,Claude,367,368,1208,8:37,,RAW3,BU5.5,Brooke Gibbons,20201217,,Yes,Yes,,,Claude,20210125
IO272,IO,272,-34.00868897,114.8138721,20201019,6:56:00,Legacy,C.IO.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,49.2,Daphne,Yes,No,Y,,373,374,440,8:04,,RAW3,,Daphne,20210311,L373 didn't record anything,,Yes,,,,
IO273,IO,273,-33.99868897,114.8213721,20201019,7:07:00,Legacy,C.IO.22,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.9,Rachel,Yes,Yes,Yes,Claude,1205,1206,1209,8:23,,RAW3,,Rachel,20210119,,Yes,Yes,,,Claude,20210218
