"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"7.04",-22.72760784,113.5630603,"Ningaloo Marine Park",NA,"7","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T00:13:00Z"
"7.05",-22.72875749,113.5732756,"Ningaloo Marine Park",NA,"7","0","Brooke Gibbons","Yes","Yes","Charlotte Aston","2019-08-12T00:08:00Z"
"7.08",-22.73059695,113.5756513,"Ningaloo Marine Park",NA,"7","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T00:03:00Z"
"8.01",-22.71266228,113.5497567,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:00:00Z"
"8.02",-22.70277523,113.5559334,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:06:00Z"
"8.05",-22.7017,113.57994,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:31:00Z"
"8.06",-22.69621,113.58157,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:27:00Z"
"8.07",-22.69542,113.57783,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:23:00Z"
"8.12",-22.69932625,113.547381,"Ningaloo Marine Park",NA,"8","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:11:00Z"
"9.01",-22.70139564,113.5359779,"Ningaloo Marine Park",NA,"9","0","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T03:16:00Z"
"9.02",-22.7025453,113.5214865,"Ningaloo Marine Park",NA,"9","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T03:00:00Z"
"9.05",-22.69150858,113.5248124,"Ningaloo Marine Park",NA,"9","0","Charlotte Aston","No","No","Charlotte Aston","2019-08-12T03:05:00Z"
"9.06",-22.6931181,113.5319393,"Ningaloo Marine Park",NA,"9","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T03:10:00Z"
"9.07",-22.71082283,113.5255251,"Ningaloo Marine Park",NA,"9","0","Todd Bond","Yes","Yes","Charlotte Aston","2019-08-12T02:52:00Z"
"9.08",-22.71220242,113.5136468,"Ningaloo Marine Park",NA,"9","0","Todd Bond","Yes","Yes",NA,"2019-08-12T02:45:00Z"
