"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"npz6.24",-28.0787,113.4414,"NPZ6","No-take","npz6.27","53.7","Molly","Y","Y","Molly","2021-05-12T01:07:00Z"
"npz6.14",-28.0937,113.4213,"NPZ6","No-take","npz6.14","42.1","Molly","Y","Y","Molly","2021-05-12T00:56:00Z"
"npz6.6",-28.0837,113.4439,"NPZ6","No-take","npz6.6","55.1","Molly","Y","Y","Molly","2021-05-12T01:04:00Z"
"npz6.2",-28.0612,113.4339,"NPZ6","No-take","npz6.2","43.6","Molly","Y","Y","Molly","2021-05-12T01:26:00Z"
"npz6.18",-28.0962,113.4438,"NPZ6","No-take","npz6.19","42.7","Molly","Y","Y","Molly","2021-05-12T00:48:00Z"
"npz6.22",-28.0687,113.4512,"NPZ6","No-take","npz6.23","45","Molly","Y","Y","Molly","2021-05-12T01:16:00Z"
"npz6.20",-28.0736,113.4593,"NPZ6","No-take","npz6.21","50.4","Molly","Y","Y","Molly","2021-05-12T01:13:00Z"
"npz6.26",-28.0937,113.4563,"NPZ6","No-take","npz6.29","33.7","Molly","Y","Y","Molly","2021-05-12T00:43:00Z"
"npz6.27",-28.0562,113.4464,"NPZ6","No-take","npz6.30","39","Molly","Y","Y","Molly","2021-05-12T01:21:00Z"
"npz6.8",-28.0688,113.3413,"NPZ6","No-take","npz6.8","154","Molly","Y","Y","Molly","2021-05-12T03:45:00Z"
"npz6.15",-28.0588,113.3488,"NPZ6","No-take","npz6.15","145","Molly","Y","Y","Claude","2021-05-12T03:41:00Z"
"npz6.9",-28.0386,113.3814,"NPZ6","No-take","npz6.9","77.2","Molly","Y","Y","Claude","2021-05-12T03:28:00Z"
"npz6.13",-28.0611,113.3714,"NPZ6","No-take","npz6.13","109","Molly","Y","Y","Molly","2021-05-12T03:19:00Z"
"npz6.10",-28.0787,113.3764,"NPZ6","No-take","npz6.10","112","Molly","Y","Y","Molly","2021-05-12T03:07:00Z"
"npz6.17",-28.0837,113.3839,"NPZ6","No-take","npz6.18","94","Molly","Y","Y","Molly","2021-05-12T03:03:00Z"
"npz6.4",-28.0814,113.3988,"NPZ6","No-take","npz6.4","67.5","Molly","Y","Y","Molly","2021-05-12T02:57:00Z"
"npz6.21",-28.0714,113.3992,"NPZ6","No-take","npz6.22","59.3","Molly","Y","Y","Molly","2021-05-12T02:54:00Z"
"npz6.5",-28.0636,113.3935,"NPZ6","No-take","npz6.5","65.8","Molly","Y","Y","Molly","2021-05-12T02:50:00Z"
"npz6.12",-28.0512,113.2763,"NPZ6","No-take","npz6.12","185","-","N","N","N/A","2021-05-12T05:48:00Z"
"npz6.C01",-28.1078,113.3706,"NPZ6","Fished",NA,"138","Molly","Y","Y","Molly","2021-05-12T06:39:00Z"
"npz6.28",-28.1237,113.3663,"NPZ6","Fished","out6.1","149","Molly","Y","Y","Molly","2021-05-12T06:45:00Z"
"npz6.C02",-28.118,113.385,"NPZ6","Fished",NA,"125","Molly","Y","Y","Molly","2021-05-12T06:52:00Z"
"npz6.BOSS41",-28.1137,113.3939,"NPZ6","Fished",NA,"104","Molly","Y","Y","Molly","2021-05-12T06:57:00Z"
"npz6.36",-28.1062,113.4089,"NPZ6","Fished","out6.9","66.5","Molly","Y","Y","Molly","2021-05-12T07:02:00Z"
"npz9.7",-27.1162,113.1964,"NPZ9","No-take","npz9.7","97.2","Molly","Y","Y","Molly","2021-05-15T00:37:00Z"
"npz9.29",-27.1313,113.2089,"NPZ9","No-take","npz9.29","96.7","Molly","Y","Y","Molly","2021-05-15T00:27:00Z"
"npz9.12",-27.1462,113.2039,"NPZ9","No-take","npz9.12","92.2","Molly","Y","Y","Claude","2021-05-15T00:19:00Z"
"npz9.5",-27.151,113.214,"NPZ9","No-take","npz9.5","87.8","Molly","Y","Y","Claude","2021-05-15T00:09:00Z"
"npz9.9",-27.1288,113.1888,"NPZ9","No-take","npz9.9","82.1","Molly","Y","Y","Claude","2021-05-15T00:48:00Z"
"npz9.26",-27.1437,113.2139,"NPZ9","No-take","npz9.26","90.9","Molly","Y","Y","Claude","2021-05-15T00:14:00Z"
"npz9.11",-27.1238,113.1889,"NPZ9","No-take","npz9.11","85.8","Molly","Y","Y","Claude","2021-05-15T00:46:00Z"
"npz9.19",-27.1539,113.1764,"NPZ9","No-take","npz9.19","87.1","Molly","Y","N","N/A","2021-05-15T00:58:00Z"
"npz9.30",-27.1187,113.1864,"NPZ9","No-take","npz9.30","90.3","Molly","Y","Y","Claude","2021-05-15T00:43:00Z"
"npz9.10",-27.1638,113.1565,"NPZ9","No-take","npz9.10","93.6","Molly","Y","Y","Claude","2021-05-15T02:36:00Z"
