Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
161,20210320,15:08:00,16:12:00,-124.18,Tas Fracture,161,No-take,-43.72683992,146.2759065,,,,,1258,1259,,,,Shenae,,,Yes,,,Yes,,
162,20210320,14:51:00,15:56:00,-123.57,Tas Fracture,162,No-take,-43.7233088,146.2682575,,,,,282,283,,,,ashlee b,,,Yes,,,Yes,,
163,20210320,13:10:00,14:25:00,-119.38,Tas Fracture,163,No-take,-43.72044787,146.2747016,bait bag empty,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
164,20210320,14:57:00,16:02:00,-119.55,Tas Fracture,164,No-take,-43.72647312,146.2689401,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
165,20210320,13:25:00,13:30:00,-111.94,Tas Fracture,165,No-take,-43.71607564,146.2767571,,,,,282,283,,,,Shenae,,,Yes,,,No,,
166,20210320,14:40:00,15:50:00,-111.74,Tas Fracture,166,No-take,-43.71952114,146.2709474,,,,,406,407,,,,ashlee b,,,Yes,,,Yes,,
167,20210320,13:17:00,14:34:00,-101.46,Tas Fracture,167,No-take,-43.71837064,146.2725636,,,,,406,407,,,,ashlee b,,,Yes,,,Yes,,
168,20210320,15:10:00,15:18:00,-126.14,Tas Fracture,168,No-take,-43.72535932,146.276325,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
172,20210321,16:26:00,17:30:00,-126.556999,Tas Fracture,172,No-take,-43.72491628,146.2675168,287 dead,,,,286,287,,,,Shenae,,,No,,,No,,
170,20210321,16:29:00,17:33:00,-117.372002,Tas Fracture,170,No-take,-43.72417011,146.2718525,282 dead on gunnel,,,,282,283,,,,Shenae,,,Yes,,,No,,
