Dot Point Measurements

Generated: Thursday 26 October 2023 09:18:05

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		135	192											2023-03_SwC_stereo-BRUVs	yes	14	1													100.0
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		404	192											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		89.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		673	192											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		89.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		942	192											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		135	576											2023-03_SwC_stereo-BRUVs	yes	14	1													64.2
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		404	576											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		46.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		673	576											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		942	576											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Moderate (1-3m)	2			82003004		64.2
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		135	959											2023-03_SwC_stereo-BRUVs	yes	14	1													46.5
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		404	959											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		15.5
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		673	959											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		942	959											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Low (<1m)	1			82003003		46.5
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		135	1343											2023-03_SwC_stereo-BRUVs	yes	14	1													64.2
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		404	1343											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		46.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		673	1343											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		46.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		942	1343											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Low (<1m)	1			82003003		64.2
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		135	1727											2023-03_SwC_stereo-BRUVs	yes	14	1													100.0
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		404	1727											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	High	High (>3m)	3			82003006		89.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		673	1727											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
14_1_01_L031_14_MAH01390.MP4_0024820.jpg	      0		942	1727											2023-03_SwC_stereo-BRUVs	yes	14	1					Relief	Low / moderate	Low (<1m)	1			82003003		100.0
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		135	192											2023-03_SwC_stereo-BRUVs	yes	15	1													100.0
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		404	192											2023-03_SwC_stereo-BRUVs	yes	15	1													89.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		673	192											2023-03_SwC_stereo-BRUVs	yes	15	1													89.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		942	192											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		100.0
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		135	576											2023-03_SwC_stereo-BRUVs	yes	15	1													64.2
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		404	576											2023-03_SwC_stereo-BRUVs	yes	15	1													46.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		673	576											2023-03_SwC_stereo-BRUVs	yes	15	1													46.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		942	576											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		64.2
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		135	959											2023-03_SwC_stereo-BRUVs	yes	15	1													46.5
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		404	959											2023-03_SwC_stereo-BRUVs	yes	15	1													15.5
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		673	959											2023-03_SwC_stereo-BRUVs	yes	15	1													15.5
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		942	959											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		46.5
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		135	1343											2023-03_SwC_stereo-BRUVs	yes	15	1													64.2
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		404	1343											2023-03_SwC_stereo-BRUVs	yes	15	1													46.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		673	1343											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		46.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		942	1343											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		64.2
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		135	1727											2023-03_SwC_stereo-BRUVs	yes	15	1													100.0
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		404	1727											2023-03_SwC_stereo-BRUVs	yes	15	1													89.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		673	1727											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		89.9
15_1_01_Left_MAH00370.MP4_0076938.jpg	      0		942	1727											2023-03_SwC_stereo-BRUVs	yes	15	1					Relief	High	High (>3m)	3			82003006		100.0
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		135	192											2023-03_SwC_stereo-BRUVs	yes	16	1													100.0
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		404	192											2023-03_SwC_stereo-BRUVs	yes	16	1													89.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		673	192											2023-03_SwC_stereo-BRUVs	yes	16	1													89.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		942	192											2023-03_SwC_stereo-BRUVs	yes	16	1					Relief	High	Wall	4			82003007		100.0
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		135	576											2023-03_SwC_stereo-BRUVs	yes	16	1													64.2
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		404	576											2023-03_SwC_stereo-BRUVs	yes	16	1													46.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		673	576											2023-03_SwC_stereo-BRUVs	yes	16	1													46.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		942	576											2023-03_SwC_stereo-BRUVs	yes	16	1					Relief	High	Wall	4			82003007		64.2
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		135	959											2023-03_SwC_stereo-BRUVs	yes	16	1													46.5
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		404	959											2023-03_SwC_stereo-BRUVs	yes	16	1													15.5
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		673	959											2023-03_SwC_stereo-BRUVs	yes	16	1													15.5
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		942	959											2023-03_SwC_stereo-BRUVs	yes	16	1					Relief	High	Wall	4			82003007		46.5
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		135	1343											2023-03_SwC_stereo-BRUVs	yes	16	1													64.2
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		404	1343											2023-03_SwC_stereo-BRUVs	yes	16	1													46.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		673	1343											2023-03_SwC_stereo-BRUVs	yes	16	1													46.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		942	1343											2023-03_SwC_stereo-BRUVs	yes	16	1					Relief	High	Wall	4			82003007		64.2
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		135	1727											2023-03_SwC_stereo-BRUVs	yes	16	1													100.0
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		404	1727											2023-03_SwC_stereo-BRUVs	yes	16	1													89.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		673	1727											2023-03_SwC_stereo-BRUVs	yes	16	1													89.9
16_1_01_L039_MAH00356.MP4_0067518.jpg	      0		942	1727											2023-03_SwC_stereo-BRUVs	yes	16	1					Relief	High	Wall	4			82003007		100.0
17_1_01_Left_MAH00375.MP4_0071918.jpg	      0		135	192											2023-03_SwC_stereo-BRUVs	yes	17	1													100.0
