level_2	level_3	level_4	level_5	scientific	qualifiers
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Bleached
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Dead
Cnidaria	Corals	Black & Octocorals	Fan (2D)		Recently dead
Cnidaria	Corals	Black & Octocorals	Massive soft corals		
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Alive
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Recruit
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Bleached
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Dead
Cnidaria	Corals	Black & Octocorals	Massive soft corals		Recently dead
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Alive
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Recruit
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Bleached
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Dead
Cnidaria	Corals	Black & Octocorals	Organ pipe coral (Tubipora)		Recently dead
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Alive
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Recruit
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Bleached
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Dead
Cnidaria	Corals	Black & Octocorals	Quill (seapen)		Recently dead
Cnidaria	Corals	Black & Octocorals	Whip		
Cnidaria	Corals	Black & Octocorals	Whip		Alive
Cnidaria	Corals	Black & Octocorals	Whip		Recruit
Cnidaria	Corals	Black & Octocorals	Whip		Bleached
Cnidaria	Corals	Black & Octocorals	Whip		Dead
Cnidaria	Corals	Black & Octocorals	Whip		Recently dead
Cnidaria	Corals	Stony corals			
Cnidaria	Corals	Stony corals			Alive
Cnidaria	Corals	Stony corals			Recruit
Cnidaria	Corals	Stony corals			Bleached
Cnidaria	Corals	Stony corals			Dead
Cnidaria	Corals	Stony corals			Recently dead
Cnidaria	Corals	Stony corals	Bottlebrush		
Cnidaria	Corals	Stony corals	Bottlebrush		Alive
Cnidaria	Corals	Stony corals	Bottlebrush		Recruit
Cnidaria	Corals	Stony corals	Bottlebrush		Bleached
Cnidaria	Corals	Stony corals	Bottlebrush		Dead
Cnidaria	Corals	Stony corals	Bottlebrush		Recently dead
Cnidaria	Corals	Stony corals	Branching		
Cnidaria	Corals	Stony corals	Branching		Alive
Cnidaria	Corals	Stony corals	Branching		Recruit
Cnidaria	Corals	Stony corals	Branching		Bleached
Cnidaria	Corals	Stony corals	Branching		Dead
Cnidaria	Corals	Stony corals	Branching		Recently dead
Cnidaria	Corals	Stony corals	Columnar		
Cnidaria	Corals	Stony corals	Columnar		Alive
Cnidaria	Corals	Stony corals	Columnar		Recruit
Cnidaria	Corals	Stony corals	Columnar		Bleached
Cnidaria	Corals	Stony corals	Columnar		Dead
Cnidaria	Corals	Stony corals	Columnar		Recently dead
