level_2	level_3	level_4	level_5	scientific	qualifiers
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Turf mat
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Veneer
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Iceberg scour
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Storm damage
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Urchin barren
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Turf mat
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Veneer
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Iceberg scour
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Storm damage
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Urchin barren
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Turf mat
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Veneer
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Iceberg scour
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Storm damage
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Urchin barren
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Turf mat
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Veneer
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Iceberg scour
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Storm damage
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Urchin barren
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Turf mat
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Veneer
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Iceberg scour
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Storm damage
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Urchin barren
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Turf mat
Substrate	Unconsolidated (soft)				
Substrate	Unconsolidated (soft)				Veneer
Substrate	Unconsolidated (soft)				Iceberg scour
Substrate	Unconsolidated (soft)				Storm damage
Substrate	Unconsolidated (soft)				Urchin barren
Substrate	Unconsolidated (soft)				Turf mat
Substrate					
Substrate					Veneer
Substrate					Iceberg scour
Substrate					Storm damage
Substrate					Urchin barren
Substrate					Turf mat
