Dot Point Measurements

Generated: Friday 31 May 2024 15:32:14

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	scientific						Radius %
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		1060	749											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Substrate	Unconsolidated (soft)							40.5
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		682	42											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Unscorable								100.0
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		963	1001											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Substrate	Unconsolidated (soft)							24.9
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		556	588											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Unscorable								44.4
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		941	1559											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Unscorable								72.5
DM-BV-02_1_01_Left_MAH00436.MP4_0047178.jpg	      0		663	161											2023-09_Dampier_stereo-BRUVs	no	DM-BV-02	1					Unscorable								86.9
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		671	1087											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								21.3
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		961	1055											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							25.7
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		751	1107											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								18.1
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		735	1509											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								13.6
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		1054	1829											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							43.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		676	1626											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								23.6
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		697	1821											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							37.6
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		908	1777											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							35.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		860	1786											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								34.8
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		937	1820											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							38.7
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		750	1187											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								12.0
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		855	1654											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							24.7
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		560	1791											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Unscorable								38.8
DM-BV-03_1_01_Left_MAH03144.MP4_0041189.jpg	      0		871	1224											2023-09_Dampier_stereo-BRUVs	no	DM-BV-03	1					Substrate	Unconsolidated (soft)							11.1
