sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
19.03,new,113.8305585,-22.00286353,16082019,14:55:00,16:07:00,19,Ningaloo Marine Park,NA,99,Charlotte Aston,20191105,,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,,NA,
19.04,new,113.8255696,-22.00056422,16082019,14:49:00,15:59:00,19,Ningaloo Marine Park,NA,109,Charlotte Aston,20191105,,Yes,Yes,367,368,440,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,,NA,
19.05,new,113.8291331,-21.99757511,16082019,14:59:00,16:15:00,19,Ningaloo Marine Park,NA,101,Charlotte Aston,20191106,,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,,NA,
19.08,new,113.8234315,-21.99412613,16082019,15:03:00,16:22:00,19,Ningaloo Marine Park,NA,130,Charlotte Aston,20191106,,Yes,Yes,375,376,420,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,,NA,
23.01,new,114.0835652,-21.68647769,17082019,13:22:00,14:40:00,23,Ningaloo Marine Park,NA,102,Charlotte Aston,20191111,,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,,NA,
23.02,new,114.0785763,-21.68555797,17082019,13:28:00,14:48:00,23,Ningaloo Marine Park,NA,106,Charlotte Aston,20191111,,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,,NA,
23.03,new,114.0811896,-21.68233893,17082019,13:31:00,14:54:00,23,Ningaloo Marine Park,NA,109,Charlotte Aston,20191111,,Yes,Yes,378,377,423,Backwards camera wasn't turned on. Photos start here,3,2,Yes,Yes,20200305,,NA,
23.04,new,114.0845155,-21.67980968,17082019,13:35:00,15:01:00,23,Ningaloo Marine Park,NA,110,Charlotte Aston,20191112,,Yes,Yes,369,370,422,,3,2,Yes,Yes,20200305,,NA,
23.06,new,114.0944932,-21.67475118,17082019,13:46:00,15:09:00,23,Ningaloo Marine Park,NA,107,Charlotte Aston,20191112,,Yes,Yes,375,376,420,,3,2,Yes,Yes,20200305,,NA,
23.09,new,114.0747,-21.706867,17082019,13:13:00,14:24:00,23,Ningaloo Marine Park,NA,67,Charlotte Aston,20191112,,Yes,Yes,372,371,564,21 24.412S 114 4.482E,3,2,Yes,Yes,20200305,,NA,
30.01,new,113.90413,-21.91122,17082019,10:04:00,11:12:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,20191112,,No ,No ,375,376,420,Flipped on back,3,2,Yes,Yes,20200305,,NA,
30.02,new,113.90722,-21.90687,17082019,10:08:00,11:19:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,20191115,,Yes,Yes,369,370,422,Bouncing,3,2,Yes,Yes,20200305,,NA,
30.03,new,113.91082,-21.89999,17082019,10:13:00,11:28:00,30,Ningaloo Marine Park,NA,67,Charlotte Aston,20191115,,Yes,Yes,378,377,423,,3,2,Yes,Yes,20200305,,NA,
30.04,new,113.91423,-21.89513,17082019,10:16:00,11:36:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,20191115,,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,,NA,
30.05,new,113.91801,-21.88983,17082019,10:20:00,11:44:00,30,Ningaloo Marine Park,NA,68,Charlotte Aston,20191115,,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,,NA,
30.06,new,113.9202,-21.8876,17082019,10:23:00,11:49:00,30,Ningaloo Marine Park,NA,66,Charlotte Aston,20190902,Todd,Yes,Yes,372,371,564,Sunny but windy. Lobster. Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,Measurements accepted at high RMS. Ask about nematophorus
31.01,new,114.08985,-21.6873167,17082019,15:25:00,16:31:00,31,Ningaloo Marine Park,NA,77,Charlotte Aston,20191127,,Yes,Yes,375,376,420,Filmed 30 on lab sheet,3,2,Yes,Yes,20200305,,NA,
31.02,new,114.09,-21.6919667,17082019,15:29:00,16:36:00,31,Ningaloo Marine Park,NA,71,Charlotte Aston,20190903,Todd,Yes,Yes,369,370,422,Filmed 30 on lab sheet. Converted wrong. ,3,2,Yes,Yes,20200305,Charlotte Aston,20200403,
31.03,new,114.0887667,-21.69445,17082019,15:31:00,16:41:00,31,Ningaloo Marine Park,NA,66,Charlotte Aston,20191126,,Yes,Yes,378,377,423,Filmed 30 on lab sheet,3,2 (subfolder),Yes,Yes,20200305,,NA,
31.04,new,114.0877667,-21.69635,17082019,15:34:00,16:47:00,31,Ningaloo Marine Park,NA,64,Charlotte Aston,20191202,,Yes,Yes,367,368,440,Rankin,3,2,Yes,Yes,20200305,,NA,
31.05,new,114.0814333,-21.70045,17082019,15:39:00,16:52:00,31,Ningaloo Marine Park,NA,67,Charlotte Aston,20190903,Todd,Yes,Yes,373,374,439,Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20200304,
31.06,new,114.0774833,-21.7025167,17082019,15:45:00,16:58:00,31,Ningaloo Marine Park,NA,66,Charlotte Aston,20191126,,Yes,Yes,372,371,564,,3,2,Yes,Yes,20200305,,NA,
