sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
5.02,legacy,113.54762,-22.78253,13082019,15:37:00,16:40:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,20190910,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,
5.03,legacy,113.56188,-22.78303,13082019,15:42:00,16:50:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston ,20190910,Todd,Yes,Yes,372,371,564,Light on backwards not working,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,Measurements accepted with low RMS
5.07,new,113.57245,-22.7727833,13082019,15:49:00,17:00:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,20190911,Todd,Yes,Yes,375,376,420,,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,
5.08,new,113.5716127,-22.76807579,13082019,15:53:00,17:08:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,20190916,Todd,Yes,Yes,367,368,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,
5.11,new,113.5723254,-22.76278737,13082019,16:05:00,17:16:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,20190916,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,
5.13,legacy,113.58319,-22.76082,13082019,16:11:00,17:24:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,20190916,Todd,Yes,No,373,374,439,Nice red on backwards cam. No Right cam,1,1,Yes,Yes,20200304,,NA,No right camera
6.01,legacy,113.53596,-22.77091,13082019,13:41:00,15:22:00,6,Ningaloo Marine Park,NA,?,Charlotte Aston,20190918,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,
6.02,legacy,113.55367,-22.75818,13082019,13:31:00,15:09:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190913,Todd - find taeniorous fish,Yes,Yes,372,371,564,Light on backwards cuts out half way,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,Measurements accepted with high RMS'
6.03,legacy,113.54189,-22.75754,13082019,13:25:00,14:53:00,6,Ningaloo Marine Park,NA,?,Charlotte Aston,20190918,Todd,Yes,Yes,375,376,420,Nice habitat. Nice habitat on backwards,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,
6.04,new,113.5402541,-22.75175065,13082019,13:21:00,14:42:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190916,Todd,Yes,Yes,367,368,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
6.05,new,113.5412044,-22.7411738,13082019,13:15:00,14:31:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190918,Todd,Yes,Yes,369,370,422,Cool habitat on way up,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
6.12,new,113.541917,-22.73059695,13082019,13:11:00,14:16:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,20190918,Todd,Yes,Yes,373,374,439,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
7.01,new,113.5509445,-22.73427585,14082019,8:24:00,9:44:00,7,Ningaloo Marine Park,NA,85,Charlotte Aston,20190918,Todd,Yes,Yes,378,377,423,Two whales on way up. Tiger on backwards,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
7.02,new,113.5533202,-22.7317466,14082019,8:21:00,9:38:00,7,Ningaloo Marine Park,NA,84,Brooke Gibbons,20190919,Todd ,Yes,Yes,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20200310,
7.03,new,113.5554582,-22.72507859,14082019,8:16:00,9:29:00,7,Ningaloo Marine Park,NA,82,Charlotte Aston,20190925,Todd,Yes,Yes,375,376,420,Big rankin and baby red,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
7.04,new,113.5630603,-22.72760784,14082019,8:13:00,9:22:00,7,Ningaloo Marine Park,NA,75,Brooke Gibbons,20190920,Todd,Yes,Yes,367,368,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,
7.05,new,113.5732756,-22.72875749,14082019,8:08:00,9:15:00,7,Ningaloo Marine Park,NA,72,Brooke Gibbons,20190923,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,
7.08,new,113.5756513,-22.73059695,14082019,8:03:00,9:06:00,7,Ningaloo Marine Park,NA,72,Charlotte Aston,20190925,Todd,Yes,Yes,373,374,439,Whale breaches at start 2:13. Backwards video instead of pictures,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,
