Dot Point Measurements

Generated: Wednesday 18 October 2023 11:31:17

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	1729													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		35.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	1729													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		22.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	1729													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		11.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	1729													20120319-1	45													11.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	1729													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		22.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	1729													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	1729													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		48.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		139	2112													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		48.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	2112													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		35.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	2112													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		22.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	2112													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		11.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	2112													20120319-1	45													11.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	2112													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		22.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	2112													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	2112													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		48.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		139	2495													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		56.1
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	2495													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		45.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	2495													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	2495													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		30.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	2495													20120319-1	45													30.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	2495													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.7
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	2495													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		45.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	2495													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		56.1
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		139	2878													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		68.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		59.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		52.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		49.2
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	2878													20120319-1	45													49.2
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		52.9
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		59.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	2878													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		68.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		139	3261													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		83.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	3261													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		76.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	3261													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		71.3
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	3261													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		68.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	3261													20120319-1	45													68.6
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	3261													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		71.3
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	3261													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		76.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		2021	3261													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		83.4
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		139	3644													20120319-1	45					Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		408	3644													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		94.2
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		677	3644													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		90.1
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		946	3644													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		88.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1214	3644													20120319-1	45													88.0
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1483	3644													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		90.1
20120319-1_45_02_20230319_TOP_1_0007_0001.mp4_0047609.jpg	      0		1752	3644													20120319-1	45					Relief	Low / moderate	Low (<1m)	1			82003003		94.2
