OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.4	0	L029 (06).MP4	4151	R030 (06).MP4	5815	1.15421		-1.00000	28.43491	124.47197	-1048.50697	0.52478	0.58731	2.29086	8.12262	1056.25218	6.46530								sync		
npz6.4	4	L029 (08).MP4	65222	R030 (08).MP4	67006	63.18117	1	5.85613	-843.86326	-303.75891	-1834.82053	3.02394	1.35231	6.64410	10.11076	2042.28819	26.21962	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
npz6.4	5	L029 (08).MP4	65222	R030 (08).MP4	67006	63.18117	1	5.85613	-1014.25269	-334.82573	-2034.40436	3.91330	1.56736	8.02543	17.67990	2297.74191	27.85753	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
npz6.4	17	L029 (09).MP4	64699	R030 (09).MP4	66483	85.57549	1	28.25044	-953.37371	-246.28510	-1714.23970	3.02160	1.09767	5.56145	16.41329	1976.91567	29.99953	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	18	L029 (09).MP4	64699	R030 (09).MP4	66483	85.57549	1	28.25044	-945.50491	-91.85950	-2425.89201	4.56232	1.21901	11.79445	13.19003	2605.25810	21.43761	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	19	L029 (09).MP4	64894	R030 (09).MP4	66678	85.62971	1	28.30467	-907.60756	-199.69371	-1730.48149	2.97411	1.02453	5.77349	4.07796	1964.22892	28.34621	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	26	L029 (09).MP4	80028	R030 (10).MP4	751	89.83780	1	32.51276	-359.68160	4.84848	-1336.51830	1.13755	0.65170	3.67700	16.65435	1384.07930	15.06498	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	30	L029 (09).MP4	80107	R030 (10).MP4	830	89.85977	1	32.53472	-471.54695	-224.39275	-1142.74209	1.16081	0.73792	2.63200	9.83329	1256.41080	24.77425	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	38	L029 (09).MP4	80794	R030 (10).MP4	1517	90.05079	1	32.72575	259.62305	-218.13787	-1678.93373	1.18367	1.07353	5.81282	22.06102	1712.83588	11.74023	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	41	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	1651.27448	1523.25424	-5922.54847	19.40173	18.75795	69.91999	71.43491	6334.31853	20.44314	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	42	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	1456.53437	872.67067	-5407.78154	15.76240	10.28968	58.71982	59.20853	5668.08148	17.18418	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	43	L029 (10).MP4	4809	R030 (10).MP4	6593	91.46220	1	34.13716	-1152.38233	320.44369	-2005.16752	4.14322	1.54832	7.41952	49.33834	2334.81605	30.68837	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	44	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-2493.79230	800.13655	-5320.32659	24.92785	8.91722	54.14935	27.88483	5930.01632	26.06337	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	45	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-1618.33206	1068.94200	-6809.70766	21.96473	15.65123	92.63066	65.75017	7080.51934	15.63238	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.4	46	L029 (10).MP4	4980	R030 (10).MP4	6764	91.50975	1	34.18471	-1847.47488	788.04191	-7299.94123	26.83331	12.88253	106.48349	62.49783	7571.21625	15.19784	Scombridae	Scomberomorus	spp		1	AD	Passing			
npz6.5	0	L041 (06).MP4	23188	R042 (06).MP4	25075	6.44755		-1.00000	60.62521	41.46008	-1142.38673	0.58271	0.56889	2.63794	7.27285	1144.74529	3.52116								sync		
npz6.5	1	L041 (09).MP4	5694	R042 (09).MP4	7642	69.21887	1	5.91452	2895.47555	1395.74024	-5816.48699	30.37208	15.35815	61.90591	57.91088	6645.55418	28.79962	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
npz6.6	0	L031 (02).MP4	4086	R032 (02).MP4	29359	3.17206		-1.00000	-13.66707	41.42172	-1267.36270	0.62614	0.62847	3.31549	4.92686	1268.11307	1.73016								sync		
npz6.6	2	L031 (02).MP4	64745	R032 (03).MP4	8957	20.03863	1	1.41141	-2040.37327	83.61326	-4382.94143	17.43636	2.29083	38.09088	9.18319	4835.31693	24.97235	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.8	0	L033 (07).MP4	72527	R034 (07).MP4	22071	20.16654		-1.00000	-9.20186	124.22388	-610.68901	0.31099	0.33846	0.76789	0.78856	623.26344	11.38955								sync		
npz6.9	0	L037 (07).MP4	25085	R038 (07).MP4	28330	6.97502		-1.00000	-92.30840	97.79357	-667.68920	0.35694	0.35884	0.91718	7.56457	681.09712	11.07860								sync		
npz6.9	2	L037 (11).MP4	32801	R038 (11).MP4	36166	99.27890	1	36.11691	-345.80240	445.15205	-1641.52585	1.33390	1.67649	5.35464	20.88075	1735.61135	18.61408	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	3	L037 (11).MP4	33254	R038 (11).MP4	36619	99.40486	1	36.24287	-1127.34447	-336.84307	-1817.77019	3.45209	1.31589	5.71911	2.01584	2165.33076	33.03928	Labridae	Bodianus	spp		1	AD	Passing			
npz6.9	7	L037 (11).MP4	33830	R038 (11).MP4	37195	99.56502	1	36.40303	-30.98226	52.12648	-1347.34769	0.67101	0.67836	3.64386	21.88009	1348.71156	2.21807	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	8	L037 (11).MP4	33838	R038 (11).MP4	37203	99.56725	1	36.40526	503.47042	-67.15258	-1361.52920	1.41586	0.67522	3.60640	22.30805	1453.18743	20.51953	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	10	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-170.89285	-177.00296	-1366.85456	0.80505	0.80682	3.76905	14.76007	1388.82173	10.51777	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	11	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-723.81251	-186.70546	-1738.56972	2.48944	1.02661	5.93668	16.63523	1892.45559	23.37642	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	12	L037 (11).MP4	33918	R038 (11).MP4	37283	99.58949	1	36.42750	-758.26386	-170.85320	-1421.47203	2.02381	0.80270	3.77103	4.95420	1620.10420	28.76760	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	14	L037 (11).MP4	34031	R038 (11).MP4	37396	99.62091	1	36.45892	629.22968	-33.28430	-1274.17230	1.51870	0.61140	2.99685	25.45740	1421.46153	26.33950	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.9	22	L037 (11).MP4	62179	R038 (11).MP4	65544	107.44762	1	44.28563	27.02628	296.84765	-1858.01826	0.91370	1.44599	6.83962	38.16658	1881.77597	8.68582	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
npz6.9	23	L037 (11).MP4	69077	R038 (11).MP4	72442	109.36565	1	46.20366	118.18168	1192.64497	-3876.70196	2.05356	9.35706	29.23401	63.65952	4057.73176	16.75105	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz6.BOSS41	0	L033 (15).MP4	23235	R034 (15).MP4	22585	6.46062		-1.00000	-63.26209	-25.55572	-686.72719	0.35828	0.34072	0.96816	4.35757	690.10827	5.72764								sync		
npz6.C01	0	L039 (14).MP4	3636	R040 (14).MP4	2776	1.01101		-1.00000	-25.48918	0.16042	-1048.40894	0.52359	0.51300	2.19121	2.54400	1048.71875	1.47075								sync		
npz6.C01	2	L039 (20).MP4	11422	R040 (20).MP4	10441	138.37991	1	26.38997	2506.15573	97.44194	-5797.58686	27.03865	3.23926	63.24586	20.79826	6316.82870	23.37938	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz6.C01	3	L039 (20).MP4	11462	R040 (20).MP4	10481	138.39103	1	26.40110	1529.78158	357.45793	-5513.74228	16.23662	5.05968	58.63058	14.83007	5733.18077	15.80066	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz6.C02	0	L043 (18).MP4	71042	R044 (15).MP4	74112	87.32251		-1.00000	-9.28740	-62.31413	-931.45252	0.47162	0.47531	1.84407	8.03722	933.58079	3.93968								sync		
npz6.C02	1	L043 (20).MP4	75847	R044 (17).MP4	78917	133.72109	1	39.03344	-258.85448	89.10023	-740.99918	0.52235	0.39415	1.16975	1.27724	789.95207	20.25363	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing			
npz9.1	0	L027 (017).MP4	2169	R028 (017).MP4	2780	0.60310		-1.00000	1758.05438	-84.94665	-3239.06934	10.15345	1.65036	19.07856	8.72471	3686.39951	28.50696								sync		
npz9.1	7	L027 (022).MP4	7002	R028 (022).MP4	7792	114.61144	1	47.00446	-1529.31432	269.34142	-2681.85545	7.39061	1.79205	13.26591	1.95019	3098.98301	30.12321	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
npz9.1	9	L027 (022).MP4	7457	R028 (022).MP4	8247	114.73796	1	47.13097	-1667.08132	-213.72044	-3249.99113	10.02359	2.09400	19.93141	1.80578	3658.86306	27.31020	Lutjanidae	Pristipomoides	typus	37346019	1	AD	Passing			
npz9.1	11	L027 (022).MP4	7592	R028 (022).MP4	8382	114.77549	1	47.16851	-1171.52235	-368.89789	-2193.08607	4.72278	1.86428	8.99676	5.29250	2513.59837	29.16507	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.10	0	L033 (010).MP4	2374	R034 (06).MP4	4008	0.66010		-1.00000	117.31576	35.06524	-1162.58324	0.62819	0.57360	2.71975	2.17127	1169.01341	5.97381								sync		
npz9.10	6	L033 (014).MP4	33381	R034 (010).MP4	35015	99.45714	1	22.69017	1787.77707	224.84542	-3294.04925	10.73983	2.10422	20.23871	1.02511	3754.65881	28.66177	Carangidae	Decapterus	spp		1	AD	Passing			
npz9.10	7	L033 (014).MP4	33452	R034 (010).MP4	35086	99.47688	1	22.70991	1979.52420	79.65839	-3767.25783	13.72040	1.89364	26.66878	7.72338	4256.41787	27.73371	Carangidae	Decapterus	spp		1	AD	Passing			
npz9.10	19	L033 (015).MP4	74218	R034 (011).MP4	75852	133.35155	1	56.58458	-928.32976	443.54542	-1593.72635	2.60818	1.46038	4.53184	0.41875	1896.96926	32.78480	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz9.11	0	L039 (02).MP4	29900	R040 (02).MP4	31937	30.83692		-1.00000	18.30412	-68.17127	-567.23188	0.28731	0.29006	0.65280	0.60069	571.60683	7.55946								sync		
npz9.12	0	L031 (02).MP4	19412	R032 (02).MP4	21060	27.95404		-1.00000																	sync		
npz9.13	0	L031 (016).MP4	3901	R032 (016).MP4	4331	1.08469		-1.00000	-52.62030	-37.57863	-923.45509	0.47035	0.45730	1.78675	0.04751	925.71613	4.15917								sync		
npz9.13	2	L031 (021).MP4	52347	R032 (021).MP4	52777	127.26992	1	56.92965	-701.70669	136.07961	-5959.76052	8.78777	3.47820	71.58452	19.48765	6002.47078	6.79500	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
npz9.14	6	L029 (08).MP4	2090	R031 (08).MP4	2900	0.58114		-1.00000	7.84429	46.29219	-932.48759	0.46706	0.46934	1.82367	0.33640	933.66889	2.40001								sync		
npz9.16	0	L033 (17).MP4	2534	R034 (13).MP4	3307	0.70459		-1.00000	-27.01516	108.88965	-668.56221	0.34131	0.36115	0.91783	0.70343	677.91017	9.39066								sync		
npz9.16	1	L033 (20).MP4	67891	R034 (16).MP4	68664	86.44636	1	5.99098	-38.72049	-271.73235	-2304.75759	1.13505	1.63669	10.47501	8.44013	2321.04401	6.92959	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
npz9.16	4	L033 (22).MP4	55252	R034 (18).MP4	56025	128.01122	1	47.55584	-1289.62178	-215.78422	-3245.68941	7.97867	2.01797	20.30028	11.40762	3499.16946	21.96584	Labridae	Stethojulis	spp		1	AD	Passing			
npz9.16	6	L033 (22).MP4	74949	R034 (18).MP4	75722	133.48808	1	53.03270	2666.46224	971.01443	-5072.37885	24.57239	9.46403	47.61749	8.34753	5812.22135	29.17753	Lethrinidae	Gymnocranius	spp		1	AD	Passing			
npz9.17	0	L029 (016).MP4	2720	R031 (016).MP4	3423	0.75631		-1.00000	-11.27181	4.89055	-1034.78176	0.51643	0.50783	2.23683	4.86800	1034.85471	0.66172								sync		
npz9.17	5	L029 (020).MP4	28648	R031 (020).MP4	29352	98.12414	1	26.48980	191.27568	-472.73885	-1537.97542	0.94929	1.62141	4.89229	0.65514	1620.31997	18.80054	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.18	0	L039 (017).MP4	2105	R040 (017).MP4	4810	0.58531		-1.00000	-24.18546	73.85540	-973.82120	0.48702	0.50155	1.89302	6.78837	976.91724	4.10786								sync		
npz9.2	3	L031 (08).MP4	3230	R032 (08).MP4	2074	0.89812		-1.00000	-41.57569	-29.01685	-1190.04141	0.59608	0.58324	2.93438	1.48220	1191.12093	2.59438								sync		
npz9.21	0	L035 (012).MP4	37274	R036 (09).MP4	36130	77.96622	1	4.40857	-1467.30017	553.63312	-3254.66382	8.94687	3.86000	20.19436	3.86176	3612.79892	25.59985	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz9.21	3	L035 (012).MP4	62703	R036 (09).MP4	61559	85.03690	1	11.47925	-697.17514	-282.75321	-1703.35320	2.36918	1.22011	5.70048	1.16445	1862.09953	23.97015	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.21	8	L035 (014).MP4	25721	R036 (011).MP4	24577	119.83277	1	46.27512	290.94737	-12.43305	-914.28877	0.67201	0.44710	1.64719	3.03993	959.54619	17.68671	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
npz9.21	12	L035 (09).MP4	4580	R036 (06).MP4	3377	1.27349		-1.00000	28.32221	79.71918	-914.58924	0.46171	0.47612	1.69792	2.72678	918.49375	4.94056								sync		
npz9.22	0	L037 (012).MP4	3254	R038 (012).MP4	2321	91.02955	1	11.14141	-2595.49263	514.13725	-6204.39795	29.73263	6.21294	72.24632	7.02511	6745.03321	23.02321	Carcharhinidae	Galeocerdo	cuvier	37018022	1	AD	Passing			
npz9.22	1	L037 (012).MP4	3363	R038 (012).MP4	2430	91.05986	1	11.17172	-2348.08640	-171.37343	-5148.30482	21.93200	3.13754	49.03683	7.62178	5661.08834	24.60615	Carangidae		sp10		1	AD	Passing			
npz9.22	2	L037 (012).MP4	10724	R038 (012).MP4	9791	93.10662	1	13.21848	219.73286	740.71090	-3451.04723	2.22204	5.13722	23.54831	6.42069	3536.47595	12.24420	Labridae				1	AD	Passing			
npz9.22	6	L037 (08).MP4	4544	R038 (08).MP4	3611	1.26348		-1.00000	47.88276	57.85139	-984.69468	0.50017	0.49366	1.97568	1.79368	987.55413	4.06709								sync		
npz9.24	3	L039 (09).MP4	2876	R040 (09).MP4	4054	0.79969		-1.00000	-40.49341	62.81166	-798.81764	0.40531	0.40733	1.28273	3.02223	802.30583	4.94687								sync		
npz9.25	0	L035 (017).MP4	2719	R036 (014).MP4	4926	0.75603		-1.00000	-54.30078	138.14283	-893.65693	0.45758	0.51209	1.62388	4.08396	905.89996	8.90260								sync		
npz9.25	2	L035 (021).MP4	12509	R036 (018).MP4	14956	93.66997	1	12.66849	-131.70472	-286.48796	-1366.55456	0.75665	0.99597	3.76099	18.80544	1402.45957	13.51247	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.26	0	L037 (02).MP4	40637	R038 (02).MP4	36586	33.83908		-1.00000	87.56882	44.70973	-1160.83156	0.60656	0.57422	2.72727	5.19444	1164.98805	4.67627								sync		
npz9.26	6	L037 (05).MP4	64990	R038 (05).MP4	60938	108.24592	1	42.34480	315.13410	166.14614	-731.19470	0.56035	0.42196	1.00143	3.06024	813.36323	25.79559	Triakidae	Hemitriakis	falcata	37017009	1	AD	Passing	check		
npz9.26	15	L037 (06).MP4	22611	R038 (06).MP4	18559	119.00166	1	53.10055	57.24215	121.65027	-1220.28686	0.61904	0.65673	3.00850	3.35479	1227.67075	5.93512	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.27	0	L037 (016).MP4	3482	R038 (016).MP4	3904	0.96819		-1.00000	-38.11795	22.35566	-604.55416	0.31150	0.30215	0.75913	1.58327	606.16704	3.99673								sync		
npz9.27	15	L037 (021).MP4	23509	R038 (021).MP4	23931	119.18490	1	44.17552	2134.17743	597.02537	-4792.21692	18.54969	5.98313	42.46754	15.11356	5279.81966	24.71488	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz9.27	16	L037 (021).MP4	23509	R038 (021).MP4	23931	119.18490	1	44.17552	-84.06424	298.37401	-4863.41405	2.47267	3.93161	46.29939	15.32168	4873.28329	3.27176	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz9.27	18	L037 (021).MP4	38914	R038 (021).MP4	39336	123.46834	1	48.45897	1335.14577	-51.23549	-2279.08013	5.07299	1.07445	8.94614	13.63789	2641.86402	30.39860	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz9.28	0	L043 (017).MP4	1573	R044 (017).MP4	4610	0.43738		-1.00000	-21.22559	102.99968	-999.05962	0.50487	0.53745	2.11264	7.39710	1004.57931	5.93956								sync		
