Sample,Latitude,Longitude,Status,Date,Time,Site,Location,Depth,Observer.count,Successful.count,Successful.length,Observer.length
506,-33.5174,115.4165,Fished,20141216,11:23:00,Geographe Bay,Geographe Bay,14.1,Logan ,Yes,,
512,-33.5094,115.4873,Fished,20141216,11:03:00,Geographe Bay,Geographe Bay,10.6,Curtin,Yes,No,
528,-33.4811,115.4971,Fished,20141216,8:34:00,Geographe Bay,Geographe Bay,14,,No,No,
560,-33.4382,115.5269,Fished,20141216,6:49:00,Geographe Bay,Geographe Bay,14.6,,No,No,
579,-33.5017,115.3741,Fished,20141216,13:10:00,Geographe Bay,Geographe Bay,22,Daphne,Yes,,
586,-33.5309,115.386,No-take,20141216,13:24:00,Geographe Bay,Geographe Bay,15.8,Curtin,Yes,No,
592,-33.5185,115.446,Fished,20141216,11:15:00,Geographe Bay,Geographe Bay,12.3,Curtin,Yes,No,
608,-33.4552,115.4703,Fished,20141216,9:01:00,Geographe Bay,Geographe Bay,16.7,Daphne,Yes,,
611,-33.5421,115.459,Fished,20141216,15:45:00,Geographe Bay,Geographe Bay,8.2,Curtin,Yes,No,
624,-33.421,115.4919,Fished,20141216,7:03:00,Geographe Bay,Geographe Bay,17.5,Hayley ,Yes,,
633,-33.4712,115.4535,Fished,20141216,9:18:00,Geographe Bay,Geographe Bay,16.2,Daphne,Yes,,
634,-33.5337,115.4141,Fished,20141216,15:30:00,Geographe Bay,Geographe Bay,13,Logan,Yes,,
640,-33.5162,115.4646,Fished,20141216,11:10:00,Geographe Bay,Geographe Bay,11.5,Curtin,Yes,No,
650,-33.5131,115.3716,Fished,20141216,13:14:00,Geographe Bay,Geographe Bay,21.1,Curtin,Yes,No,
694,-33.5281,115.3499,Fished,20141216,13:32:00,Geographe Bay,Geographe Bay,21.3,Logan,Yes,,
704,-33.4848,115.5324,Fished,20141216,6:15:00,Geographe Bay,Geographe Bay,7.45,Curtin,Yes,No,
807,-33.494,115.4907,Fished,20141216,10:50:00,Geographe Bay,Geographe Bay,14,Curtin,Yes,No,
810,-33.5513,115.3766,No-take,20141216,13:44:00,Geographe Bay,Geographe Bay,14.3,Logan,Yes,,
832,-33.4556,115.5197,Fished,20141216,6:43:00,Geographe Bay,Geographe Bay,12.6,Curtin,Yes,No,
839,-33.4873,115.4085,Fished,20141216,13:00:00,Geographe Bay,Geographe Bay,20,Daphne,Yes,,
880,-33.5366,115.4444,Fished,20141216,15:41:00,Geographe Bay,Geographe Bay,10.9,Curtin,Yes,No,
1038,-33.5333,115.42,Fished,20141216,15:33:00,Geographe Bay,Geographe Bay,13.9,Daphne,Yes,,
1108,-33.558,115.4144,No-take,20141216,15:20:00,Geographe Bay,Geographe Bay,11.9,Curtin,Yes,No,
139,-33.6033,115.2737,Fished,20141217,8:29:00,Geographe Bay,Geographe Bay,13.4,Daphne,Yes,,
202,-33.5779,115.4117,No-take,20141217,6:04:00,Geographe Bay,Geographe Bay,9.8,,No,No,
218,-33.5955,115.3031,Fished,20141217,9:46:00,Geographe Bay,Geographe Bay,14.7,Curtin,Yes,No,
234,-33.6032,115.3602,Fished,20141217,10:03:00,Geographe Bay,Geographe Bay,9.3,Curtin,Yes,No,
282,-33.5572,115.3322,Fished,20141217,8:02:00,Geographe Bay,Geographe Bay,18.2,Logan,Yes,,
362,-33.627,115.2948,Fished,20141217,10:23:00,Geographe Bay,Geographe Bay,9.4,Curtin,Yes,No,
395,-33.6073,115.3444,Fished,20141217,10:08:00,Geographe Bay,Geographe Bay,9.2,Curtin,Yes,No,
399,-33.6143,115.313,Fished,20141217,10:17:00,Geographe Bay,Geographe Bay,10.8,Curtin,Yes,No,
416,-33.6148,115.2806,Fished,20141217,10:34:00,Geographe Bay,Geographe Bay,12.3,Curtin,Yes,No,
439,-33.6309,115.2731,Fished,20141217,10:29:00,Geographe Bay,Geographe Bay,8.4,Curtin,Yes,No,
490,-33.5613,115.3612,Fished,20141217,6:20:00,Geographe Bay,Geographe Bay,13.4,Logan,Yes,,
503,-33.5845,115.3098,Fished,20141217,7:48:00,Geographe Bay,Geographe Bay,16.3,Daphne (finishes at 55:48),Yes,,
538,-33.5839,115.3847,Fished,20141217,5:53:00,Geographe Bay,Geographe Bay,11.6,Curtin,Yes,No,
551,-33.5735,115.3901,No-take,20141217,5:58:00,Geographe Bay,Geographe Bay,11.7,Curtin,Yes,No,
554,-33.5577,115.3835,No-take,20141217,6:13:00,Geographe Bay,Geographe Bay,12.3,Logan ,Yes,,
567,-33.5867,115.276,Fished,20141217,8:23:00,Geographe Bay,Geographe Bay,17.4,Curtin,Yes,,
615,-33.5981,115.3328,Fished,20141217,9:56:00,Geographe Bay,Geographe Bay,11.8,,No,No,
618,-33.5679,115.3528,Fished,20141217,5:40:00,Geographe Bay,Geographe Bay,14.5,Curtin,Yes,No,
666,-33.5511,115.3572,No-take,20141217,6:25:00,Geographe Bay,Geographe Bay,15.6,Logan,Yes,,
682,-33.5696,115.3354,Fished,20141217,7:57:00,Geographe Bay,Geographe Bay,15.2,Logan,Yes,,
688,-33.6026,115.3181,Fished,20141217,9:52:00,Geographe Bay,Geographe Bay,12.8,Curtin,Yes,No,
746,-33.5794,115.3571,Fished,20141217,5:45:00,Geographe Bay,Geographe Bay,13.2,Logan,Yes,,
759,-33.5759,115.3173,Fished,20141217,7:52:00,Geographe Bay,Geographe Bay,17.3,Daphne (finishes at 59:18),Yes,,
779,-33.5817,115.2264,Fished,20141217,8:11:00,Geographe Bay,Geographe Bay,19,Curtin,Yes,No,
823,-33.5857,115.2872,Fished,20141217,8:19:00,Geographe Bay,Geographe Bay,16.2,Curtin,Yes,,Curtin
858,-33.5573,115.3462,Fished,20141217,6:29:00,Geographe Bay,Geographe Bay,16.6,Logan,Yes,,
864,-33.5833,115.3721,Fished,20141217,5:50:00,Geographe Bay,Geographe Bay,12.4,Curtin,Yes,No,
GBR-BOB,-33.5924,115.2206,Fished,20141217,12:23,Geographe Bay,Geographe Bay,16.7,Curtin,Yes,,Curtin
GBR1-1,-33.5936,115.1963,Fished,20141217,12:02,Geographe Bay,Geographe Bay,17.3,Curtin,Yes,No,
GBR1-2,-33.5936,115.1995,Fished,20141217,12:05,Geographe Bay,Geographe Bay,16,Logan,Yes,,
GBR1-3,-33.5938,115.2023,Fished,20141217,12:07,Geographe Bay,Geographe Bay,15.8,Logan ,Yes,,
GBR1-4,-33.5935,115.2055,Fished,20141217,12:09,Geographe Bay,Geographe Bay,16.8,Logan,Yes,,
GBR2-1,-33.5938,115.1907,Fished,20141217,13:40,Geographe Bay,Geographe Bay,17.7,Curtin,Yes,No,
GBR2-2,-33.594,115.1884,Fished,20141217,13:42,Geographe Bay,Geographe Bay,16.2,Curtin,Yes,No,
GBR2-3,-33.5941,115.1865,Fished,20141217,13:44,Geographe Bay,Geographe Bay,16.4,,No,No,
GBR2-4,-33.5937,115.193,Fished,20141217,13:38,Geographe Bay,Geographe Bay,16.2,Curtin,Yes,No,
GBR3-1,-33.5945,115.1819,Fished,20141217,13:53,Geographe Bay,Geographe Bay,17.6,,No,No,
GBR3-2,-33.5937,115.193,Fished,20141217,13:30,Geographe Bay,Geographe Bay,17.9,,No,No,
GBR3-3,-33.5937,115.184,Fished,20141217,13:47,Geographe Bay,Geographe Bay,17,Curtin,Yes,No,
GBR3-4,-33.5939,115.1851,Fished,20141217,13:46,Geographe Bay,Geographe Bay,16.6,,No,No,
GBR4-1,-33.5933,115.2081,Fished,20141217,12:11,Geographe Bay,Geographe Bay,16.1,Logan,Yes,,
GBR4-2,-33.5928,115.2102,Fished,20141217,12:13,Geographe Bay,Geographe Bay,16.3,Hayley,Yes,,
GBR5-1,-33.5932,115.2119,Fished,20141217,12:15,Geographe Bay,Geographe Bay,16.2,Hayley,Yes,,
GBR5-2,-33.5927,115.2148,Fished,20141217,12:17,Geographe Bay,Geographe Bay,16.6,Hayley,Yes,,
GBR5-3,-33.5924,115.2175,Fished,20141217,12:19,Geographe Bay,Geographe Bay,16.4,Logan ,Yes,,
