Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
11.01,113.6215013,-22.54044354,20190812,8:06:00,11,Ningaloo Marine Park,NA,84,Charlotte Aston,Yes,Yes,
11.02,113.6248272,-22.5365347,20190812,8:11:00,11,Ningaloo Marine Park,NA,81,Charlotte Aston,Yes,Yes,
11.03,113.6274404,-22.53377552,20190812,8:15:00,11,Ningaloo Marine Park,NA,79,Charlotte Aston,No,No ,
11.04,113.6243521,-22.52871703,20190812,8:19:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,Yes,Yes,
11.05,113.6255399,-22.52618778,20190812,8:25:00,11,Ningaloo Marine Park,NA,91,Charlotte Aston,No ,No,
11.06,113.6345674,-22.52388847,20190812,8:31:00,11,Ningaloo Marine Park,NA,77,Charlotte Aston,Yes,Yes,
12.02,113.67504,-22.46724,20190812,10:37:00,12,Ningaloo Marine Park,NA,56,Charlotte Aston,Yes,Yes,Charlotte Aston
12.03,113.6678265,-22.46824503,20190812,10:44:00,12,Ningaloo Marine Park,NA,65,Charlotte Aston,Yes,Yes,
12.04,113.6687767,-22.46433619,20190812,10:48:00,12,Ningaloo Marine Park,NA,70,Charlotte Aston,Yes,Yes,
12.05,113.6599868,-22.4673253,20190812,10:29:00,12,Ningaloo Marine Park,NA,86,Charlotte Aston,Yes,Yes,
12.06,113.6573736,-22.46548585,20190812,10:25:00,12,Ningaloo Marine Park,NA,94,Charlotte Aston,No ,No,
12.11,113.64333,-22.48475,20190812,10:14:00,12,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes,
13.02,113.7058369,-22.40386419,20190812,12:32:00,13,Ningaloo Marine Park,NA,69,Charlotte Aston,Yes,Yes,
13.03,113.7013231,-22.39903562,20190812,12:52:00,13,Ningaloo Marine Park,NA,83,Charlotte Aston,Yes,Yes,
13.04,113.6972845,-22.39765604,20190812,12:48:00,13,Ningaloo Marine Park,NA,92,Charlotte Aston,Yes,Yes,
13.05,113.6932459,-22.40087508,20190812,12:43:00,13,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes,
13.06,113.6922957,-22.40478391,20190812,12:39:00,13,Ningaloo Marine Park,NA,94.5,Charlotte Aston,Yes,Yes,
13.08,113.7039364,-22.39328734,20190812,12:56:00,13,Ningaloo Marine Park,NA,85,Charlotte Aston,Yes,Yes,
14.01,113.72408,-22.32524,20190812,14:46:00,14,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes,
14.02,113.73251,-22.30284,20190812,15:12:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes,
14.03,113.74266,-22.27651,20190812,15:25:00,14,Ningaloo Marine Park,NA,109,Charlote Aston,No,No ,
14.06,113.79046,-22.17832,20190812,8:12:00,14,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes,
14.11,113.7371667,-22.3266667,20190812,14:53:00,14,Ningaloo Marine Park,NA,75,Charlotte Aston,Yes,Yes,
14.12,113.746,-22.3071667,20190812,15:05:00,14,Ningaloo Marine Park,NA,82,Charlotte Aston,Yes,Yes,
14.13,113.7416667,-22.2866667,20190812,15:20:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes,
15.01,113.7915,-22.17344,20190812,8:16:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes,
15.02,113.7941,-22.16882,20190812,8:20:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,Yes,Yes,
15.05,113.78335,-22.16173,20190812,8:27:00,15,Ningaloo Marine Park,NA,122,Charlotte Aston,No,No ,
