Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO64,-34.01368897,114.8963721,20201019,11:26:00,C.IO.47,South-west,Fished,43.3,Ramesh,Yes,Yes,Claude
IO65,-34.01118897,114.8888721,20201019,11:20:00,C.IO.53,South-west,Fished,43,Ramesh,Yes,Yes,Claude
IO72,-34.03618897,114.8463721,20201019,9:05:00,C.IO.60,South-west,Fished,43.6,Ramesh,Yes,Yes,Claude
IO227,-33.99868897,114.7838721,20201019,6:37:00,C.IO.42,South-west,Fished,52.9,Ramesh,Yes,Yes,Claude
IO275,-34.09868897,114.6463721,20201123,14:38:00,C.IO.15,South-west,No-take,140,,No,No,
IO229,-33.99368897,114.7863721,20201019,6:31:00,C.IO.42,South-west,Fished,53,Ramesh,Yes,Yes,Hayley 
IO241,-33.99368897,114.7913721,20201019,6:26:00,C.IO.42,South-west,Fished,50.6,Ramesh,Yes,Yes,Hayley
IO245,-34.00868897,114.9013721,20201019,11:30:00,C.IO.47,South-west,Fished,42.3,Ramesh,Yes,Yes,Claude
IO258,-33.96618897,114.9138721,20201019,12:05:00,C.IO.20,South-west,Fished,45.2,Ramesh,Yes,Yes,Claude
IO261,-33.97618897,114.9213721,20201019,11:46:00,C.IO.20,South-west,Fished,46.9,Ramesh,Yes,Yes,Claude
IO244,-34.00368897,114.9063721,20201019,11:35:00,C.IO.47,South-west,Fished,44.7,Ramesh,Yes,Yes,Claude
