Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
FH77,-33.99618897,114.8763721,20201013,12:42:00,C.FH.24,South-west,Fished,42,,No,No,
FH84,-33.73368897,114.7988721,20201012,12:50:00,C.FH.7,South-west,Fished,45.6,Daphne,Yes,Yes,Rachel
FH92,-33.84368897,114.8713721,20201012,15:47:00,C.FH.14,South-west,Fished,44.2,Daphne,Yes,Yes,Rachel
FH110,-33.80868897,114.8213721,20201012,15:06:00,C.FH.13,South-west,Fished,44.7,Daphne,Yes,Yes,Rachel
FH111,-33.98618897,114.8788721,20201013,12:28:00,C.FH.24,South-west,Fished,41.4,Daphne,Yes,Yes,Rachel
FH113,-33.72368897,114.7963721,20201012,12:41:00,C.FH.7,South-west,Fished,45,,No,No,
IO133,-33.99118897,114.8663721,20201013,12:50:00,C.IO.37,South-west,Fished,40.8,Daphne,Yes,Yes,Rachel
FHC01,-33.669869,114.809825,20201012,8:38:00,C.FH.2,South-west,Fished,44.8,Daphne,Yes,Yes,Rachel
FHC02,-33.72358,114.813293,20201012,11:13:00,C.FH.6,South-west,Fished,42,Daphne,Yes,Yes,Rachel
IO337,-34.00536667,114.8202333,20201019,7:02:00,C.IO.21,South-west,Fished,43,Daphne,Yes,Yes,Claude
IO338,-33.97231667,114.92245,20201019,11:50:00,C.IO.20,South-west,Fished,46,Daphne,Yes,Yes,Claude
IO339,-34.01461667,114.8785,20201019,9:41:00,C.IO.19,South-west,Fished,41.1,Daphne,Yes,Yes,Claude
IO95,-34.12618897,114.7338721,20201022,8:21:00,C.IO.68,South-west,No-take,124,Daphne,Yes,Yes,Claude
IO98,-34.13368897,114.7313721,20201022,8:13:00,C.IO.68,South-west,No-take,128,Daphne,Yes,Yes,Claude
FH39,-33.90368897,114.9313721,20201029,14:44:00,C.FH.18,South-west,Fished,44.8,Daphne,Yes,Yes,Rachel
FH33,-33.70868897,114.8263721,20201012,10:54:00,C.FH.6,South-west,Fished,42.3,,No,No,
FH49,-33.92118897,114.9163721,20201029,13:00:00,C.FH.20,South-west,Fished,43.9,Daphne,Yes,Yes,Rachel
FH66,-33.90618897,114.9363721,20201029,14:40:00,C.FH.18,South-west,Fished,41.8,Daphne,Yes,Yes,Rachel
FH85,-33.92618897,114.9138721,20201029,12:55:00,C.FH.20,South-west,Fished,44.7,Daphne,Yes,Yes,Rachel/Brooke
IO323,-34.03103333,114.6001,20201123,9:48:00,C.IO.27,South-west,Fished,141,Daphne,Yes,Yes,Claude
IO351,-34.03118897,114.5963721,20201123,10:13:00,C.IO.27,South-west,Fished,142,Daphne,Yes,Yes,Claude
IO364,-34.00868897,114.6888721,20201123,12:21:00,C.IO.24,South-west,Fished,130,Daphne,Yes,Yes,Claude
IOCP11-1,-33.992845,114.696642,20201123,12:39:00,C.IO.41,South-west,Fished,124,Daphne,Yes,Yes,Claude
IOCP11-2,-33.974332,114.692773,20201123,12:47:00,C.IO.41,South-west,Fished,124,Daphne,Yes,Yes,Claude
IOCP2311,-34.01858,114.601465,20201123,10:19:00,C.IO.46,South-west,Fished,142,Daphne,Yes,Yes,Claude
IOREDO344,-34.0844,114.6744,20201123,7:12:00,C.IO.14,South-west,No-take,138,Daphne - finishes at 59:27,Yes,Yes,Claude
IO307,-34.11868897,114.7263721,20201022,9:56:00,C.IO.9,South-west,No-take,128,Daphne - finishes at 59:36,Yes,Yes,Claude
IO1,-34.07868897,114.7788721,20201015,12:07:00,C.IO.43,South-west,No-take,64.6,Hayley,Yes,Yes,Daphne
IO4,-34.09118897,114.7813721,20201015,12:17:00,C.IO.43,South-west,No-take,65.6,Hayley,Yes,Yes,Claude
IO158,-33.98118897,114.8188721,20201013,10:21:00,C.IO.33,South-west,Fished,44.6,Hayley,Yes,Yes,Claude
IO207,-34.06118897,114.7863721,20201015,10:23:00,C.IO.7,South-west,No-take,60.4,Hayley,Yes,Yes,Ramesh/Claude
IO237,-34.08118897,114.9363721,20201016,12:15:00,C.IO.1,South-west,No-take,43.2,Hayley,Yes,Yes,Claude
IO312,-34.05868897,114.7788721,20201015,10:17:00,C.IO.8,South-west,No-take,61.2,Hayley,Yes,Yes,Claude
IO335,-34.06686667,114.7939833,20201015,10:31:00,C.IO.7,South-west,No-take,58,Hayley,Yes,Yes,Claude
IO206,-34.06368897,114.7913721,20201015,10:28:00,C.IO.7,South-west,No-take,58.2,,No,No,
IO357,-34.08496667,114.928,20201016,12:08:00,C.IO.1,South-west,No-take,45.9,Hayley,Yes,Yes,Claude
IO361,-33.98868897,114.7413721,20201015,7:35:00,C.IO.25,South-west,Fished,84.7,Hayley,Yes,Yes,Claude
