"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"196","Balistes spilomelanurus","Balistes","spilomelanurus",NA,"Acanthaluteres spilomelanurus","Acanthaluteres","spilomelanurus","Monacanthidae","Monacanthidae"
"197","Monacanthus forsteri","Monacanthus","forsteri","junior synonym","Acanthaluteres spilomelanurus","Acanthaluteres","spilomelanurus","Monacanthidae","Monacanthidae"
"198","Acanthaluteres guntheri","Acanthaluteres","guntheri",NA,"Acanthaluteres vittiger","Acanthaluteres","vittiger","Monacanthidae","Monacanthidae"
"199","Cantherines guntheri","Cantherines","guntheri",NA,"Acanthaluteres vittiger","Acanthaluteres","vittiger","Monacanthidae","Monacanthidae"
"200","Monacanthus guntheri","Monacanthus","guntheri","junior synonym","Acanthaluteres vittiger","Acanthaluteres","vittiger","Monacanthidae","Monacanthidae"
"201","Monacanthus vittiger","Monacanthus","vittiger",NA,"Acanthaluteres vittiger","Acanthaluteres","vittiger","Monacanthidae","Monacanthidae"
"202","Penicipelta vittiger","Penicipelta","vittiger",NA,"Acanthaluteres vittiger","Acanthaluteres","vittiger","Monacanthidae","Monacanthidae"
"203","Acanthaphritis barbatus","Acanthaphritis","barbatus","misspelling","Acanthaphritis barbata","Acanthaphritis","barbata","Hemerocoetidae","Hemerocoetidae"
"204","Spinapsaron barbatum","Spinapsaron","barbatum","misspelling","Acanthaphritis barbata","Acanthaphritis","barbata","Hemerocoetidae","Hemerocoetidae"
"205","Spinapsaron barbatus","Spinapsaron","barbatus","misspelling","Acanthaphritis barbata","Acanthaphritis","barbata","Hemerocoetidae","Hemerocoetidae"
"206","Branchiopsaron ozawai","Branchiopsaron","ozawai",NA,"Acanthaphritis ozawai","Acanthaphritis","ozawai","Hemerocoetidae","Hemerocoetidae"
"207","Acanthardus pomotis","Acanthardus","pomotis",NA,"Acantharchus pomotis","Acantharchus","pomotis","Centrarchidae","Centrarchidae"
"208","Centrarchus pomotis","Centrarchus","pomotis","Basionym","Acantharchus pomotis","Acantharchus","pomotis","Centrarchidae","Centrarchidae"
"209","Acanthemblemaria arborescens","Acanthemblemaria","arborescens",NA,"Acanthemblemaria aspera","Acanthemblemaria","aspera","Chaenopsidae","Chaenopsidae"
"210","Acanthemblemaria asper","Acanthemblemaria","asper","misspelling","Acanthemblemaria aspera","Acanthemblemaria","aspera","Chaenopsidae","Chaenopsidae"
"211","Paremblemaria aspera","Paremblemaria","aspera",NA,"Acanthemblemaria aspera","Acanthemblemaria","aspera","Chaenopsidae","Chaenopsidae"
"212","Acanthemblemaria cubana","Acanthemblemaria","cubana",NA,"Acanthemblemaria chaplini","Acanthemblemaria","chaplini","Chaenopsidae","Chaenopsidae"
"213","Acanthemblemaria hancocki macrospilus","Acanthemblemaria","hancocki macrospilus",NA,"Acanthemblemaria macrospilus","Acanthemblemaria","macrospilus","Chaenopsidae","Chaenopsidae"
"214","Acanthemblemaria variegata","Acanthemblemaria","variegata",NA,"Acanthemblemaria spinosa","Acanthemblemaria","spinosa","Chaenopsidae","Chaenopsidae"
"215","Rinelepis acanthicus","Rinelepis","acanthicus","junior synonym","Acanthicus hystrix","Acanthicus","hystrix","Loricariidae","Loricariidae"
"216","Plectropoma brasilianum","Plectropoma","brasilianum",NA,"Acanthistius brasilianus","Acanthistius","brasilianus","Serranidae","Serranidae"
"217","Plectropoma patachonica","Plectropoma","patachonica","synonym","Acanthistius brasilianus","Acanthistius","brasilianus","Serranidae","Serranidae"
"218","Plectropoma cinctum","Plectropoma","cinctum",NA,"Acanthistius cinctus","Acanthistius","cinctus","Serranidae","Serranidae"
"219","Plectropoma cyanostigma","Plectropoma","cyanostigma",NA,"Acanthistius ocellatus","Acanthistius","ocellatus","Serranidae","Serranidae"
"220","Plectropoma myriaster","Plectropoma","myriaster",NA,"Acanthistius ocellatus","Acanthistius","ocellatus","Serranidae","Serranidae"
"221","Plectropoma ocellatum","Plectropoma","ocellatum",NA,"Acanthistius ocellatus","Acanthistius","ocellatus","Serranidae","Serranidae"
"222","Plectropoma patachonica","Plectropoma","patachonica","synonym","Acanthistius patachonicus","Acanthistius","patachonicus","Serranidae","Serranidae"
"223","Plectropoma pictum","Plectropoma","pictum",NA,"Acanthistius pictus","Acanthistius","pictus","Serranidae","Serranidae"
"224","Serranus sebastoides","Serranus","sebastoides",NA,"Acanthistius sebastoides","Acanthistius","sebastoides","Serranidae","Serranidae"
"225","Plectropoma serratum","Plectropoma","serratum","synonym","Acanthistius serratus","Acanthistius","serratus","Serranidae","Serranidae"
"226","Acanthobrama terraesanctae oligolepis","Acanthobrama","terraesanctae oligolepis",NA,"Acanthobrama lissneri","Acanthobrama","lissneri","Cyprinidae","Cyprinidae"
"227","Acanthobrama arrhada","Acanthobrama","arrhada",NA,"Acanthobrama marmid","Acanthobrama","marmid","Cyprinidae","Cyprinidae"
"228","Acanthobrama cupida","Acanthobrama","cupida",NA,"Acanthobrama marmid","Acanthobrama","marmid","Cyprinidae","Cyprinidae"
"229","Acanthobrama marmid elata","Acanthobrama","marmid elata",NA,"Acanthobrama marmid","Acanthobrama","marmid","Cyprinidae","Cyprinidae"
"230","Acanthobrama marmid marmid","Acanthobrama","marmid marmid",NA,"Acanthobrama marmid","Acanthobrama","marmid","Cyprinidae","Cyprinidae"
"231","Abramis microlepis","Abramis","microlepis","synonym","Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"232","Acanthalburnus microlepis","Acanthalburnus","microlepis",NA,"Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"233","Acanthalburnus punctulatus","Acanthalburnus","punctulatus",NA,"Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"234","Alburnus brandtii","Alburnus","brandtii",NA,"Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"235","Alburnus microlepis","Alburnus","microlepis",NA,"Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"236","Alburnus punctulatus","Alburnus","punctulatus","synonym","Acanthobrama microlepis","Acanthobrama","microlepis","Cyprinidae","Cyprinidae"
"237","Acanthobrama marmid orontis","Acanthobrama","marmid orontis",NA,"Acanthobrama orontis","Acanthobrama","orontis","Cyprinidae","Cyprinidae"
"238","Leuciscus persidis","Leuciscus","persidis",NA,"Acanthobrama persidis","Acanthobrama","persidis","Cyprinidae","Cyprinidae"
"239","Petroleuciscus persidis","Petroleuciscus","persidis",NA,"Acanthobrama persidis","Acanthobrama","persidis","Cyprinidae","Cyprinidae"
"240","Pseudophoxinus persidis","Pseudophoxinus","persidis",NA,"Acanthobrama persidis","Acanthobrama","persidis","Cyprinidae","Cyprinidae"
"241","Leuciscus tricolor","Leuciscus","tricolor","synonym","Acanthobrama tricolor","Acanthobrama","tricolor","Cyprinidae","Cyprinidae"
"242","Abramis urmianus","Abramis","urmianus",NA,"Acanthobrama urmianus","Acanthobrama","urmianus","Cyprinidae","Cyprinidae"
"243","Acanthalburnus urmianus","Acanthalburnus","urmianus","senior synonym","Acanthobrama urmianus","Acanthobrama","urmianus","Cyprinidae","Cyprinidae"
"244","Aconthocepola abbreviata","Aconthocepola","abbreviata","misspelling","Acanthocepola abbreviata","Acanthocepola","abbreviata","Cepolidae","Cepolidae"
"245","Cepola abbreviata","Cepola","abbreviata",NA,"Acanthocepola abbreviata","Acanthocepola","abbreviata","Cepolidae","Cepolidae"
"246","Cepola indica","Cepola","indica",NA,"Acanthocepola indica","Acanthocepola","indica","Cepolidae","Cepolidae"
"247","Acanthocepola krusensterni","Acanthocepola","krusensterni","misspelling","Acanthocepola krusensternii","Acanthocepola","krusensternii","Cepolidae","Cepolidae"
"248","Cepola krusensternii","Cepola","krusensternii","synonym","Acanthocepola krusensternii","Acanthocepola","krusensternii","Cepolidae","Cepolidae"
"249","Cepola limbata","Cepola","limbata",NA,"Acanthocepola limbata","Acanthocepola","limbata","Cepolidae","Cepolidae"
"250","Acanthochaenus lutkeni","Acanthochaenus","lutkeni","misspelling","Acanthochaenus luetkenii","Acanthochaenus","luetkenii","Stephanoberycidae","Stephanoberycidae"
"251","Acanthochaenus lutkenii","Acanthochaenus","lutkenii","misspelling","Acanthochaenus luetkenii","Acanthochaenus","luetkenii","Stephanoberycidae","Stephanoberycidae"
"252","Stephanoberyx gillii","Stephanoberyx","gillii",NA,"Acanthochaenus luetkenii","Acanthochaenus","luetkenii","Stephanoberycidae","Stephanoberycidae"
"253","Abudefduf jordani","Abudefduf","jordani",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"254","Acanthochromis polyacathus","Acanthochromis","polyacathus","misspelling","Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"255","Acanthochromis polycanthus","Acanthochromis","polycanthus","misspelling","Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"256","Acanthocromis polyacanthus","Acanthocromis","polyacanthus","misspelling","Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"257","Chromis desmostigma","Chromis","desmostigma",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"258","Dascyllus polyacanthus","Dascyllus","polyacanthus",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"259","Heptadecanthus brevipinnis","Heptadecanthus","brevipinnis",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"260","Heptadecanthus longicaudis","Heptadecanthus","longicaudis",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"261","Heptadecanthus maculosus","Heptadecanthus","maculosus",NA,"Acanthochromis polyacanthus","Acanthochromis","polyacanthus","Pomacentridae","Pomacentridae"
"262","Acanthoclinus quadridactylus","Acanthoclinus","quadridactylus",NA,"Acanthoclinus littoreus","Acanthoclinus","littoreus","Plesiopidae","Plesiopidae"
"263","Acanthoclinus trilineatus","Acanthoclinus","trilineatus",NA,"Acanthoclinus littoreus","Acanthoclinus","littoreus","Plesiopidae","Plesiopidae"
"264","Blennius littoreus","Blennius","littoreus",NA,"Acanthoclinus littoreus","Acanthoclinus","littoreus","Plesiopidae","Plesiopidae"
"265","Blennius quadridactylus","Blennius","quadridactylus",NA,"Acanthoclinus littoreus","Acanthoclinus","littoreus","Plesiopidae","Plesiopidae"
"266","Taumakoides littoreus","Taumakoides","littoreus",NA,"Acanthoclinus littoreus","Acanthoclinus","littoreus","Plesiopidae","Plesiopidae"
"267","Taumakoides marilynae","Taumakoides","marilynae",NA,"Acanthoclinus marilynae","Acanthoclinus","marilynae","Plesiopidae","Plesiopidae"
"268","Taumakoides matti","Taumakoides","matti",NA,"Acanthoclinus matti","Acanthoclinus","matti","Plesiopidae","Plesiopidae"
"269","Taumakoides rua","Taumakoides","rua",NA,"Acanthoclinus rua","Acanthoclinus","rua","Plesiopidae","Plesiopidae"
"270","Botia nebulosa","Botia","nebulosa","synonym","Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"271","Cobitis botia","Cobitis","botia",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"272","Nemacheilus botia","Nemacheilus","botia",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"273","Nemacheilus botia botia","Nemacheilus","botia botia","senior synonym","Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"274","Nemachilus botia","Nemachilus","botia",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"275","Nemachilus botius","Nemachilus","botius",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"276","Nemachilus mackenziei","Nemachilus","mackenziei",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"277","Neomacheilus botia","Neomacheilus","botia",NA,"Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"278","Noemacheilus botia","Noemacheilus","botia","senior synonym","Acanthocobitis botia","Acanthocobitis","botia","Nemacheilidae","Nemacheilidae"
"279","Cobitis mooreh","Cobitis","mooreh",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"280","Cobitis moreh","Cobitis","moreh",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"281","Nemacheilus aureus","Nemacheilus","aureus",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"282","Nemacheilus botia aureus","Nemacheilus","botia aureus","junior synonym","Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"283","Nemacheilus mooreh","Nemacheilus","mooreh","senior synonym","Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"284","Nemacheilus moreh","Nemacheilus","moreh",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"285","Nemacheilus sinuatus","Nemacheilus","sinuatus",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"286","Nemachilus sinuatus","Nemachilus","sinuatus","junior synonym","Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"287","Noemacheilus mooreh","Noemacheilus","mooreh","senior synonym","Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"288","Noemacheilus moreh","Noemacheilus","moreh",NA,"Acanthocobitis mooreh","Acanthocobitis","mooreh","Nemacheilidae","Nemacheilidae"
"289","Acanthocobitis pavonaceus","Acanthocobitis","pavonaceus",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"290","Cobitis pavonacea","Cobitis","pavonacea",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"291","Cobitis pavonaceous","Cobitis","pavonaceous",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"292","Nemacheilus pavonaceus","Nemacheilus","pavonaceus","senior synonym","Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"293","Nemachilus pavonaceous","Nemachilus","pavonaceous",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"294","Nemachilus pavonaceus","Nemachilus","pavonaceus",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"295","Noemacheilus pavonaceous","Noemacheilus","pavonaceous",NA,"Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"296","Noemacheilus pavonaceus","Noemacheilus","pavonaceus","senior synonym","Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"297","Schistura pavonaceus","Schistura","pavonaceus","senior synonym","Acanthocobitis pavonacea","Acanthocobitis","pavonacea","Nemacheilidae","Nemacheilidae"
"298","Cobitis rubidipinnis","Cobitis","rubidipinnis","synonym","Acanthocobitis rubidipinnis","Acanthocobitis","rubidipinnis","Nemacheilidae","Nemacheilidae"
"299","Nemacheilus rubidipinnis","Nemacheilus","rubidipinnis",NA,"Acanthocobitis rubidipinnis","Acanthocobitis","rubidipinnis","Nemacheilidae","Nemacheilidae"
"300","Nemachilus rubidipinnis","Nemachilus","rubidipinnis",NA,"Acanthocobitis rubidipinnis","Acanthocobitis","rubidipinnis","Nemacheilidae","Nemacheilidae"
"301","Noemacheilus rubidipinnis","Noemacheilus","rubidipinnis","senior synonym","Acanthocobitis rubidipinnis","Acanthocobitis","rubidipinnis","Nemacheilidae","Nemacheilidae"
"302","Nemacheilus urophthalmus","Nemacheilus","urophthalmus","senior synonym","Acanthocobitis urophthalmus","Acanthocobitis","urophthalmus","Nemacheilidae","Nemacheilidae"
"303","Nemachilus urophthalmus","Nemachilus","urophthalmus","misspelling","Acanthocobitis urophthalmus","Acanthocobitis","urophthalmus","Nemacheilidae","Nemacheilidae"
"304","Noemacheilus urophthalmus","Noemacheilus","urophthalmus",NA,"Acanthocobitis urophthalmus","Acanthocobitis","urophthalmus","Nemacheilidae","Nemacheilidae"
"305","Paracanthocobitis urophthalma","Paracanthocobitis","urophthalma",NA,"Acanthocobitis urophthalmus","Acanthocobitis","urophthalmus","Nemacheilidae","Nemacheilidae"
"306","Acanthocybium forbesi","Acanthocybium","forbesi",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"307","Acanthocybium petus","Acanthocybium","petus",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"308","Acanthocybium sara","Acanthocybium","sara",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"309","Acanthocybium solanderi","Acanthocybium","solanderi","misspelling","Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"310","Acanthocybrium solandri","Acanthocybrium","solandri","misspelling","Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"311","Acanthoscybium solanderi","Acanthoscybium","solanderi","misspelling","Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"312","Acantocybium solandri","Acantocybium","solandri","misspelling","Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"313","Cybium petus","Cybium","petus",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"314","Cybium sara","Cybium","sara",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"315","Cybium solandri","Cybium","solandri",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"316","Cybium verany","Cybium","verany",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"317","Jordanidia solandri","Jordanidia","solandri","senior synonym","Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"318","Scomber amarui","Scomber","amarui",NA,"Acanthocybium solandri","Acanthocybium","solandri","Scombridae","Scombridae"
"319","Callichthys asper","Callichthys","asper","synonym","Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"320","Cataphractus americanus","Cataphractus","americanus",NA,"Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"321","Cataphractus americanus","Cataphractus","americanus","ambiguous synonym","Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"322","Doras blochii","Doras","blochii","synonym","Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"323","Doras castaneoventris","Doras","castaneoventris","ambiguous synonym","Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"324","Silurus cataphractus","Silurus","cataphractus","synonym","Acanthodoras cataphractus","Acanthodoras","cataphractus","Doradidae","Doradidae"
"325","Doras depressus","Doras","depressus",NA,"Acanthodoras depressus","Acanthodoras","depressus","Doradidae","Doradidae"
"326","Doras brunnescens","Doras","brunnescens","ambiguous synonym","Acanthodoras spinosissimus","Acanthodoras","spinosissimus","Doradidae","Doradidae"
"327","Doras spinosissimus","Doras","spinosissimus",NA,"Acanthodoras spinosissimus","Acanthodoras","spinosissimus","Doradidae","Doradidae"
"328","Aboma elongatus","Aboma","elongatus",NA,"Acanthogobius elongatus","Acanthogobius","elongatus","Gobiidae","Gobiidae"
"329","Acanthogobius elongate","Acanthogobius","elongate",NA,"Acanthogobius elongatus","Acanthogobius","elongatus","Gobiidae","Gobiidae"
"330","Aboma snyderi","Aboma","snyderi",NA,"Acanthogobius flavimanus","Acanthogobius","flavimanus","Gobiidae","Gobiidae"
"331","Acanthogobius flavimannus","Acanthogobius","flavimannus","misspelling","Acanthogobius flavimanus","Acanthogobius","flavimanus","Gobiidae","Gobiidae"
"332","Gobius flavimanus","Gobius","flavimanus",NA,"Acanthogobius flavimanus","Acanthogobius","flavimanus","Gobiidae","Gobiidae"
"333","Gobius hasta","Gobius","hasta",NA,"Acanthogobius hasta","Acanthogobius","hasta","Gobiidae","Gobiidae"
"334","Synechogobius hasta","Synechogobius","hasta",NA,"Acanthogobius hasta","Acanthogobius","hasta","Gobiidae","Gobiidae"
"335","Synechogobius hastus","Synechogobius","hastus",NA,"Acanthogobius hasta","Acanthogobius","hasta","Gobiidae","Gobiidae"
"336","Aboma lactipes","Aboma","lactipes",NA,"Acanthogobius lactipes","Acanthogobius","lactipes","Gobiidae","Gobiidae"
"337","Gobius lactipes","Gobius","lactipes",NA,"Acanthogobius lactipes","Acanthogobius","lactipes","Gobiidae","Gobiidae"
"338","Gobius stigmothonus","Gobius","stigmothonus",NA,"Acanthogobius stigmothonus","Acanthogobius","stigmothonus","Gobiidae","Gobiidae"
"339","Acantholabrus couchi","Acantholabrus","couchi",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"340","Acantholabrus couchii","Acantholabrus","couchii",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"341","Acantholabrus imbricatus","Acantholabrus","imbricatus",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"342","Crenilabrus luscus","Crenilabrus","luscus",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"343","Labrus pallidus","Labrus","pallidus",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"344","Labrus palloni","Labrus","palloni",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"345","Lutjanus palloni","Lutjanus","palloni",NA,"Acantholabrus palloni","Acantholabrus","palloni","Labridae","Labridae"
"346","Lumpenus fowleri","Lumpenus","fowleri",NA,"Acantholumpenus mackayi","Acantholumpenus","mackayi","Stichaeidae","Stichaeidae"
"347","Lumpenus mackayi","Lumpenus","mackayi",NA,"Acantholumpenus mackayi","Acantholumpenus","mackayi","Stichaeidae","Stichaeidae"
"348","Acanthonus spinifer","Acanthonus","spinifer",NA,"Acanthonus armatus","Acanthonus","armatus","Ophidiidae","Ophidiidae"
"349","Chrysophrys australis","Chrysophrys","australis",NA,"Acanthopagrus australis","Acanthopagrus","australis","Sparidae","Sparidae"
"350","Mylio australis","Mylio","australis",NA,"Acanthopagrus australis","Acanthopagrus","australis","Sparidae","Sparidae"
"351","Roughleyia australis","Roughleyia","australis",NA,"Acanthopagrus australis","Acanthopagrus","australis","Sparidae","Sparidae"
"352","Sparus australis","Sparus","australis",NA,"Acanthopagrus australis","Acanthopagrus","australis","Sparidae","Sparidae"
"353","Acanthopagrus bertha","Acanthopagrus","bertha",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"354","Acanthopagrus calamara","Acanthopagrus","calamara",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"355","Chrysophrys berda","Chrysophrys","berda",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"356","Chrysophrys berda calamara","Chrysophrys","berda calamara",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"357","Chrysophrys calamara","Chrysophrys","calamara",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"358","Chrysophrys madagascariensis","Chrysophrys","madagascariensis",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"359","Chrysophrys robinsoni","Chrysophrys","robinsoni",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"360","Mylio berda","Mylio","berda",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"361","Pagrus berda","Pagrus","berda",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"362","Pagrus robinsoni","Pagrus","robinsoni",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"363","Sparus berda","Sparus","berda",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"364","Sparus calamara","Sparus","calamara",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"365","Sparus hasta","Sparus","hasta",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"366","Sparus madagascariensis","Sparus","madagascariensis",NA,"Acanthopagrus berda","Acanthopagrus","berda","Sparidae","Sparidae"
"367","Chaetodon bifasciatus","Chaetodon","bifasciatus",NA,"Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"368","Chrysophrys bifasciata","Chrysophrys","bifasciata",NA,"Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"369","Chysophrys bifasciatus","Chysophrys","bifasciatus","senior synonym","Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"370","Holocentrus rabaji","Holocentrus","rabaji",NA,"Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"371","Mylio bifasciatus","Mylio","bifasciatus",NA,"Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"372","Sparus bifasciatus","Sparus","bifasciatus",NA,"Acanthopagrus bifasciatus","Acanthopagrus","bifasciatus","Sparidae","Sparidae"
"373","Mylio butcheri","Mylio","butcheri",NA,"Acanthopagrus butcheri","Acanthopagrus","butcheri","Sparidae","Sparidae"
"374","Labrus catenula","Labrus","catenula","synonym","Acanthopagrus catenula","Acanthopagrus","catenula","Sparidae","Sparidae"
"375","Sparus mylio","Sparus","mylio","synonym","Acanthopagrus catenula","Acanthopagrus","catenula","Sparidae","Sparidae"
"376","Acanthopagrus longispinnis","Acanthopagrus","longispinnis",NA,"Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"377","Chrysophrys longispinnis","Chrysophrys","longispinnis",NA,"Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"378","Coius datnia","Coius","datnia",NA,"Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"379","Sparidentex datnia","Sparidentex","datnia",NA,"Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"380","Sparus datnia","Sparus","datnia","senior synonym","Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"381","Sparus longispinnis","Sparus","longispinnis",NA,"Acanthopagrus datnia","Acanthopagrus","datnia","Sparidae","Sparidae"
"382","Acanthopagros latus","Acanthopagros","latus",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"383","Chrysophrys auripes","Chrysophrys","auripes",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"384","Chrysophrys datnia","Chrysophrys","datnia",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"385","Chrysophrys novaecaledoniae","Chrysophrys","novaecaledoniae","ambiguous synonym","Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"386","Chrysophrys rubroptera","Chrysophrys","rubroptera",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"387","Chrysophrys xanthopoda","Chrysophrys","xanthopoda",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
"388","Mylio latus","Mylio","latus",NA,"Acanthopagrus latus","Acanthopagrus","latus","Sparidae","Sparidae"
