"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"31","Antennatus dorehensis","Antennatus","dorehensis",NA,"Abantennarius dorehensis","Abantennarius","dorehensis","Antennariidae","Antennariidae"
"32","Antennarius drombus","Antennarius","drombus",NA,"Abantennarius drombus","Abantennarius","drombus","Antennariidae","Antennariidae"
"33","Antennarius nexilis","Antennarius","nexilis",NA,"Abantennarius drombus","Abantennarius","drombus","Antennariidae","Antennariidae"
"34","Antennarius duescus","Antennarius","duescus",NA,"Abantennarius duescus","Abantennarius","duescus","Antennariidae","Antennariidae"
"35","Antennatus duescus","Antennatus","duescus",NA,"Abantennarius duescus","Abantennarius","duescus","Antennariidae","Antennariidae"
"36","Antennarius japonicus","Antennarius","japonicus",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"37","Antennarius mummifer","Antennarius","mummifer","misspelling","Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"38","Antennarius nummifer","Antennarius","nummifer",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"39","Antennarius sanguifluus","Antennarius","sanguifluus",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"40","Antennatus nummifer","Antennatus","nummifer",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"41","Chironectes bicornis","Chironectes","bicornis","junior synonym","Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"42","Chironectes chlorostygma","Chironectes","chlorostygma",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"43","Chironectes nummifer","Chironectes","nummifer",NA,"Abantennarius nummifer","Abantennarius","nummifer","Antennariidae","Antennariidae"
"44","Antennarius rosaceus","Antennarius","rosaceus",NA,"Abantennarius rosaceus","Abantennarius","rosaceus","Antennariidae","Antennariidae"
"45","Antennatus rosaceus","Antennatus","rosaceus",NA,"Abantennarius rosaceus","Abantennarius","rosaceus","Antennariidae","Antennariidae"
"46","Antennarius leopardinus","Antennarius","leopardinus","junior synonym","Abantennarius sanguineus","Abantennarius","sanguineus","Antennariidae","Antennariidae"
"47","Antennarius sanguineus","Antennarius","sanguineus",NA,"Abantennarius sanguineus","Abantennarius","sanguineus","Antennariidae","Antennariidae"
"48","Antennarius tagus","Antennarius","tagus","junior synonym","Abantennarius sanguineus","Abantennarius","sanguineus","Antennariidae","Antennariidae"
"49","Antennatus sanguineus","Antennatus","sanguineus",NA,"Abantennarius sanguineus","Abantennarius","sanguineus","Antennariidae","Antennariidae"
"50","Pseudogobio obtusirostris","Pseudogobio","obtusirostris",NA,"Abbottina obtusirostris","Abbottina","obtusirostris","Cyprinidae","Cyprinidae"
"51","Abbottina psegma","Abbottina","psegma",NA,"Abbottina rivularis","Abbottina","rivularis","Cyprinidae","Cyprinidae"
"52","Gobio rivularis","Gobio","rivularis","synonym","Abbottina rivularis","Abbottina","rivularis","Cyprinidae","Cyprinidae"
"53","Pseudogobio rivularis","Pseudogobio","rivularis",NA,"Abbottina rivularis","Abbottina","rivularis","Cyprinidae","Cyprinidae"
"54","Tylognathus sinensis","Tylognathus","sinensis","synonym","Abbottina rivularis","Abbottina","rivularis","Cyprinidae","Cyprinidae"
"55","Amblyapistus binotata","Amblyapistus","binotata",NA,"Ablabys binotatus","Ablabys","binotatus","Tetrarogidae","Tetrarogidae"
