Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
FH12,-33.91868897,114.8963721,South-west,Fished,C.FH.21,46.1,Rachel,Yes,Yes,Claude,2020-10-29T04:46:00Z
FH35,-33.88368897,114.9313721,South-west,Fished,C.FH.17,45.2,Rachel,Yes,Yes,Claude,2020-10-29T07:09:00Z
IO46,-34.06868897,114.7113721,South-west,No-take,C.IO.34,129,Rachel,Yes,Yes,Claude,2020-10-22T22:44:00Z
IO47,-34.06368897,114.7113721,South-west,No-take,C.IO.34,127,Rachel,Yes,Yes,Claude,2020-10-22T22:53:00Z
FH67,-33.88868897,114.9238721,South-west,Fished,C.FH.17,46.1,Rachel,Yes,Yes,Claude,2020-10-29T07:00:00Z
FH72,-33.88868897,114.9288721,South-west,Fished,C.FH.17,44.1,Rachel,Yes,Yes,Claude,2020-10-29T07:06:00Z
FH78,-33.89118897,114.9163721,South-west,Fished,C.FH.17,45.8,Rachel,Yes,Yes,Claude,2020-10-29T06:56:00Z
FH87,-33.92868897,114.8938721,South-west,Fished,C.FH.21,43.8,Rachel,Yes,Yes,Claude,2020-10-29T04:36:00Z
FH94,-33.90868897,114.9413721,South-west,Fished,C.FH.18,41.9,Rachel,Yes,Yes,Claude,2020-10-29T06:36:00Z
IO101,-34.07868897,114.8963721,South-west,No-take,C.IO.39,43.5,Rachel,Yes,Yes,Claude,2020-10-29T02:10:00Z
IO102,-34.07118897,114.9113721,South-west,No-take,C.IO.2,45.2,Rachel,Yes,Yes,Claude,2020-10-29T02:26:00Z
IO105,-34.06368897,114.6688721,South-west,No-take,C.IO.30,139,Rachel,Yes,Yes,Claude,2020-10-23T01:45:00Z
IO189,-33.98868897,114.6638721,South-west,Fished,C.IO.40,139,Daphne,Yes,No,NA,2020-10-23T04:31:00Z
IO107,-34.06368897,114.6763721,South-west,No-take,C.IO.30,137,Rachel,Yes,Yes,Claude,2020-10-23T01:50:00Z
IO108,-34.05118897,114.6688721,South-west,No-take,C.IO.30,138,Rachel,Yes,Yes,Claude,2020-10-23T02:04:00Z
FH109,-33.91618897,114.9088721,South-west,Fished,C.FH.20,45.9,Rachel,Yes,Yes,Claude,2020-10-29T05:04:00Z
IO113,-34.05868897,114.7388721,South-west,No-take,C.IO.31,111,Rachel,Yes,Yes,Claude,2020-10-22T23:30:00Z
IO115,-34.05368897,114.7363721,South-west,No-take,C.IO.31,112,Rachel,Yes,Yes,Claude,2020-10-22T23:34:00Z
IO192,-33.98618897,114.6688721,South-west,Fished,C.IO.40,138,Rachel,Yes,Yes,Claude,2020-10-23T04:36:00Z
IO211,-34.05618897,114.9063721,South-west,No-take,C.IO.3,43.5,Rachel,Yes,Yes,Claude,2020-10-29T02:42:00Z
IO216,-34.06118897,114.9163721,South-west,No-take,C.IO.3,47.5,Rachel,Yes,Yes,Claude,2020-10-29T02:33:00Z
IO280,-34.08868897,114.6738721,South-west,No-take,C.IO.14,139,Rachel,Yes,Yes,Claude,2020-10-23T01:24:00Z
IO290,-34.06868897,114.7188721,South-west,No-take,C.IO.13,124,Rachel,Yes,Yes,Claude,2020-10-22T23:07:00Z
IO291,-34.08368897,114.7488721,South-west,No-take,C.IO.12,109,Rachel,Yes,Yes,Claude,2020-10-22T05:09:00Z
IO344,-34.0844,114.6744,South-west,No-take,C.IO.14,138,NA,No,No,NA,2020-10-23T01:28:00Z
IO295,-34.10368897,114.7538721,South-west,No-take,C.IO.11,109,Rachel,Yes,Yes,Claude,2020-10-22T04:25:00Z
IO297,-34.10618897,114.7488721,South-west,No-take,C.IO.11,114,Rachel,Yes,Yes,Claude,2020-10-22T04:21:00Z
IO372,-34.00618897,114.6438721,South-west,Fished,C.IO.26,140,NA,No,No,NA,2020-10-23T03:53:00Z
IO302,-34.07118897,114.7238721,South-west,No-take,C.IO.13,122,Rachel,Yes,Yes,Claude,2020-10-22T23:13:00Z
IO330,-34.08833333,114.7545,South-west,No-take,C.IO.12,116,Rachel,Yes,Yes,Claude,2020-10-22T05:00:00Z
IO355,-34.05473333,114.9111,South-west,No-take,C.IO.3,45,Rachel,Yes,Yes,Claude,2020-10-29T02:38:00Z
IO370,-33.99618897,114.6463721,South-west,Fished,C.IO.26,141,Rachel,Yes,Yes,Claude,2020-10-23T04:10:00Z
IO378,-33.99368897,114.6388721,South-west,Fished,C.IO.26,141,Rachel,Yes,Yes,Claude,2020-10-23T04:04:00Z
IOC04,-34.08755,114.749265,South-west,No-take,C.IO.12,109,Rachel,Yes,Yes,Claude,2020-10-22T05:16:00Z
IOC05,-34.05394,114.899843,South-west,No-take,C.IO.3,43.2,Rachel,Yes,Yes,Claude,2020-10-29T02:46:00Z
IO49,-34.06118897,114.7063721,South-west,No-take,C.IO.34,129,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T22:59:00Z
IO100,-34.07618897,114.9088721,South-west,No-take,C.IO.39,43.6,Rachel,Yes,Yes,Brooke Gibbons,2020-10-29T02:21:00Z
IO109,-34.05618897,114.6738721,South-west,No-take,C.IO.30,138,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T01:57:00Z
IO117,-34.06368897,114.7388721,South-west,No-take,C.IO.31,115,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T23:25:00Z
IO119,-34.07618897,114.9038721,South-west,No-take,C.IO.39,43.8,Rachel,Yes,Yes,Brooke Gibbons,2020-10-29T02:17:00Z
IO191,-33.99868897,114.6713721,South-west,Fished,C.IO.40,137,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T04:20:00Z
IO194,-33.99618897,114.6638721,South-west,Fished,C.IO.40,139,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T04:24:00Z
IO294,-34.08368897,114.7538721,South-west,No-take,C.IO.12,114,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T05:04:00Z
IO282,-34.14618897,114.5438721,South-west,No-take,C.IO.18,146,NA,No,No,NA,2020-10-28T23:20:00Z
IO298,-34.07618897,114.6713721,South-west,No-take,C.IO.14,138,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T01:39:00Z
IO299,-34.08118897,114.6763721,South-west,No-take,C.IO.14,139,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T01:32:00Z
IO313,-34.09618897,114.7563721,South-west,No-take,C.IO.11,108,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T04:47:00Z
IO324,-34.00006,114.639778,South-west,Fished,C.IO.26,141,Rachel,Yes,Yes,Brooke Gibbons,2020-10-23T03:59:00Z
IO329,-34.06481667,114.7266333,South-west,No-take,C.IO.13,121,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T23:18:00Z
IO331,-34.0984,114.75005,South-west,No-take,C.IO.11,112,Rachel,Yes,Yes,Brooke Gibbons,2020-10-22T04:30:00Z
IO343,-34.10261667,114.6407167,South-west,No-take,C.IO.15,140,Rachel,Yes,Yes,Claude,2020-11-22T23:38:00Z
IO352,-34.03618897,114.5988721,South-west,Fished,C.IO.27,133,Rachel,Yes,Yes,Claude,2020-11-23T01:43:00Z
IO369,-34.02868897,114.5913721,South-west,Fished,C.IO.27,133,Rachel,Yes,Yes,Claude,2020-11-23T02:08:00Z
IO71,-34.00368897,114.6988721,South-west,Fished,C.IO.41,121,Rachel,Yes,Yes,Claude,2020-11-23T04:31:00Z
IO148,-34.01118897,114.5963721,South-west,Fished,C.IO.46,140,Rachel,Yes,Yes,Claude,2020-11-23T02:31:00Z
IO254,-34.01868897,114.6963721,South-west,Fished,C.IO.49,119,Rachel,Yes,Yes,Claude,2020-11-23T04:10:00Z
IO276,-34.10118897,114.6363721,South-west,No-take,C.IO.15,140,Rachel,Yes,Yes,Claude,2020-11-22T23:34:00Z
IO326,-34.00425,114.6892833,South-west,Fished,C.IO.24,121,NA,No,No,NA,2020-11-23T04:26:00Z
IO349,-34.02368897,114.5963721,South-west,Fished,C.IO.27,133,Rachel,Yes,Yes,Claude,2020-11-23T02:03:00Z
IO379,-34.08368897,114.6813721,South-west,No-take,C.IO.14,138,Rachel,Yes,Yes,Claude,2020-11-22T22:58:00Z
IO306,-34.10118897,114.7338721,South-west,No-take,C.IO.10,124,Rachel,Yes,Yes,Claude,2020-10-22T02:29:00Z
FH55,-33.92368897,114.9088721,South-west,Fished,C.FH.20,44.9,Rachel,Yes,Yes,Claude,2020-10-29T04:52:00Z
IOC06,-34.048689,114.876372,South-west,Fished,C.IO.65,41.5,Ramesh,Yes,Yes,Claude,2020-10-15T23:48:00Z
FH69,-33.69618897,114.8038721,South-west,Fished,C.FH.4,46.9,Ramesh,Yes,Yes,Claude,2020-10-12T02:43:00Z
IO64,-34.01368897,114.8963721,South-west,Fished,C.IO.47,43.3,Ramesh,Yes,Yes,Claude,2020-10-19T03:26:00Z
IO65,-34.01118897,114.8888721,South-west,Fished,C.IO.53,43,Ramesh,Yes,Yes,Claude,2020-10-19T03:20:00Z
IO72,-34.03618897,114.8463721,South-west,Fished,C.IO.60,43.6,Ramesh,Yes,Yes,Claude,2020-10-19T01:05:00Z
IO227,-33.99868897,114.7838721,South-west,Fished,C.IO.42,52.9,Ramesh,Yes,Yes,Claude,2020-10-18T22:37:00Z
IO275,-34.09868897,114.6463721,South-west,No-take,C.IO.15,140,NA,No,No,NA,2020-11-23T06:38:00Z
IO229,-33.99368897,114.7863721,South-west,Fished,C.IO.42,53,Ramesh,Yes,Yes,Hayley,2020-10-18T22:31:00Z
IO241,-33.99368897,114.7913721,South-west,Fished,C.IO.42,50.6,Ramesh,Yes,Yes,Hayley,2020-10-18T22:26:00Z
IO245,-34.00868897,114.9013721,South-west,Fished,C.IO.47,42.3,Ramesh,Yes,Yes,Claude,2020-10-19T03:30:00Z
IO258,-33.96618897,114.9138721,South-west,Fished,C.IO.20,45.2,Ramesh,Yes,Yes,Claude,2020-10-19T04:05:00Z
IO261,-33.97618897,114.9213721,South-west,Fished,C.IO.20,46.9,Ramesh,Yes,Yes,Claude,2020-10-19T03:46:00Z
IO244,-34.00368897,114.9063721,South-west,Fished,C.IO.47,44.7,Ramesh,Yes,Yes,Claude,2020-10-19T03:35:00Z
