Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
IO134,-33.98368897,114.8613721,South-west,Fished,C.IO.37,41.2,Claude,Yes,Yes,Brooke Gibbons,2020-10-13T04:14:00Z
IO146,-33.97618897,114.8213721,South-west,Fished,C.IO.33,45.7,Claude,Yes,Yes,Brooke Gibbons,2020-10-13T02:17:00Z
IO147,-33.98118897,114.8313721,South-west,Fished,C.IO.33,44,Claude,Yes,Yes,Brooke Gibbons,2020-10-13T02:28:00Z
IO199,-34.08618897,114.8613721,South-west,No-take,C.IO.6,42.1,Claude,Yes,Yes,Brooke Gibbons,2020-10-16T01:51:00Z
IO217,-34.06618897,114.9188721,South-west,No-take,C.IO.2,47.1,Claude,Yes,Yes,Brooke Gibbons,2020-10-16T04:43:00Z
IO356,-34.06956667,114.9184667,South-west,No-take,C.IO.2,46.8,Claude,Yes,Yes,Brooke Gibbons,2020-10-16T04:39:00Z
IO293,-34.08868897,114.7588721,South-west,No-take,C.IO.12,111,Claude,Yes,Yes,Brooke,2020-10-22T04:55:00Z
FH5,-33.69368897,114.9413721,South-west,No-take,C.FH.5,44.5,Daphne,Yes,Yes,Rachel,2020-10-17T00:46:00Z
FH7,-33.78368897,114.8788721,South-west,Fished,C.FH.11,45,Daphne,Yes,Yes,Rachel,2020-10-17T03:45:00Z
FH20,-33.78618897,114.8738721,South-west,Fished,C.FH.11,43.1,Daphne,Yes,Yes,Rachel,2020-10-17T03:40:00Z
FH34,-33.78618897,114.8838721,South-west,Fished,C.FH.11,44.8,Daphne,Yes,Yes,Rachel,2020-10-17T03:51:00Z
IO235,-34.06618897,114.9138721,South-west,No-take,C.IO.2,46.5,NA,No,No,NA,2020-10-16T04:49:00Z
FH44,-33.77118897,114.8638721,South-west,Fished,C.FH.10,43.3,Daphne,Yes,Yes,Rachel,2020-10-17T03:28:00Z
FH95,-33.75868897,114.8913721,South-west,Fished,C.FH.8,46.8,Daphne,Yes,Yes,Rachel,2020-10-17T03:07:00Z
FH102,-33.68868897,114.9288721,South-west,No-take,C.FH.3,44.1,Daphne,Yes,Yes,Rachel,2020-10-16T22:42:00Z
FH108,-33.76118897,114.9238721,South-west,Fished,C.FH.9,44.7,Daphne,Yes,Yes,Rachel,2020-10-17T01:32:00Z
FHA,-33.683135,114.937827,South-west,No-take,C.FH.3,44.6,Daphne,Yes,Yes,Rachel,2020-10-16T22:55:00Z
FHB,-33.681655,114.957127,South-west,No-take,C.FH.A,41.3,Daphne,Yes,Yes,Rachel,2020-10-16T23:02:00Z
FHD,-33.686897,114.958507,South-west,No-take,C.FH.A,39.5,Daphne,Yes,Yes,Rachel,2020-10-16T23:12:00Z
FHE,-33.687267,114.951172,South-west,No-take,C.FH.A,42.3,Daphne,Yes,Yes,Rachel,2020-10-16T23:16:00Z
IO336,-34.0924,114.8663667,South-west,No-take,C.IO.6,43.2,NA,No,No,NA,2020-10-16T02:03:00Z
FH28,-33.76368897,114.9338721,South-west,Fished,C.FH.9,44.7,Daphne,Yes,Yes,Brooke Gibbons,2020-10-17T01:24:00Z
FH30,-33.75118897,114.8888721,South-west,Fished,C.FH.8,46.2,Daphne,Yes,Yes,Brooke Gibbons,2020-10-17T03:12:00Z
FH46,-33.76618897,114.9288721,South-west,Fished,C.FH.9,44.9,Daphne,Yes,Yes,Brooke Gibbons,2020-10-17T01:28:00Z
FH50,-33.68118897,114.9313721,South-west,No-take,C.FH.3,44.6,Daphne,Yes,Yes,Brooke Gibbons,2020-10-16T22:51:00Z
FH64,-33.70118897,114.9388721,South-west,No-take,C.FH.5,44.2,Daphne,Yes,Yes,Claude,2020-10-17T00:56:00Z
FH82,-33.68618897,114.9238721,South-west,No-take,C.FH.3,44.8,Daphne,Yes,Yes,Claude,2020-10-16T22:46:00Z
FH93,-33.77618897,114.8688721,South-west,Fished,C.FH.10,43.3,Daphne,Yes,Yes,Claude,2020-10-17T03:33:00Z
FHC,-33.680718,114.965092,South-west,No-take,C.FH.A,36.2,Daphne,Yes,Yes,Claude,2020-10-16T23:07:00Z
FH6,-33.70618897,114.8213721,South-west,Fished,C.FH.6,46,Daphne,Yes,Yes,Rachel,2020-10-12T02:50:00Z
FH18,-33.79118897,114.8213721,South-west,Fished,C.FH.12,43.5,Daphne,Yes,Yes,Rachel,2020-10-12T05:19:00Z
FH26,-33.81118897,114.8288721,South-west,Fished,C.FH.13,44.1,Daphne,Yes,No,Rachel,2020-10-12T07:10:00Z
FH27,-33.83618897,114.8713721,South-west,Fished,C.FH.14,42.9,Daphne,Yes,Yes,Rachel,2020-10-12T07:39:00Z
FH31,-33.67368897,114.8238721,South-west,Fished,C.FH.2,45.4,Daphne,Yes,Yes,Rachel,2020-10-12T00:27:00Z
FH37,-33.71118897,114.8138721,South-west,Fished,C.FH.6,44.2,Daphne,Yes,Yes,Claude,2020-10-12T03:03:00Z
FH58,-33.66368897,114.8413721,South-west,Fished,C.FH.1,45.1,Daphne,Yes,Yes,Claude,2020-10-11T23:47:00Z
FH65,-33.71368897,114.8188721,South-west,Fished,C.FH.6,45.7,Daphne,Yes,Yes,Claude,2020-10-12T02:59:00Z
FH70,-33.67368897,114.8463721,South-west,Fished,C.FH.1,48.6,Daphne,Yes,Yes,Claude,2020-10-12T00:07:00Z
FH74,-33.73118897,114.8063721,South-west,Fished,C.FH.7,44.9,Daphne,Yes,Yes,Claude,2020-10-12T04:47:00Z
FH89,-33.68618897,114.8013721,South-west,Fished,C.FH.4,45.7,Daphne,Yes,Yes,Claude,2020-10-12T02:34:00Z
FH96,-33.81868897,114.8338721,South-west,Fished,C.FH.13,44.9,Daphne,Yes,Yes,Claude,2020-10-12T07:20:00Z
FH8,-33.72368897,114.8013721,South-west,Fished,C.FH.7,43.9,Daphne,Yes,Yes,Rachel,2020-10-12T04:34:00Z
FH15,-33.68868897,114.8063721,South-west,Fished,C.FH.4,48,Daphne,Yes,Yes,Rachel,2020-10-12T02:29:00Z
FH17,-33.83368897,114.8763721,South-west,Fished,C.FH.14,42.9,Daphne,Yes,Yes,Rachel,2020-10-12T07:35:00Z
FH21,-33.79368897,114.8088721,South-west,Fished,C.FH.12,45,Daphne,Yes,Yes,Rachel,2020-10-12T05:26:00Z
FH23,-33.94618897,114.8288721,South-west,Fished,C.FH.22,44.2,Daphne,Yes,Yes,Rachel,2020-10-13T01:51:00Z
FH71,-33.88368897,114.8188721,South-west,Fished,C.FH.16,45.3,Daphne,Yes,Yes,Brooke Gibbons,2020-10-12T23:30:00Z
FH79,-33.88618897,114.8088721,South-west,Fished,C.FH.16,44.9,Daphne,Yes,Yes,Brooke Gibbons,2020-10-12T23:43:00Z
FH83,-33.91118897,114.8463721,South-west,Fished,C.FH.19,40.9,Daphne,Yes,Yes,Rachel,2020-10-13T00:13:00Z
FH77,-33.99618897,114.8763721,South-west,Fished,C.FH.24,42,NA,No,No,NA,2020-10-13T04:42:00Z
