Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
1,-34.128599,114.930865,South-west,No-take,c1,46.7,Hayley,Yes,Yes,Hayley,2020-06-02T01:10:00Z
2,-34.125316,114.928838,South-west,No-take,c1,44.4,Hayley,Yes,No,Hayley,2020-06-02T01:18:00Z
3,-34.126906,114.925945,South-west,No-take,c1,39.3,Hayley,Yes,Yes,Hayley,2020-06-02T01:27:00Z
4,-34.122634,114.920337,South-west,No-take,c2,44.1,Hayley,Yes,Yes,Hayley,2020-06-02T01:44:00Z
5,-34.131497,114.915753,South-west,No-take,c3,44.1,Hayley,Yes,Yes,Hayley,2020-06-02T01:57:00Z
6,-34.132842,114.912405,South-west,No-take,c3,43.2,Hayley,Yes,Yes,Hayley,2020-06-02T02:06:00Z
7,-34.134771,114.910241,South-west,No-take,c3,43.9,Hayley,Yes,No,Hayley,2020-06-02T02:16:00Z
8,-34.129352,114.911755,South-west,No-take,c3,39.6,Hayley,Yes,Yes,Hayley,2020-06-02T05:48:00Z
9,-34.119541,114.916105,South-west,No-take,c2,43.8,Hayley,Yes,Yes,Hayley,2020-06-02T03:45:51Z
10,-34.117294,114.918685,South-west,No-take,c2,45.7,Hayley,Yes,Yes,Hayley,2020-06-02T03:51:00Z
11,-34.117752,114.92306,South-west,No-take,c2,45.08,Hayley,Yes,Yes,Hayley,2020-06-02T05:55:00Z
12,-34.132262,114.928545,South-west,No-take,c1,40.1,Hayley,Yes,Yes,Hayley,2020-06-02T04:03:00Z
13,-34.128506,114.930547,South-west,No-take,c1,45.2,Hayley,Yes,Yes,Hayley,2020-06-02T04:09:00Z
14,-34.128381,114.925457,South-west,No-take,c1,35,Hayley,Yes,No,Hayley,2020-06-02T04:16:00Z
15,-34.125012,114.91032,South-west,No-take,c3,43,Hayley,Yes,Yes,Hayley,2020-06-02T06:09:00Z
16,-34.126181,114.906548,South-west,No-take,c3,40.9,Hayley,Yes,Yes,Hayley,2020-06-02T06:14:00Z
17,-34.132142,114.92083,South-west,No-take,c3,40.2,Hayley,Yes,Yes,Hayley,2020-06-02T06:20:00Z
18,-34.128679,114.924078,South-west,No-take,c1,35.8,Hayley,Yes,No,Hayley,2020-06-02T06:25:00Z
19,-34.122542,114.927818,South-west,No-take,c1,44.9,Hayley,No,No,Hayley,2020-06-02T06:30:00Z
20,-34.130219,114.820233,South-west,No-take,c8,51.7,Hayley,Yes,No,Hayley,2020-06-03T00:16:00Z
21,-34.128151,114.817448,South-west,No-take,c8,52.4,Hayley,Yes,Yes,Hayley,2020-06-03T00:24:00Z
22,-34.126271,114.819552,South-west,No-take,c8,51.9,Hayley,Yes,Yes,Hayley,2020-06-03T00:32:00Z
23,-34.124217,114.817017,South-west,No-take,c8,51.3,Hayley,Yes,Yes,Hayley,2020-06-03T00:38:00Z
24,-34.118739,114.826402,South-west,No-take,c7,49.8,Hayey,Yes,Yes,Hayey,2020-06-03T00:47:00Z
25,-34.116829,114.828432,South-west,No-take,c7,48.4,Hayley,Yes,Yes,Hayley,2020-06-03T00:54:00Z
26,-34.120881,114.828907,South-west,No-take,c7,48.4,Hayley,Yes,Yes,Hayley,2020-06-03T01:02:00Z
27,-34.121824,114.832898,South-west,No-take,c7,47.8,Hayley,Yes,Yes,Hayley,2020-06-03T02:19:00Z
28,-34.112916,114.852137,South-west,No-take,c6,44.7,Hayley,Yes,Yes,Hayley,2020-06-03T02:27:00Z
29,-34.111084,114.855648,South-west,No-take,c6,43,Hayley,Yes,Yes,Hayley,2020-06-03T02:31:00Z
30,-34.112094,114.85946,South-west,No-take,c6,42.9,Hayley,Yes,Yes,Hayley,2020-06-03T02:37:00Z
31,-34.116007,114.860738,South-west,No-take,c6,44.4,Hayley,Yes,Yes,Hayley,2020-06-03T02:42:00Z
32,-34.130076,114.86109,South-west,No-take,c5,43.2,Hayley,Yes,Yes,Hayley,2020-06-03T02:49:00Z
33,-34.133067,114.8627,South-west,No-take,c5,43.6,Hayley,Yes,No,Hayley,2020-06-03T02:54:00Z
34,-34.131334,114.866053,South-west,No-take,c5,42.7,Hayley,Yes,Yes,Hayley,2020-06-03T04:18:00Z
35,-34.134801,114.869348,South-west,No-take,c5,43.8,Hayley,Yes,Yes,Hayley,2020-06-03T04:23:00Z
36,-34.130484,114.878263,South-west,No-take,c4,42.2,Hayey,Yes,Yes,Hayey,2020-06-03T04:29:00Z
37,-34.126354,114.878937,South-west,No-take,c4,41.2,Hayley,Yes,Yes,Hayley,2020-06-03T04:34:00Z
38,-34.127912,114.883938,South-west,No-take,c4,41.8,Hayley,Yes,Yes,Hayley,2020-06-03T04:39:00Z
39,-34.132294,114.884797,South-west,No-take,c4,42.2,Hayley,Yes,Yes,Hayley,2020-06-03T04:42:00Z
40,-34.133669,114.880443,South-west,No-take,c4,41.2,Hayley,Yes,Yes,Hayley,2020-06-03T04:46:00Z
