OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
1.01	0	0	0.00000	0	1.01_L373.avi	123778	25.00000
1.01	0	0	0.00000	0	1.01_R374.avi	123756	25.00000
1.01	1	0	0.00000	0	1.01_R374.avi	123756	25.00000
1.02	0	0	0.00000	0	1.02_L369.avi	126299	25.00000
1.02	1	0	0.00000	0	1.02_R370.avi	126586	25.00000
1.03	0	0	0.00000	0	1.03_L367.avi	128964	25.00000
1.03	1	0	0.00000	0	1.03_R368.avi	128255	25.00000
1.04	0	0	0.00000	0	1.04_L375.avi	133066	25.00000
1.04	1	0	0.00000	0	1.04_R376.avi	132707	25.00000
1.05	0	0	0.00000	0	1.05_L371.avi	141324	25.00000
1.05	1	0	0.00000	0	1.05_R372.avi	139881	25.00000
1.06	0	0	0.00000	0	1.06_L378.avi	144105	25.00000
1.06	1	0	0.00000	0	1.06_R377.avi	144683	25.00000
10.01	0	0	0.00000	0	10.01_L373.avi	106500	25.00000
10.01	1	0	0.00000	0	10.01_R374.avi	106668	25.00000
10.02	0	0	0.00000	0	10.02_L369.avi	111660	25.00000
10.02	1	0	0.00000	0	10.02_R370.avi	112020	25.00000
10.03	0	0	0.00000	0	10.03_L367.avi	118293	25.00000
10.03	1	0	0.00000	0	10.03_R368.avi	118639	25.00000
10.04	0	0	0.00000	0	10.04_L375.avi	122913	25.00000
10.04	1	0	0.00000	0	10.04_R376.avi	123000	25.00000
10.07	0	0	0.00000	0	10.07_L372.avi	138828	25.00000
10.07	1	0	0.00000	0	10.07_R371.avi	138801	25.00000
10.08	0	0	0.00000	0	10.08_L378.avi	138622	25.00000
10.08	1	0	0.00000	0	10.08_R377.avi	138491	25.00000
10.09	0	0	0.00000	0	10.09_L378.avi	158412	25.00000
10.09	1	0	0.00000	0	10.09_R377.avi	159059	25.00000
10.11	0	0	0.00000	0	10.11_L372.avi	134880	25.00000
10.11	1	0	0.00000	0	10.11_R371.avi	126239	25.00000
10.12	0	0	0.00000	0	10.12_L375.avi	166560	25.00000
10.12	1	0	0.00000	0	10.12_R371.avi	162155	25.00000
10.12	1	0	0.00000	0	10.12_R376.avi	162155	25.00000
10.13	0	0	0.00000	0	10.13_L367.avi	158508	25.00000
10.13	1	0	0.00000	0	10.13_R368.avi	140087	25.00000
10.14	0	0	0.00000	0	10.14_L369.avi	159179	25.00000
10.14	1	0	0.00000	0	10.14_R370.avi	150755	25.00000
10.15	0	0	0.00000	0	10.15_L373.avi	161736	25.00000
10.15	1	0	0.00000	0	10.15_R374.avi	162047	25.00000
11.01	0	0	0.00000	0	11.01_L375.avi	114504	25.00000
11.01	1	0	0.00000	0	11.01_R376.avi	114060	25.00000
11.02	0	0	0.00000	0	11.02_L373.avi	116412	25.00000
11.02	1	0	0.00000	0	11.02_R374.avi	116268	25.00000
11.03	0	0	0.00000	0	11.03_L369.avi	121067	25.00000
11.03	1	0	0.00000	0	11.03_R370.avi	121030	25.00000
11.04	0	0	0.00000	0	11.04_L367.avi	119279	25.00000
11.04	1	0	0.00000	0	11.04_R368.avi	119435	25.00000
11.05	0	0	0.00000	0	11.05_L378.avi	123682	25.00000
11.05	1	0	0.00000	0	11.05_R377.avi	123033	25.00000
11.06	0	0	0.00000	0	11.06_L372.avi	127572	25.00000
11.06	1	0	0.00000	0	11.06_R371.avi	127176	25.00000
12.02	0	0	0.00000	0	12.02_L369.avi	143458	25.00000
12.02	1	0	0.00000	0	12.02_R370.avi	142536	25.00000
12.03	0	0	0.00000	0	12.03_L373.avi	113651	25.00000
12.03	1	0	0.00000	0	12.03_R374.avi	113855	25.00000
12.04	0	0	0.00000	0	12.04_L375.avi	109608	25.00000
12.04	1	0	0.00000	0	12.04_R376.avi	109524	25.00000
12.05	0	0	0.00000	0	12.05_L367.avi	120055	25.00000
12.05	1	0	0.00000	0	12.05_R368.avi	119952	25.00000
12.06	0	0	0.00000	0	12.06_L378.avi	127056	25.00000
12.06	1	0	0.00000	0	12.06_R377.avi	126288	25.00000
12.11	0	0	0.00000	0	12.11_L372.avi	115296	25.00000
12.11	1	0	0.00000	0	12.11_R371.avi	114946	25.00000
13.02	0	0	0.00000	0	13.02_L369.avi	109463	25.00000
13.02	1	0	0.00000	0	13.02_R370.avi	109290	25.00000
13.03	0	0	0.00000	0	13.03_L378.avi	92298	25.00000
13.03	1	0	0.00000	0	13.03_R377.avi	92652	25.00000
13.04	0	0	0.00000	0	13.04_L367.avi	132670	25.00000
13.04	1	0	0.00000	0	13.04_R368.avi	131879	25.00000
13.05	0	0	0.00000	0	13.05_L373.avi	131784	25.00000
13.05	1	0	0.00000	0	13.05_R374.avi	131880	25.00000
13.06	0	0	0.00000	0	13.06_L375.avi	127356	25.00000
13.06	1	0	0.00000	0	13.06_R376.avi	127212	25.00000
13.08	0	0	0.00000	0	13.08_L372.avi	128712	25.00000
13.08	1	0	0.00000	0	13.08_R371.avi	122686	25.00000
14.01	0	0	0.00000	0	14.01_L372.avi	104879	25.00000
14.01	1	0	0.00000	0	14.01_R371.avi	105000	25.00000
14.02	0	0	0.00000	0	14.02_L375.avi	117179	25.00000
14.02	1	0	0.00000	0	14.02_R376.avi	117684	25.00000
14.03	0	0	0.00000	0	14.03_L369.avi	124008	25.00000
14.03	1	0	0.00000	0	14.03_R370.avi	123959	25.00000
14.06	0	0	0.00000	0	14.06_L369.avi	106248	25.00000
14.06	1	0	0.00000	0	14.06_R370.avi	106451	25.00000
14.11	0	0	0.00000	0	14.11_L373.avi	111671	25.00000
14.11	1	0	0.00000	0	14.11_R374.avi	111911	25.00000
14.12	0	0	0.00000	0	14.12_L367.avi	111852	25.00000
14.12	1	0	0.00000	0	14.12_R368.avi	111527	25.00000
14.13	0	0	0.00000	0	14.13_L378.avi	124896	25.00000
14.13	1	0	0.00000	0	14.13_R377.avi	124536	25.00000
15.01	0	0	0.00000	0	15.01_L378.avi	109596	25.00000
15.01	1	0	0.00000	0	15.01_R377.avi	109559	25.00000
15.02	0	0	0.00000	0	15.02_L375.avi	115017	25.00000
15.02	1	0	0.00000	0	15.02_R376.avi	114931	25.00000
15.05	0	0	0.00000	0	15.05_L367.avi	124718	25.00000
15.05	1	0	0.00000	0	15.05_R368.avi	124494	25.00000
15.07	0	0	0.00000	0	15.07_L372.avi	132191	25.00000
15.07	1	0	0.00000	0	15.07_R371.avi	131543	25.00000
15.12	0	0	0.00000	0	15.12_L373.avi	131364	25.00000
15.12	1	0	0.00000	0	15.12_R374.avi	131376	25.00000
16.01	0	0	0.00000	0	16.01_L372.avi	111059	25.00000
16.01	1	0	0.00000	0	16.01_R371.avi	110891	25.00000
16.02	0	0	0.00000	0	16.02_L373.avi	121955	25.00000
16.02	1	0	0.00000	0	16.02_R374.avi	121548	25.00000
16.03	0	0	0.00000	0	16.03_L367.avi	116052	25.00000
16.03	1	0	0.00000	0	16.03_R368.avi	120886	25.00000
16.04	0	0	0.00000	0	16.04_L375.avi	135274	25.00000
16.04	1	0	0.00000	0	16.04_R376.avi	131695	25.00000
16.05	0	0	0.00000	0	16.05_L369.avi	138504	25.00000
16.05	1	0	0.00000	0	16.05_R370.avi	138861	25.00000
17.08	0	0	0.00000	0	17.08_L378.avi	134719	25.00000
17.08	1	0	0.00000	0	17.08_R377.avi	134506	25.00000
18.01	0	0	0.00000	0	18.01_L369.avi	101076	25.00000
18.01	1	0	0.00000	0	18.01_R370.avi	100811	25.00000
18.02	0	0	0.00000	0	18.02_L378.avi	106980	25.00000
18.02	1	0	0.00000	0	18.02_R377.avi	106788	25.00000
18.03	0	0	0.00000	0	18.03_L375.avi	119760	25.00000
18.03	1	0	0.00000	0	18.03_R376.avi	119964	25.00000
18.04	0	0	0.00000	0	18.04_L367.avi	121607	25.00000
18.04	1	0	0.00000	0	18.04_R368.avi	121365	25.00000
18.07	0	0	0.00000	0	18.07_L373.avi	123562	25.00000
18.07	1	0	0.00000	0	18.07_R374.avi	124188	25.00000
18.08	0	0	0.00000	0	18.08_L372.avi	125435	25.00000
18.08	1	0	0.00000	0	18.08_R371.avi	127416	25.00000
19.01	0	0	0.00000	0	19.01_L372.avi	107844	25.00000
19.01	1	0	0.00000	0	19.01_R371.avi	107964	25.00000
19.02	0	0	0.00000	0	19.02_L373.avi	115810	25.00000
19.02	1	0	0.00000	0	19.02_R374.avi	114012	25.00000
19.03	0	0	0.00000	0	19.03_L378.avi	119459	25.00000
19.03	1	0	0.00000	0	19.03_R377.avi	119868	25.00000
19.04	0	0	0.00000	0	19.04_L367.avi	118716	25.00000
19.04	1	0	0.00000	0	19.04_R368.avi	118968	25.00000
19.05	0	0	0.00000	0	19.05_L369.avi	126335	25.00000
19.05	1	0	0.00000	0	19.05_R370.avi	125580	25.00000
19.08	0	0	0.00000	0	19.08_L375.avi	134556	25.00000
19.08	1	0	0.00000	0	19.08_R376.avi	134780	25.00000
2.02	0	0	0.00000	0	2.02_L378.avi	115080	25.00000
2.03	0	0	0.00000	0	2.03_L372.avi	112439	25.00000
2.03	1	0	0.00000	0	2.03_R371.avi	112606	25.00000
2.04	0	0	0.00000	0	2.04_L375.avi	121628	25.00000
2.04	1	0	0.00000	0	2.04_R376.avi	120969	25.00000
2.05	0	0	0.00000	0	2.05_L367.avi	121894	25.00000
2.05	1	0	0.00000	0	2.05_R368.avi	121904	25.00000
2.06	0	0	0.00000	0	2.06_L369.avi	124711	25.00000
2.06	1	0	0.00000	0	2.06_R370.avi	125673	25.00000
2.07	0	0	0.00000	0	2.07_L373.avi	136665	25.00000
2.07	1	0	0.00000	0	2.07_R374.avi	135612	25.00000
23.01	0	0	0.00000	0	23.01_L373.avi	124764	25.00000
23.01	1	0	0.00000	0	23.01_R374.avi	124884	25.00000
23.02	0	0	0.00000	0	23.02_L367.avi	133366	25.00000
23.02	1	0	0.00000	0	23.02_R368.avi	121884	25.00000
23.02	1	0	0.00000	0	23.03_R377.avi	135564	25.00000
23.03	0	0	0.00000	0	23.03_L378.avi	135612	25.00000
23.03	1	0	0.00000	0	23.03_R377.avi	135564	25.00000
23.04	0	0	0.00000	0	23.04_L369.avi	140063	25.00000
23.04	1	0	0.00000	0	23.04_R370.avi	139739	25.00000
23.06	0	0	0.00000	0	23.06_L375.avi	145944	25.00000
23.06	1	0	0.00000	0	23.06_R376.avi	146388	25.00000
23.09	0	0	0.00000	0	23.09_L372.avi	117899	25.00000
23.09	1	0	0.00000	0	23.09_R371.avi	117359	25.00000
3.01	0	0	0.00000	0	3.01_L367.avi	117924	25.00000
3.01	1	0	0.00000	0	3.01_R368.avi	133030	25.00000
3.02	0	0	0.00000	0	3.02_L369.avi	108672	25.00000
3.02	1	0	0.00000	0	3.02_R370.avi	83244	25.00000
3.03	0	0	0.00000	0	3.03_L373.avi	103368	25.00000
3.03	1	0	0.00000	0	3.03_R374.avi	102885	25.00000
3.04	0	0	0.00000	0	3.04_L375.avi	123852	25.00000
3.04	1	0	0.00000	0	3.04_R376.avi	123071	25.00000
3.05	0	0	0.00000	0	3.05_L371.avi	127932	25.00000
3.05	1	0	0.00000	0	3.05_R372.avi	123636	25.00000
3.06	0	0	0.00000	0	3.06_L378.avi	133152	25.00000
3.06	1	0	0.00000	0	3.06_R377.avi	110003	25.00000
30.01	0	0	0.00000	0	30.01_L375.avi	114215	25.00000
