"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mbdepth","roughness","detrended","tpi","aspect","reef","cumsum.wi"
"detrended","total_abundance","s(detrended, k = 3, bs = ""cr"")",371.823026307176,375.363091158449,0.22284,NA,2,0,0,0,0.258,0.314,0,0,1,0,0,0,0.258
"mbdepth+reef...2","total_abundance","s(mbdepth, k = 3, bs = ""cr"") + s(reef, k = 3, bs = ""cr"")",372.018849377615,376.400311507342,0.27964,NA,3,0,0.196,1.037,0.234,0.187,1,0,0,0,0,1,0.492
"mbdepth...3","total_abundance","s(mbdepth, k = 3, bs = ""cr"")",372.621956527622,376.162021378918,0.20319,NA,2,0,0.799,0.799,0.173,0.21,1,0,0,0,0,0,0.665
"mbdepth+reef...4","species_richness","s(mbdepth, k = 3, bs = ""cr"") + s(reef, k = 3, bs = ""cr"")",176.154874109256,180.536336238944,0.24378,NA,3,0,0,0,0.334,0.275,1,0,0,0,0,1,0.334
"roughness","greater than Lm","s(roughness, k = 3, bs = ""cr"")",128.078096689598,132.957654671624,0.40306,NA,2.5,0,0,0,0.389,0.436,0,1,0,0,0,0,0.389
"aspect+roughness","greater than Lm","s(aspect, k = 3, bs = ""cc"") + s(roughness, k = 3, bs = ""cr"")",129.640636539635,135.137673234412,0.43581,NA,3.53,0,1.563,2.18,0.178,0.146,0,1,0,0,1,0,0.567
"mbdepth...7","greater than Lm","s(mbdepth, k = 3, bs = ""cr"")",129.774953505824,134.726479104568,0.42081,NA,2.64,0,1.697,1.769,0.166,0.18,1,0,0,0,0,0,0.733
