OpCode,Period,Status,Latitude,Longitude,Date,Time,Location,Site,Successful.count,Successful.length,Depth,Observer
SIMP_PeronControl_S2_20170428,T8,Fished,-32.2628,115.6846,20170428-8,11:30:00,Shoalwater Islands,Peron Control 2,Yes,Yes,5,Caprice
SIMP_PeronControl_S2_20170428,T9,Fished,-32.2628,115.6846,20170428-9,11:30:00,Shoalwater Islands,Peron Control 2,Yes,Yes,5,Caprice
SIMP_PeronControl_S2_20170428,T10,Fished,-32.2628,115.6846,20170428-10,11:30:00,Shoalwater Islands,Peron Control 2,Yes,Yes,5,Caprice
SIMP_PeronControl_S2_20170428,T11,Fished,-32.2628,115.6846,20170428-11,11:30:00,Shoalwater Islands,Peron Control 2,Yes,Yes,5,Caprice
SIMP_PeronControl_S2_20170428,T12,Fished,-32.2628,115.6846,20170428-12,11:30:00,Shoalwater Islands,Peron Control 2,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T1,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T2,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T3,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T4,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T5,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T6,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T7,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T8,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T9,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T10,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T11,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_PeronSZ_S1_20170428_DOV,T12,Fished,-32.2684,115.6841,20170428,11:30:00,Shoalwater Islands,Peron SZ 1,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T1,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T2,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T3,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T4,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T5,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T6,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T7,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T8,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
SIMP_Seal Island SZ_S2_20170427_DOV,T9,No-take,-32.2954,115.6905,20170427,11:30:00,Shoalwater Islands,Seal Island SZ 2,Yes,Yes,5,Caprice
