Sample,Family,Genus,Species,Count
9DAC1-1,Serranidae,Epinephelides,armatus,1
9DAC1-1,Labridae,Coris,auricularis,1
9DAC1-1,Labridae,Bodianus,frenchii,1
9DAC1-1,Labridae,Coris,auricularis,1
9DAC1-1,Labridae,Ophthalmolepis,lineolatus,1
9DAC1-1,Pomacentridae,Parma,mccullochi,1
9DAC1-1,Pomacentridae,Parma,mccullochi,1
9DAC1-1,Pomacentridae,Parma,mccullochi,1
9DAC1-1,Pomacentridae,Parma,mccullochi,1
9DAC1-10,Pomacentridae,Chromis,klunzingeri,1
9DAC1-10,Pomacentridae,Chromis,klunzingeri,1
9DAC1-10,Pomacentridae,Chromis,klunzingeri,1
9DAC1-10,Pomacentridae,Chromis,klunzingeri,1
9DAC1-10,Labridae,Coris,auricularis,1
9DAC1-10,Labridae,Coris,auricularis,1
9DAC1-10,Labridae,Coris,auricularis,1
9DAC1-10,Labridae,Coris,auricularis,1
9DAC1-10,Labridae,Coris,auricularis,1
9DAC1-10,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pomacentridae,Parma,mccullochi,1
9DAC1-11,Pempherididae,Pempheris,klunzingeri,30
9DAC1-11,Pempherididae,Pempheris,klunzingeri,20
9DAC1-12,Labridae,Austrolabrus,maculatus,1
9DAC1-12,Kyphosidae,Kyphosus,sydneyanus,1
9DAC1-12,Kyphosidae,Kyphosus,sydneyanus,1
9DAC1-12,Kyphosidae,Kyphosus,sydneyanus,1
9DAC1-12,Pomacentridae,Parma,mccullochi,1
9DAC1-12,Pomacentridae,Parma,mccullochi,1
9DAC1-12,Pomacentridae,Parma,mccullochi,1
9DAC1-12,Pomacentridae,Parma,mccullochi,1
9DAC1-12,Pomacentridae,Parma,mccullochi,1
9DAC1-12,Carangidae,Pseudocaranx,spp,1
9DAC1-12,Scorpididae,Scorpis,georgiana,1
9DAC1-2,Labridae,Austrolabrus,maculatus,1
9DAC1-2,Labridae,Coris,auricularis,1
9DAC1-2,Labridae,Notolabrus,parilus,1
9DAC1-2,Labridae,Ophthalmolepis,lineolatus,1
9DAC1-2,Pomacentridae,Parma,mccullochi,1
