Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Observer.length,Successful.count,Successful.length,Comment,Date.time
10dAC1-1,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-2,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-3,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-4,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-5,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-6,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-7,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-8,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-9,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-10,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-11,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC1-12,-31.98670238,115.5188948,Armstrong,Fished,AC1,12,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-1,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-2,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-3,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-4,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-5,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-6,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-7,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-8,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-9,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-10,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-11,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC2-12,-31.98670238,115.5188948,Armstrong,Fished,AC2,9,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-1,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-2,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-3,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-4,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-5,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-6,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-7,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-8,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-9,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
10dAC3-10,-31.9927685,115.4984064,Armstrong,Fished,AC3,6,Bryce,Bryce,Yes,Yes,NA,2010-03-01T00:00:00+08:00
