"Sample","Latitude","Longitude","Date","Time","Location","Status","Site","Successful.count","Successful.length","Depth","Observer","Transect_Length"
"Outer-06",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-07",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-08",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-09",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-10",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-11",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Outer-12",-31.84267,115.70667,"20170401","11:00:00","Marmion Marine Park","Fished","Outer","Yes","Yes",8,"Caprice Hyde",25
"Wanneroo-01",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-02",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-03",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-04",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-05",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-06",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-07",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-08",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-09",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-10",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-11",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Wanneroo-12",-31.8149,115.7263,"20170401","11:00:00","Marmion Marine Park","Fished","Wanneroo","Yes","Yes",6,"Caprice Hyde",25
"Whitfords-01",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-02",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-03",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-04",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-05",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-06",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-07",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-08",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-09",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-10",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-11",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
"Whitfords-12",-31.8003,115.7175,"20170401","11:00:00","Marmion Marine Park","Fished","Whitfords","Yes","Yes",6.5,"Caprice Hyde",25
