OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
79	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.146503968	0.025540679	6.018130346	0.000448516	0.000659716	0	0.000226531	0.0002858	0	-0.000499126	-334.9378883	0	0	-0.708679018	-7.277408488	-0.559291797	mm
79	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
178	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.35E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
178	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.48E-05	6.94E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
186	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.35E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
186	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.48E-05	6.94E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
76	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.35E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
76	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.48E-05	6.94E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
88	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.35E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
88	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.48E-05	6.94E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
