OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
39_1	11	0	422.86254	611.82836	294.54355	577.12687
39_1	11	1	657.90976	566.15672	492.31899	539.85075
39_1	12	0	1040.47849	647.11194	686.48164	617.69403
39_1	12	1	792.33578	643.08209	374.49423	611.53731
39_1	13	0	1826.98846	534.91791	1518.78489	526.81343
39_1	13	1	1604.80273	547.82090	1267.60441	536.44776
39_1	14	0	1273.28437	755.59701	747.45016	717.31343
39_1	14	1	1567.42917	687.08955	1013.38930	656.86567
39_1	15	0	1170.25918	616.12687	881.37671	593.73881
39_1	15	1	1374.07870	622.84328	991.51312	603.81343
39_1	16	0	902.58132	838.20896	517.77545	781.79104
39_1	16	1	797.81742	705.22388	334.43861	672.98507
39_2	0	0	1347.82791	693.13433	572.17209	707.23881
39_2	0	1	1410.28332	693.13433	630.59811	705.22388
39_2	1	0	1040.17629	573.25373	960.97272	593.80597
39_2	1	1	1294.36306	545.04478	1187.96118	572.31343
39_2	2	0	350.82267	646.00000	564.50367	631.20896
39_2	2	1	435.10388	648.68657	617.89297	637.92537
39_2	3	0	1277.98216	626.90299	1433.51102	671.12687
39_2	3	1	1370.32214	624.21642	1542.30430	674.82090
39_2	4	0	1264.44701	839.44030	974.12592	864.96269
39_2	4	1	1159.68311	876.38060	823.02413	895.18657
39_2	5	0	849.96222	612.42537	839.74187	622.66418
39_2	5	1	942.30220	596.64179	945.84890	610.57463
39_2	6	0	1038.56978	588.89552	1177.90346	614.74627
39_2	6	1	1104.04722	588.55970	1245.73137	615.41791
39_2	7	0	1917.98531	752.70896	1361.28961	789.70149
39_2	7	1	1563.15110	701.48507	1113.14690	734.29104
39_2	8	0	1451.41343	622.63433	1458.46275	668.86567
39_2	8	1	1632.39979	578.97761	1646.83631	630.24627
39_2	9	0	1022.99161	710.02239	963.70514	729.08955
39_2	9	1	1099.21406	708.67910	1054.36621	731.44030
39_2	10	0	360.82686	646.90299	432.74082	629.84328
39_2	10	1	66.82057	679.18657	175.58762	647.95522
39_2	11	0	1519.35782	670.61940	1408.21301	713.42537
39_2	11	1	1890.45121	662.82090	1706.00839	724.05224
39_2	12	0	1554.62329	652.44030	1739.39559	714.58955
39_2	12	1	1454.22455	652.10448	1557.40189	709.55224
39_2	13	0	1103.75551	631.88060	1149.16055	664.11940
39_2	13	1	938.55089	668.48507	959.82267	684.32836
39_2	14	0	683.98426	653.02239	692.69990	654.08955
39_2	14	1	776.99580	672.16418	756.49843	678.94030
39_3	0	0	1357.90136	670.97015	580.23085	658.88060
39_3	0	1	1418.34208	670.97015	642.68625	658.88060
39_3	1	0	491.47639	720.50000	433.99580	654.17910
39_3	1	1	384.02623	719.15672	372.88353	647.12687
39_3	2	0	299.04092	673.23134	375.54355	597.12687
39_3	2	1	392.72403	689.35075	441.02099	620.97015
39_3	3	0	735.47324	563.03731	678.53515	530.12687
39_3	3	1	580.34208	536.17164	473.37251	486.47015
39_3	4	0	36.60021	632.93284	311.05561	547.00746
39_3	4	1	128.60441	633.94030	360.41553	558.08955
39_3	5	0	353.21931	676.76866	474.91710	606.11194
39_3	5	1	299.83001	685.50000	438.65268	609.80597
39_3	6	0	363.88877	624.32836	553.26128	564.21642
39_3	6	1	457.57188	635.74627	622.09654	583.35821
39_3	7	0	1079.27492	760.14925	818.77545	743.99254
39_3	7	1	902.65373	763.50746	658.94334	730.55970
39_3	8	0	1260.34732	800.15672	923.28122	799.83582
39_3	8	1	1417.82896	818.62687	1071.69675	827.70896
39_3	9	0	992.25918	645.55224	1027.41553	632.35075
39_3	9	1	1064.78804	641.52239	1096.25079	639.73881
39_3	10	0	1474.39140	704.66418	1459.62959	745.64179
39_3	10	1	1664.10808	673.76866	1740.66527	740.28358
39_3	11	0	940.87408	486.72388	1122.16579	473.23134
39_3	11	1	1028.84890	495.11940	1208.46170	488.00746
39_3	12	0	1185.90766	601.20896	1254.40294	608.64179
39_3	12	1	1056.29591	623.70896	1133.52151	622.07463
39_3	13	0	1654.04722	539.68657	1520.72403	569.12687
39_3	13	1	1483.13431	534.64925	1302.77335	550.56716
39_3	14	0	1297.54984	616.86567	1340.38300	632.91791
39_3	14	1	1191.44281	590.00000	1214.80063	592.28358
39_3	15	0	1000.63799	598.44030	1036.16264	585.44776
39_3	15	1	909.64113	612.20896	943.82267	594.17910
39_3	16	0	1039.25289	577.95522	1170.02308	573.75373
39_3	16	1	984.85624	580.30597	1125.69990	571.40299
39_3	17	0	1156.50577	607.86567	1199.46905	613.46269
39_3	17	1	1060.47219	610.88806	1103.09969	607.41791
39_3	18	0	1163.91815	556.90299	1269.48478	560.07463
39_3	18	1	1251.22141	551.86567	1363.16789	561.41791
39_3	19	0	1362.95383	617.24627	840.58972	608.47015
39_3	19	1	1068.63169	543.94030	591.48164	520.26866
39_3	20	0	236.70514	760.00746	81.59496	663.41791
39_3	20	1	627.33473	718.12687	381.96432	661.50746
39_4	0	0	1301.49003	664.92537	529.86359	691.11940
39_4	0	1	1361.93075	662.91045	598.36306	689.10448
39_4	1	0	848.39559	802.70896	650.91501	811.32836
39_4	1	1	799.70724	809.08955	612.97167	814.35075
39_4	2	0	373.01364	625.11194	568.82267	620.01493
39_4	2	1	455.61595	620.41045	634.30010	619.67910
39_4	3	0	211.66972	636.12235	476.26606	625.18597
39_4	3	1	59.30275	634.36052	381.73394	619.90049
39_4	4	0	104.76390	674.91045	364.51836	652.82090
39_4	4	1	158.48898	672.22388	404.14061	653.82836
39_4	5	0	869.37566	621.14179	974.82686	633.52985
39_4	5	1	805.57712	617.44776	919.75866	627.82090
39_4	6	0	376.59182	624.36567	580.48374	621.63433
39_4	6	1	281.90136	636.45522	521.05037	624.65672
39_4	7	0	361.37251	551.82090	585.57503	559.17910
39_4	7	1	111.04722	588.08955	410.80063	583.35821
39_4	8	0	686.12592	622.82836	731.49108	629.92537
39_4	8	1	495.40189	609.39552	562.59286	612.79851
39_4	9	0	293.46275	680.13433	322.88458	672.50000
39_4	9	1	484.85834	714.38806	499.50577	701.71642
39_4	10	0	459.41343	636.36567	412.00944	633.83582
39_4	10	1	559.81217	653.82836	553.03778	654.32090
39_4	11	0	1054.00315	516.92537	1181.28017	534.50746
39_4	11	1	945.54565	562.59701	1069.46485	582.52985
39_4	12	0	882.42707	717.26866	722.85624	728.14179
39_4	12	1	692.37461	674.95522	521.38720	676.76119
39_4	13	0	1111.03987	619.94030	1114.74816	640.64179
39_4	13	1	975.04827	621.61940	980.43547	638.29104
39_4	14	0	1516.36411	520.79851	1750.76600	542.99254
39_4	14	1	1629.85834	519.45522	1903.21091	546.68657
39_4	15	0	1375.17314	469.79851	1571.46275	484.70896
39_4	15	1	1466.16999	471.47761	1704.09654	484.03731
39_4	16	0	956.72718	548.04478	1069.59706	563.94030
39_4	16	1	1033.28541	536.62687	1156.22875	553.86567
39_4	17	0	1052.42497	520.17164	1193.16474	536.40299
39_4	17	1	979.56034	516.81343	1113.92025	530.69403
39_4	18	0	955.71983	620.91791	1021.24449	636.81343
39_4	18	1	871.77440	566.17910	948.37985	577.37313
39_4	19	0	724.30850	629.45522	618.91396	639.63433
39_4	19	1	877.76076	644.90299	795.19937	655.41791
39_4	20	0	863.08709	476.09701	1046.73452	490.69403
39_4	20	1	909.76076	473.41045	1087.69990	490.35821
39_4	21	0	1334.26338	499.14179	1570.77545	518.43284
39_4	21	1	1269.45750	505.18657	1490.85939	518.43284
39_5	0	0	1367.97482	693.13433	473.45226	681.04478
39_5	0	1	1442.51836	695.14925	543.96642	679.02985
39_5	1	0	1584.99685	865.07463	1264.26128	845.29851
39_5	1	1	1704.87093	919.47761	1329.06716	893.99254
39_5	2	0	1040.66946	848.32836	682.21406	828.14179
39_5	2	1	894.60441	916.50000	478.73033	892.61940
39_5	3	0	1449.49843	925.18657	911.47114	892.12687
39_5	3	1	1294.36726	988.65672	664.67156	947.53731
39_5	4	0	809.22980	822.74627	544.37251	803.65672
39_5	4	1	997.26758	832.48507	720.32214	810.70896
39_5	5	0	898.55194	759.62687	670.89192	741.49254
39_5	5	1	1748.75131	755.59701	1283.35782	737.46269
39_5	6	0	1288.94648	813.86567	1114.60126	799.47015
39_5	6	1	1164.03568	821.25373	1004.46485	807.52985
39_5	7	0	1443.05456	977.23881	821.26023	933.30597
39_5	7	1	1261.73242	986.97761	618.44806	951.44030
39_5	8	0	742.28856	844.47015	350.56558	831.52985
39_5	8	1	834.62854	809.54478	535.24554	796.94030
39_5	9	0	245.02099	599.73881	403.60231	596.18657
39_5	9	1	351.79958	595.03731	496.61385	593.83582
39_5	10	0	392.60965	521.44030	571.46485	532.44776
39_5	10	1	464.46695	530.17164	634.25603	543.52985
39_5	11	0	607.91815	550.35075	759.21196	555.51493
39_5	11	1	677.42497	545.64925	816.29486	553.83582
39_5	12	0	456.30535	650.20149	663.89612	637.88060
39_5	12	1	520.77545	663.29851	713.92760	651.31343
39_5	13	0	771.27072	557.57463	919.30535	562.67164
39_5	13	1	824.66002	565.29851	972.35887	567.03731
39_5	14	0	754.14586	634.47761	892.77859	629.83582
39_5	14	1	807.19937	648.91791	945.16055	643.60448
39_5	15	0	856.22350	614.66418	988.47639	612.37313
39_5	15	1	904.24029	611.64179	1030.78489	611.02985
39_5	16	0	658.53830	631.32836	794.45226	625.41791
39_5	16	1	723.67996	621.58955	852.87828	617.02239
39_5	17	0	428.59706	521.01493	588.34208	529.65672
39_5	17	1	492.73137	525.38060	643.41028	536.37313
39_5	18	0	1051.92760	768.73881	688.94439	752.31343
39_5	18	1	935.01574	625.92537	490.16055	622.81343
39_5	19	0	854.37146	557.70896	906.45750	560.81343
39_5	19	1	938.98846	559.72388	986.03778	564.17164
39_5	20	0	352.76600	603.29104	503.22980	599.37313
39_5	20	1	431.00315	606.98507	575.75866	604.41045
39_5	21	0	289.30325	544.18657	404.68520	553.35821
39_5	21	1	372.91291	543.17910	492.32424	552.68657
39_5	22	0	205.67576	403.38806	393.50157	441.26119
39_5	22	1	325.54984	434.95522	488.52781	462.41791
39_5	23	0	490.22141	655.02239	358.18258	651.09701
39_5	23	1	259.88877	668.39552	61.78384	664.55970
39_5	24	0	1587.26967	536.78358	1342.78699	536.74627
39_5	24	1	1296.48269	564.65672	1064.08814	566.63433
39_6	0	0	1349.84260	681.04478	570.15740	683.05970
39_6	0	1	1416.32739	683.05970	638.65687	683.05970
39_6	1	0	230.13326	734.19403	246.36621	679.64179
39_6	1	1	122.01154	764.75373	154.02623	699.45522
39_6	2	0	430.96222	840.79104	62.43337	801.10448
39_6	2	1	484.01574	822.32090	164.84680	789.68657
39_6	3	0	988.16999	848.33582	511.87093	840.23134
39_6	3	1	849.82791	879.23134	384.94544	865.41791
39_6	4	0	628.88143	633.91791	549.04197	612.44776
39_6	4	1	276.68730	644.74627	273.70094	613.79104
39_6	5	0	1191.55299	910.66418	564.98321	906.05970
39_6	5	1	946.95698	908.21642	219.45960	917.69403
39_6	6	0	1064.30955	636.11940	784.10598	630.70149
39_6	6	1	765.21196	623.60448	519.79014	608.50746
39_6	7	0	957.93704	653.05224	804.87828	647.88060
39_6	7	1	828.66107	637.26866	637.32319	623.36567
39_6	8	0	393.93914	675.00000	371.14795	639.02239
39_6	8	1	148.48269	687.08955	172.36516	636.67164
39_6	9	0	844.74607	651.61940	747.70934	641.06716
39_6	9	1	690.95803	650.94776	579.14690	631.32836
39_6	10	0	614.27282	641.94776	524.49843	618.51493
39_6	10	1	417.50472	629.18657	345.19098	598.36567
39_6	11	0	375.01259	695.79851	296.13326	653.60448
39_6	11	1	71.52151	766.12687	16.78909	700.64925
39_6	12	0	647.61280	625.10448	461.95593	606.37313
39_6	12	1	448.15845	645.25373	229.25918	617.11940
39_6	13	0	591.87303	684.54478	448.18888	656.07463
39_6	13	1	352.79643	693.27612	205.41868	653.38806
39_6	14	0	582.76076	576.64179	506.92235	557.41045
39_6	14	1	387.63379	631.58955	309.48269	599.05224
39_6	15	0	453.40294	709.77612	321.46380	673.23134
39_6	15	1	220.57083	752.23134	54.06086	700.63433
