CAAB_code,broad
10000916,Sessile invertebrates
10000906,Sessile invertebrates
10000912,Sessile invertebrates
10000905,Sessile invertebrates
10000908,Sessile invertebrates
10000904,Sessile invertebrates
10000903,Sessile invertebrates
10000000,Sessile invertebrates
1,Unscorable
36110000,Mobile invertebrates
17020000,Mobile invertebrates
13000000,Mobile invertebrates
15400000,Mobile invertebrates
22000902,Mobile invertebrates
22000901,Mobile invertebrates
22000000,Mobile invertebrates
17000000,Mobile invertebrates
80600901,Mobile invertebrates
82003001,Unscorable
82003008,Unscorable
82003006,Unscorable
82003007,Unscorable
82003005,Unscorable
82003003,Unscorable
82003004,Unscorable
82003002,Unscorable
82003000,Unscorable
82001003,Consolidated
82001004,Consolidated
82001002,Consolidated
82001001,Consolidated
82001006,Unconsolidated
82001007,Unconsolidated
82001010,Unconsolidated
82001008,Unconsolidated
82001009,Unconsolidated
82001018,Unconsolidated
82001017,Unconsolidated
82001011,Unconsolidated
82001012,Unconsolidated
82001013,Unconsolidated
82001014,Unconsolidated
82001015,Unconsolidated
82001016,Unconsolidated
82001005,Unconsolidated
82001000,Unscorable
