"CAAB_code","Parent_CAAB","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"81005001",81005000,"Biota","Bioturbation","Crawling traces","Thin trail",,,,,,,,
"81005000",81000000,"Biota","Bioturbation","Crawling traces",,,,,,,,,
"81001004",81001000,"Biota","Bioturbation","Dwelling traces","Burrow cluster",,,,,,,,
"81001012",81001000,"Biota","Bioturbation","Dwelling traces","Crater cone",,,,,,,,
"81001001",81001000,"Biota","Bioturbation","Dwelling traces","Elongate depression",,,,,,,,
"81001013",81001000,"Biota","Bioturbation","Dwelling traces","Fractured mound",,,,,,,,
"81001002",81001000,"Biota","Bioturbation","Dwelling traces","Large mound",,,,,,,,
"81001005",81001000,"Biota","Bioturbation","Dwelling traces","Oblique burrow",,,,,,,,
"81001007",81001000,"Biota","Bioturbation","Dwelling traces","Paired burrow",,,,,,,,
"81001010",81001000,"Biota","Bioturbation","Dwelling traces","Rounded crater ring",,,,,,,,
"81001006",81001000,"Biota","Bioturbation","Dwelling traces","Single burrow",,,,,,,,
"81001003",81001000,"Biota","Bioturbation","Dwelling traces","Small mound",,,,,,,,
"81001011",81001000,"Biota","Bioturbation","Dwelling traces","Spiked crater ring",,,,,,,,
"81001014",81001000,"Biota","Bioturbation","Dwelling traces","Spotted mound",,,,,,,,
"81001009",81001000,"Biota","Bioturbation","Dwelling traces","Trapdoor burrow",,,,,,,,
"81001008",81001000,"Biota","Bioturbation","Dwelling traces","Vertical burrow",,,,,,,,
"81001000",81000000,"Biota","Bioturbation","Dwelling traces",,,,,,,,,
"81004001",81004000,"Biota","Bioturbation","Feeding traces","Large rosette",,,,,,,,
"81004003",81004000,"Biota","Bioturbation","Feeding traces","Petal rosette",,,,,,,,
"81004005",81004000,"Biota","Bioturbation","Feeding traces","Pincushion rosette",,,,,,,,
"81004004",81004000,"Biota","Bioturbation","Feeding traces","Rayed mound",,,,,,,,
"81004002",81004000,"Biota","Bioturbation","Feeding traces","Small rosette",,,,,,,,
"81004000",81000000,"Biota","Bioturbation","Feeding traces",,,,,,,,,
"81006002",81006000,"Biota","Bioturbation","Organism tests","Globule xenophyophore",,,,,,,,
"81006001",81006000,"Biota","Bioturbation","Organism tests","Lumpy xenophyophore",,,,,,,,
"81006000",81000000,"Biota","Bioturbation","Organism tests",,,,,,,,,
"81003003",81003000,"Biota","Bioturbation","Resting traces","Large depression",,,,,,,,
"81003002",81003000,"Biota","Bioturbation","Resting traces","Star impression",,,,,,,,
"81003001",81003000,"Biota","Bioturbation","Resting traces","Urchin trace",,,,,,,,
"81003000",81000000,"Biota","Bioturbation","Resting traces",,,,,,,,,
"81007006",81007000,"Biota","Bioturbation","Unknown origin","Fern",,,,,,,,
"81007005",81007000,"Biota","Bioturbation","Unknown origin","Matchstick",,,,,,,,
"81007003",81007000,"Biota","Bioturbation","Unknown origin","Mesh",,,,,,,,
"81007001",81007000,"Biota","Bioturbation","Unknown origin","Ovoid pinnate",,,,,,,,
"81007007",81007000,"Biota","Bioturbation","Unknown origin","Pogostick",,,,,,,,
"81007002",81007000,"Biota","Bioturbation","Unknown origin","Round pinnate",,,,,,,,
"81007004",81007000,"Biota","Bioturbation","Unknown origin","Spider",,,,,,,,
"81007000",81000000,"Biota","Bioturbation","Unknown origin",,,,,,,,,
"81002001",81002000,"Biota","Bioturbation","Waste casts","Coiled casts",,,,,,,,
"81002005",81002000,"Biota","Bioturbation","Waste casts","Curly casts",,,,,,,,
"81002004",81002000,"Biota","Bioturbation","Waste casts","Mounded casts",,,,,,,,
"81002006",81002000,"Biota","Bioturbation","Waste casts","Nest casts",,,,,,,,
"81002003",81002000,"Biota","Bioturbation","Waste casts","Round casts",,,,,,,,
"81002007",81002000,"Biota","Bioturbation","Waste casts","Spirals",,,,,,,,
"81002008",81002000,"Biota","Bioturbation","Waste casts","Switchbacks",,,,,,,,
"81002002",81002000,"Biota","Bioturbation","Waste casts","Wavy casts",,,,,,,,
"81002000",81000000,"Biota","Bioturbation","Waste casts",,,,,,,,,
"81000000",80000000,"Biota","Bioturbation",,,,,,,,,,
"19100000",80000000,"Biota","Brachiopods",,,,,,,,,,
"20000908",20000901,"Biota","Bryozoa","Hard","Branching",,,,,,,,
