Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,System,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,AFID.training,Notes,Date.time
30,-22.7058,113.5588,20220522,10:47:54,NA,NA,NA,78.5,Kaitlin McCloghry,Yes,Yes,8,41,42,showed R cam wrong number - C,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220824,Henry Evans,Henry Evans,20221025,,,2022-05-22T10:47:54+08:00
31,-22.7542,113.5424,20220520,10:27:48,NA,NA,NA,82.3,Kaitlin McCloghry,Yes,Yes,8,41,42,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220803,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-20T10:27:48+08:00
32,-22.7239,113.5552,20220522,08:39:35,NA,NA,NA,78.3,Henry Evans,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220818,Kaitlin McCloghry,Kaitlin McCloghry,20220919,Henry Evans 20221011,,2022-05-22T08:39:35+08:00
33,-22.719,113.549,20220522,10:09:30,NA,NA,NA,85.4,Kaitlin McCloghry,Yes,Yes,2,29,30,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220823,Henry Evans,Henry Evans,20221024,,Changed Naso to Aluterus monoceros,2022-05-22T10:09:30+08:00
34,-22.6928,113.5645,20220522,14:38:27,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220831,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-22T14:38:27+08:00
35,-22.6987,113.551,20220522,12:46:10,NA,NA,NA,94.6,Kaitlin McCloghry,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220829,Henry Evans,Henry Evans,20221108,,,2022-05-22T12:46:10+08:00
36,-22.7318,113.5477,20220520,14:25:23,NA,NA,NA,83.2,Henry Evans,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220817,Kaitlin McCloghry,Kaitlin McCloghry,20220914,Kaitlin McCloghry 20221012,,2022-05-20T14:25:23+08:00
37,-22.7475,113.5445,20220520,12:23:05,NA,NA,NA,81.3,Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220808,,Molly Gerrans/Kaitlin McCloghry,20221117,,,2022-05-20T12:23:05+08:00
38,-22.6868,113.5642,20220526,08:38:39,NA,NA,NA,78.6,Kaitlin McCloghry,Yes,Yes,6,37,38,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220907,Henry Evans,Henry Evans,20221206,,,2022-05-26T08:38:39+08:00
39,-22.7105,113.5539,20220522,10:35:24,NA,NA,NA,78.9,Kaitlin McCloghry,Yes,Yes,6,37,38,Bottom time 00:59:40,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220824,Henry Evans,Henry Evans,20221025,,,2022-05-22T10:35:24+08:00
40,-22.7522,113.5444,20220520,11:58:07,NA,NA,NA,84.1,Henry Evans,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220803,Kaitlin McCloghry,Kaitlin McCloghry,20220913,,,2022-05-20T11:58:07+08:00
41,-22.7154,113.5479,20220522,10:21:59,NA,NA,NA,89.7,Henry Evans,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220824,Kaitlin McCloghry,Kaitlin McCloghry,20220919,Henry Evans 20221012,,2022-05-22T10:21:59+08:00
42,-22.6952,113.5537,20220522,12:51:14,NA,NA,NA,92.3,Kaitlin McCloghry,Yes,Yes,5,35,36,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Kaitlin McCloghry,20220829,Henry Evans,Henry Evans,20221108,,,2022-05-22T12:51:14+08:00
43,-22.7328,113.5589,20220522,08:03:30,NA,NA,NA,70.6,Henry Evans,Yes,Yes,1,27,28,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220817,Kaitlin McCloghry,Kaitlin McCloghry,20220919,Kaitlin McCloghry 20221012,,2022-05-22T08:03:30+08:00
44,-22.7482,113.549,20220520,12:17:32,NA,NA,NA,79.4,Henry Evans,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,Henry Evans,20220810,Kaitlin McCloghry,Kaitlin McCloghry,20220914,Henry Evans 20221011,,2022-05-20T12:17:32+08:00
45,-22.7602,113.5432,20220520,09:23:19,NA,NA,NA,81.8,test video,Yes,Yes,4,33,34,,RAW1,Yes,Gabby Cummins,Yes,Gabby Cummins,test video,NA,Kaitlin McCloghry,Kaitlin McCloghry,20221117,,,2022-05-20T09:23:19+08:00
