CAAB	ScientificName	Authority	CommonName
25008901	Calamocrinus spp.	-	
25008902	Feracrinus spp.	-	[a stalked crinoid]
25008903	Hyocrinus spp.	-	
25008904	Ptilocrinus spp.	-	[a stalked crinoid]
25015901	Bathycrinus spp.	-	[a stalked crinoid]
25015902	Monachocrinus spp.	-	[a stalked crinoid]
25016901	Democrinus spp.	-	[a stalked crinoid]
25018901	Phrynocrinus spp.	-	[a stalked crinoid]
25018902	Porphyrocrinus spp.	-	[a stalked crinoid]
25021901	Endoxocrinus spp.	-	[a stalked crinoid]
25021902	Metacrinus spp.	-	[a stalked crinoid]
25021903	Saracrinus spp.	-	[a stalked crinoid]
25023901	Teliocrinus spp.	-	[a stalked crinoid]
25024901	Hypalocrinus spp.	-	[a stalked crinoid]
25026902	Adelatelecrinus spp.	-	[a crinoid]
25026901	Paratelecrinus spp.	-	[a crinoid]
25030918	Alloeocomatella spp.	-	[a crinoid]
25030916	Anneissia spp.	-	[a crinoid]
25030906	Aphanocomaster spp.	-	[a crinoid]
25030905	Capillaster spp.	-	[a crinoid]
25030903	Cenolia spp.	-	[a crinoid]
25030907	Clarkcomanthus spp.	-	[a crinoid]
25030901	Comactinia spp.	-	[a crinoid]
25030908	Comanthus spp.	-	[a crinoid]
25030909	Comaster spp.	-	[a crinoid]
25030910	Comatella spp.	-	[a crinoid]
25030911	Comatula spp.	-	[a crinoid]
25030912	Comatulella spp.	-	[a crinoid]
25030917	Comatulides spp.	-	[a crinoid]
25030913	Comissia spp.	-	[a crinoid]
25030904	Nemaster spp.	-	[a crinoid]
25030915	Palaeocomatella spp.	-	[a crinoid]
25030902	Phanogenia spp.	-	[a crinoid]
25035901	Dichrometra spp.	-	[a crinoid]
25035904	Mariametra spp.	-	
25035905	Stephanometra spp.	-	
25036901	Zygometra spp.	-	
25037901	Eudiocrinus spp.	-	
25038903	Amphimetra spp.	-	
25038902	Heterometra spp.	-	[a crinoid]
25038901	Himerometra spp.	-	[a crinoid]
25038904	Homalometra spp.	-	
25039902	Austrometra spp.	-	
25039903	Basilometra spp.	-	
25039904	Cenometra spp.	-	
25039905	Colobometra spp.	-	
25039906	Cyllometra spp.	-	
25039907	Decametra spp.	-	
25039908	Iconometra spp.	-	
25039901	Oligometra spp.	-	[a crinoid]
25039909	Oligometrides spp.	-	
25039910	Petasometra spp.	-	
25039911	Pontiometra spp.	-	
25045901	Tropiometra spp.	-	[a crinoid]
25046901	Neometra spp.	-	
25046902	Reometra spp.	-	
25047901	Ptilometra spp.	-	
25048901	Asterometra spp.	-	
25048902	Pterometra spp.	-	
25049901	Aglaometra spp.	-	[a crinoid]
25049902	Cosmiometra spp.	-	[a crinoid]
25049903	Crotalometra spp.	-	[a crinoid]
25049904	Daidalometra spp.	-	[a crinoid]
25049905	Oceanometra spp.	-	[a crinoid]
25049906	Parametra spp.	-	[a crinoid]
25049907	Stenometra spp.	-	[a crinoid]
25049908	Stiremetra spp.	-	[a crinoid]
25049909	Thalassometra spp.	-	[a crinoid]
25050901	Charitometra spp.	-	[a crinoid]
25050902	Glyptometra spp.	-	[a crinoid]
25050903	Monachometra spp.	-	[a crinoid]
25050904	Strotometra spp.	-	[a crinoid]
25055901	Notocrinus spp.	-	
25056901	Aporometra spp.	-	
25059901	Psathyrometra spp.	-	[a crinoid]
25059902	Sarametra spp.	-	[a crinoid]
25060904	Andrometra spp.	-	[a crinoid]
25060903	Antedon spp.	-	[a crinoid]
25060905	Anthometrina spp.	-	[a crinoid]
25060902	Bathymetra spp.	-	[a crinoid]
25060906	Dorometra spp.	-	[a crinoid]
25060907	Euantedon spp.	-	[a crinoid]
25060908	Florometra spp.	-	[a crinoid]
25060909	Nanometra spp.	-	[a crinoid]
25060901	Phrixometra spp.	-	[a crinoid]
25060910	Promachocrinus spp.	-	[a crinoid]
25060911	Thysanometra spp.	-	[a crinoid]
25060913	Tonrometra spp.	-	[a crinoid]
25060912	Toxometra spp.	-	[a crinoid]
25061901	Pentametrocrinus spp.	-	[a crinoid]
25061902	Thaumatocrinus spp.	-	[a crinoid]
25105901	Luidia spp.	-	[a seastar]
25111905	Astromesites spp.	-	[a seastar]
25111901	Astropecten spp.	-	[a seastar]
25111908	Bathybiaster spp.	-	[a seastar]
25111909	Bollonaster spp.	-	[a seastar]
25111910	Craspidaster spp.	-	[a seastar]
25111911	Ctenopleura spp.	-	[a seastar]
25111912	Dipsacaster spp.	-	[a seastar]
25111907	Dytaster spp.	-	[a seastar]
25111916	Koremaster spp.	-	[a seastar]
25111913	Leptychaster spp.	-	[a seastar]
25111902	Patagiaster spp.	-	[a seastar]
25111915	Persephonaster spp.	-	[a seastar]
25111903	Plutonaster spp.	-	[a seastar]
25111906	Proserpinaster spp.	-	[a seastar]
25111904	Psilaster spp.	-	[a seastar]
25111914	Tethyaster spp.	-	[a seastar]
25113901	Damnaster spp.	-	[a seastar]
25113902	Eremicaster spp.	-	[a seastar]
25113903	Hyphalaster spp.	-	[a seastar]
25113904	Porcellanaster spp.	-	[a seastar]
25113905	Sidonaster spp.	-	[a seastar]
25113906	Styracaster spp.	-	[a seastar]
25114901	Ctenodiscus spp.	-	
25115901	Benthopecten spp.	-	[a seastar]
25115902	Cheiraster spp.	-	[a seastar]
25115903	Pectinaster spp.	-	[a seastar]
25116901	Belyaevostella spp.	-	[a seastar]
25116902	Caymanostella spp.	-	[a seastar]
25121901	Podosphaeraster spp.	-	[a seastar]
25122906	Akelbaster spp.	-	[a seastar]
25122907	Anchitosia spp.	-	[a seastar]
25122908	Anthenoides spp.	-	[a seastar]
25122909	Astroceramus spp.	-	[a seastar]
25122910	Astropatricia spp.	-	[a seastar]
25122941	Bathyceramaster spp.	-	[a seastar]
25122903	Calliaster spp.	-	[a seastar]
25122911	Calliderma spp.	-	[a seastar]
25122913	Ceramaster spp.	-	[a seastar]
25122914	Chitonaster spp.	-	[a seastar]
25122939	Circeaster spp.	-	[a seastar]
25122915	Cladaster spp.	-	[a seastar]
25122916	Eknomiaster spp.	-	[a seastar]
25122917	Enigmaster spp.	-	[a seastar]
25122918	Evoplosoma spp.	-	[a seastar]
25122919	Fromia spp.	-	[a seastar]
25122920	Gilbertaster spp.	-	[a seastar]
25122921	Glyphodiscus spp.	-	[a seastar]
25122943	Goniodiscaster spp.	-	[a seastar]
25122922	Hippasteria spp.	-	[a seastar]
25122902	Iconaster spp.	-	[a seastar]
25122940	Kanakaster spp.	-	[a seastar]
25122904	Lithosoma spp.	-	[a seastar]
25122937	Lydiaster spp.	-	[a seastar]
25122924	Mediaster spp.	-	[a seastar]
25122925	Milteliphaster spp.	-	[a seastar]
25122944	Nectria spp.	-	[a seastar]
25122926	Neoferdina spp.	-	[a seastar]
25122927	Notioceramus spp.	-	[a seastar]
25122928	Nymphaster spp.	-	[a seastar]
25122929	Ogmaster spp.	-	[a seastar]
25122930	Pentagonaster spp.	-	[a seastar]
25122931	Pergamaster spp.	-	[a seastar]
25122932	Pillsburiaster spp.	-	[a seastar]
25122938	Plinthaster spp.	-	[a seastar]
25122933	Pseudogoniodiscaster spp.	-	[a seastar]
25122905	Rosaster spp.	-	[a seastar]
25122942	Sibogaster spp.	-	[a seastar]
25122934	Sphaeriodiscus spp.	-	[a seastar]
25122935	Stellaster spp.	-	[a seastar]
25122936	Styphlaster spp.	-	[a seastar]
25122901	Tosia spp.	-	biscuit seastars
25123901	Acodontaster spp.	-	[a seastar]
25123902	Diabocilla spp.	-	[a seastar]
25123904	Hoplaster spp.	-	[a seastar]
25123903	Odontaster spp.	-	[a seastar]
25124901	Archaster spp.	-	
25125901	Andora spp.	-	[a seastar]
25125903	Bunaster spp.	-	[a seastar]
25125904	Cistina spp.	-	[a seastar]
25125905	Dactylosaster spp.	-	[a seastar]
25125906	Gomophia spp.	-	[a seastar]
25125907	Hacelia spp.	-	[a seastar]
25125908	Heteronardoa spp.	-	[a seastar]
25125909	Leiaster spp.	-	[a seastar]
25125910	Linckia spp.	-	[a seastar]
25125911	Nardoa spp.	-	[a seastar]
25125912	Oneria spp.	-	[a seastar]
25125913	Ophidiaster spp.	-	[a seastar]
25125914	Pseudophidiaster spp.	-	[a seastar]
25125915	Tamaria spp.	-	[a seastar]
25126901	Chaetaster spp.	-	
25127902	Acheronaster spp.	-	[a seastar]
25127903	Anthaster spp.	-	[a seastar]
25127904	Anthenea spp.	-	[a seastar]
25127905	Bothriaster spp.	-	[a seastar]
25127906	Choriaster spp.	-	[a seastar]
25127907	Culcita spp.	-	[a seastar]
25127909	Gymnanthenea spp.	-	[a seastar]
25127910	Halityle spp.	-	[a seastar]
25127911	Nectriaster spp.	-	[a seastar]
25127912	Pentaceraster spp.	-	[a seastar]
25127913	Poraster spp.	-	[a seastar]
25127914	Protoreaster spp.	-	[a seastar]
25127915	Pseudoreaster spp.	-	[a seastar]
25128901	Asterodiscides spp.	-	[a seastar]
25129901	Radiaster spp.	-	[a seastar]
25130901	Leilaster spp.	-	[a seastar]
25131904	Gephyreaster spp.	-	[a seastar]
25131901	Paragonaster spp.	-	[a seastar]
25131903	Perissogonaster spp.	-	[a seastar]
25131902	Pseudarchaster spp.	-	[a seastar]
25136901	Crossaster spp.	-	[a seastar]
25136903	Lophaster spp.	-	[a seastar]
25136904	Paralophaster spp.	-	[a seastar]
25136905	Rhipidaster spp.	-	[a seastar]
25136906	Solaster spp.	-	[a seastar]
25137903	Korethraster spp.	-	[a seastar]
25137901	Peribolaster spp.	-	[a seastar]
25137902	Remaster spp.	-	[a seastar]
25138901	Asthenactis spp.	-	[a seastar]
25138902	Myxaster spp.	-	[a seastar]
25139905	Calyptraster spp.	-	[a seastar]
