CAAB	ScientificName	Authority	CommonName
12000000	Ctenophora	-	ctenophorans
12014002	Pleurobrachia australis	(Benham, 1907)	[a ctenophore]
12014001	Pleurobrachia pileus	(O.F. Müller, 1776)	[a ctenophore]
12014003	Sabaudia liguriae	Ghigi, 1909	[a ctenophore]
12014901	Pleurobrachia spp.	-	[a ctenophore]
12014902	Sabaudia spp.	-	[a ctenophore]
12014000	Pleurobrachiidae	-	ctenophores
12017001	Pukia falcata	Gershwin, Zeidler & Davie, 2010	[a ctenophore]
12017901	Pukia spp.	-	
12017000	Pukiidae	-	ctenophores
12018001	Euplokamis evansae	Gershwin, Zeidler & Davie, 2010	[a ctenophore]
12018002	Euplokamis helicoides	(Ralph & Kaberry, 1950)	[a ctenophore]
12018901	Euplokamis spp.	-	[a ctenophore]
12018000	Euplokamididae	-	ctenophores
12020003	Coeloplana mellosa	Gershwin, Zeidler & Davie, 2010	[a benthic ctenophore]
12020002	Coeloplana meteoris	(Thiel, 1968)	[a benthic ctenophore]
12020004	Coeloplana reichelti	Gershwin, Zeidler & Davie, 2010	[a benthic ctenophore]
12020001	Coeloplana scaberiae	Matsumoto & Gowlett-Holmes, 1996	[a benthic ctenophore]
12020005	Coeloplana thomsoni	Matsumoto, 1999	[a benthic ctenophore]
12020006	Coeloplana willeyi	Abbott, 1907	[a benthic ctenophore]
12020901	Coeloplana spp.	-	[a benthic ctenophore]
12020000	Coeloplanidae	-	benthic ctenophores
12021000	Ctenoplanidae	-	ctenophores
12050001	Bathocyroe paragaster	(Ralph & Kaberry, 1950)	[a ctenophore]
12050901	Bathocyroe spp.	-	[a ctenophore]
12050000	Bathocyroidae	-	ctenophores
12051001	Bolinopsis ashleyi	Gershwin, Zeidler & Davie, 2010	[a ctenophore]
12051002	Bolinopsis chuni	(Lendenfeld, 1885)	[a ctenophore]
12051003	Lesueuria pinnata	Ralph & Kaberry, 1950	[a ctenophore]
12051901	Bolinopsis spp.	-	
12051902	Lesueuria spp.	-	[a ctenophore]
12051000	Bolinopsidae	-	ctenophores
12052901	Eurhamphaea spp.	-	[a ctenophore]
12052000	Eurhamphaeidae	-	ctenophores
12054001	Leucothea filmersankeyi	Gershwin, Zeidler & Davie, 2010	[a ctenophore]
12054002	Leucothea multicornis	(Quoy & Gaimard, 1824)	[a ctenophore]
12054901	Leucothea spp.	-	[a ctenophore]
12054000	Leucotheidae	-	ctenophores
12055002	Ocyropsis crystallina	(Rang, 1828)	[a ctenophore]
12055004	Ocyropsis maculata immaculata	Harbison & Miller, 1986	[a ctenophore]
12055003	Ocyropsis maculata maculata	(Rang, 1828)	[a ctenophore]
12055001	Ocyropsis vance	Gershwin, Zeidler & Davie, 2010	[a ctenophore]
12055901	Ocyropsis spp.	-	[a ctenophore]
12055000	Ocyropsidae	-	ctenophores
12060001	Cestum veneris	Lesueur, 1813	venus girdle
12060002	Velamen parallelum	(Fol, 1869)	[a ctenophore]
12060901	Cestum spp.	-	[a ctenophore]
12060902	Velamen spp.	-	[a ctenophore]
12060000	Cestidae	-	ctenophores
12090001	Beroe cucumis	Fabricius, 1780	[a ctenophore]
12090006	Beroe forskalii	Milne Edwards, 1841	[a ctenophore]
12090007	Beroe gracilis	Künne, 1939	[a ctenophore]
12090002	Beroe macrostoma	Péron & Lesueur, 1808	[a ctenophore]
12090003	Beroe ovale	Bosc, 1802	[a ctenophore]
12090004	Beroe ovata	Bruguière, 1789	[a ctenophore]
12090005	Neis cordigera	Lesson, 1829	[a ctenophore]
12090901	Beroe spp.	-	[a ctenophore]
12090902	Neis spp.	-	
12090000	Beroidae	-	ctenophores
