CAAB	ScientificName	Authority	CommonName
27010901	Lepidurus spp.	-	[a tadpole shrimp]
27010902	Triops spp.	-	[a tadpole shrimp]
27019901	Alonella spp.	-	[a water flea]
27021901	Ceriodaphnia spp.	-	[a water flea]
27021902	Daphnia spp.	-	[a water flea]
27021904	Scapholeberis spp.	-	[a water flea]
27021905	Simocephalus spp.	-	[a water flea]
27022901	Bosmina spp.	-	[a water flea]
27022902	Bosminopsis spp.	-	[a water flea]
27023901	Acanthalona spp.	-	[a water flea]
27023902	Acroperus spp.	-	[a water flea]
27023903	Alona spp.	-	[a water flea]
27023905	Archepleuroxus spp.	-	[a water flea]
27023906	Armatalona spp.	-	[a water flea]
27023907	Australochydorus spp.	-	[a water flea]
27023938	Australospilus spp.	-	[a water flea]
27023908	Biapertura spp.	-	[a water flea]
27023909	Camptocercus spp.	-	[a water flea]
27023936	Celsinotum spp.	-	[a water flea]
27023910	Chydorus spp.	-	[a water flea]
27023911	Coronatella spp.	-	[a water flea]
27023912	Dadaya spp.	-	[a water flea]
27023913	Dunhevedia spp.	-	[a water flea]
27023931	Ephemeroporus spp.	-	[a water flea]
27023914	Euryalona spp.	-	[a water flea]
27023928	Extremalona spp.	-	[a water flea]
27023915	Graptoleberis spp.	-	[a water flea]
27023935	Karualona spp.	-	[a water flea]
27023916	Kurzia spp.	-	[a water flea]
27023917	Leberis spp.	-	[a water flea]
27023918	Leydigia spp.	-	[a water flea]
27023919	Maraura spp.	-	[a water flea]
27023929	Miralona spp.	-	[a water flea]
27023920	Monope spp.	-	[a water flea]
27023921	Monospilus spp.	-	[a water flea]
27023939	Notoalona spp.	-	[a water flea]
27023930	Ovalona spp.	-	[a water flea]
27023922	Oxyurella spp.	-	[a water flea]
27023932	Picripleuroxus spp.	-	[a water flea]
27023933	Planicirclus spp.	-	[a water flea]
27023923	Pleuroxus spp.	-	[a water flea]
27023934	Plurispina spp.	-	[a water flea]
27023924	Pseudochydorus spp.	-	[a water flea]
27023937	Pseudomonospilus spp.	-	[a water flea]
27023925	Rak spp.	-	[a water flea]
27023926	Rhynchochydorus spp.	-	[a water flea]
27023927	Saycia spp.	-	[a water flea]
27024907	Grimaldina spp.	-	[a water flea]
27024903	Macrothrix spp.	-	[a water flea]
27024904	Neothrix spp.	-	[a water flea]
27024905	Pseudomoina spp.	-	[a water flea]
27024906	Streblocerus spp.	-	[a water flea]
27025901	Moina spp.	-	[a water flea]
27025902	Moinodaphnia spp.	-	[a water flea]
27026901	Ilyocryptus spp.	-	[a water flea]
27031902	Evadne spp.	-	
27031903	Pleopsis spp.	-	
27031901	Podon spp.	-	[a water flea]
27031904	Pseudevadne spp.	-	
27035901	Diaphanosoma spp.	-	[a water flea]
27035902	Latonopsis spp.	-	[a water flea]
27035903	Penilia spp.	-	[a water flea]
27035904	Pseudosida spp.	-	[a water flea]
27035905	Sarsilatona spp.	-	[a water flea]
27051901	Cyclestheria spp.	-	[a clam shrimp]
27052901	Caenestheria spp.	-	[a clam shrimp]
27052902	Caenestheriella spp.	-	[a clam shrimp]
27052903	Cyzicus spp.	-	[a clam shrimp]
27052904	Eocyzicus spp.	-	[a clam shrimp]
27052905	Ozestheria spp.	-	[a clam shrimp]
27053901	Eoleptestheria spp.	-	
27054904	Australimnadia spp.	-	[a clam shrimp]
27054901	Eulimnadia spp.	-	[a clam shrimp]
27054903	Limnadopsis spp.	-	[a clam shrimp]
27054902	Paralimnadia spp.	-	[a clam shrimp]
27055901	Lynceus spp.	-	[a clam shrimp]
27061901	Artemia spp.	-	brine shrimps
27063901	Australobranchipus spp.	-	
27067901	Streptocephalus spp.	-	
27068901	Branchinella spp.	-	
27069901	Parartemia spp.	-	[a brine shrimp]
27105901	Archasterope spp.	-	
27105902	Asteropterygion spp.	-	[an ostracod]
27105903	Bathyleberis spp.	-	
27105904	Cyclasterope spp.	-	
27105918	Cycloleberis spp.	-	[an ostracod]
27105905	Cylindroleberis spp.	-	[an ostracod]
27105906	Diasterope spp.	-	
27105907	Dolasterope spp.	-	
27105908	Domromeus spp.	-	
27105909	Homasterope spp.	-	
27105910	Leuroleberis spp.	-	
27105911	Macroasteropteron spp.	-	
27105912	Parasterope spp.	-	[an ostracod]
27105913	Skogsbergiella spp.	-	[an ostracod]
27105914	Synasterope spp.	-	[an ostracod]
27105915	Tetraleberis spp.	-	
27105916	Xandarasterope spp.	-	
27105917	Xenoleberis spp.	-	
27106901	Azygocypridina spp.	-	
27106916	Codonocera spp.	-	[an ostracod]
27106902	Cypridinodes spp.	-	[an ostracod]
27106903	Doloria spp.	-	
27106913	Gigantocypris spp.	-	[an ostracod]
27106904	Isocypridina spp.	-	
27106914	Macrocypridina spp.	-	[an ostracod]
27106905	Metavargula spp.	-	[an ostracod]
27106915	Monopia spp.	-	[an ostracod]
27106906	Paradoloria spp.	-	
27106907	Pseudodoloria spp.	-	
27106908	Pterocypridina spp.	-	[an ostracod]
27106909	Rheina spp.	-	
27106912	Sheina spp.	-	
27106910	Skogsbergia spp.	-	[an ostracod]
27106911	Vargula spp.	-	[an ostracod]
27107909	Angulorostrum spp.	-	[an ostracod]
27107901	Euphilomedes spp.	-	[an ostracod]
27107902	Harbansus spp.	-	[an ostracod]
27107903	Igene spp.	-	
27107904	Philomedes spp.	-	[an ostracod]
27107905	Pleoschisma spp.	-	
27107906	Pseudophilomedes spp.	-	[an ostracod]
27107907	Scleroconcha spp.	-	[an ostracod]
27107908	Tetragonodon spp.	-	[an ostracod]
27108904	Alternochelata spp.	-	[an ostracod]
27108901	Metaschisma spp.	-	
27108903	Rutiderma spp.	-	[an ostracod]
27108902	Scleraner spp.	-	
27109915	Adelta spp.	-	[an ostracod]
