CAAB	ScientificName	Authority	CommonName
23003901	Chaetoderma spp.	-	
23003902	Falcidens spp.	-	
23003903	Lepoderma spp.	-	
23004901	Claviderma spp.	-	
23012901	Tegulaherpia spp.	-	
23013901	Neomenia spp.	-	[a neomenioid aplacophoran]
23015901	Eleutheromenia spp.	-	
23016901	Dorymenia spp.	-	[a neomenioid aplacophoran]
23017901	Epimenia spp.	-	
23018901	Notomenia spp.	-	
23019901	Alexandromenia spp.	-	[a neomenioid aplacophoran]
23055903	Micropilina spp.	-	[a monoplacophoran]
23055901	Veleropilina spp.	-	[a monoplacophoran]
23055902	Vema spp.	-	
23101901	Leptochiton spp.	-	[a chiton]
23101902	Parachiton spp.	-	[a chiton]
23101903	Terenochiton spp.	-	[a chiton]
23103901	Ferreiraella spp.	-	[a chiton]
23110901	Choriplax spp.	-	[a chiton]
23114901	Particulazona spp.	-	[a chiton]
23115906	Callistochiton spp.	-	[a chiton]
23115907	Callochiton spp.	-	[a chiton]
23115908	Eudoxochiton spp.	-	[a chiton]
23115909	Ischnochiton spp.	-	[a chiton]
23115910	Lepidozona spp.	-	[a chiton]
23115913	Stenochiton spp.	-	[a chiton]
23115915	Stenosemus spp.	-	[a chiton]
23115914	Subterenochiton spp.	-	[a chiton]
23116901	Lorica spp.	-	[a chiton]
23116902	Loricella spp.	-	[a chiton]
23117903	Nuttallochiton spp.	-	[a chiton]
23117902	Placiphorella spp.	-	[a chiton]
23117901	Plaxiphora spp.	-	[a chiton]
23118901	Acanthopleura spp.	-	[a chiton]
23118902	Chiton spp.	-	[a chiton]
23118909	Liolophura spp.	-	[a chiton]
23118908	Lucilina spp.	-	[a chiton]
23118903	Mucrosquama spp.	-	[a chiton]
23118904	Onithochiton spp.	-	[a chiton]
23118905	Rhyssoplax spp.	-	[a chiton]
23118910	Squamopleura spp.	-	[a chiton]
23118906	Sypharochiton spp.	-	[a chiton]
23118907	Tegulaplax spp.	-	[a chiton]
23119901	Schizochiton spp.	-	[a chiton]
23120902	Acanthochitona spp.	-	[a chiton]
23120903	Bassethullia spp.	-	[a chiton]
23120904	Craspedochiton spp.	-	[a chiton]
23120906	Craspedoplax spp.	-	[a chiton]
23120907	Cryptoconchus spp.	-	[a chiton]
23120905	Leptoplax spp.	-	[a chiton]
23120901	Notoplax spp.	-	[a chiton]
23120908	Pseudotonicia spp.	-	[a chiton]
23121901	Cryptoplax spp.	-	[a chiton]
23122901	Hemiarthrum spp.	-	[a chiton]
23201906	Austronucula spp.	-	[a nut cockle]
23201908	Brevinucula spp.	-	[a nut cockle]
23201901	Ennucula spp.	-	[a nut cockle]
23201905	Linucula spp.	-	[a nut cockle]
23201902	Nucula spp.	-	[a nut cockle]
23201903	Pronucula spp.	-	[a nut cockle]
23201907	Varinucula spp.	-	[a nut cockle]
23203901	Bathyspinula spp.	-	[a bivalve]
23204901	Yoldia spp.	-	[a bivalve]
23204902	Yoldiella spp.	-	[a bivalve]
23205904	Katadesmia spp.	-	[a cockle]
23205905	Malletia spp.	-	[a cockle]
23205902	Neilo spp.	-	[a cockle]
23205903	Protonucula spp.	-	[a cockle]
23205901	Pseudoglomus spp.	-	
23206903	Neilonella spp.	-	[a bivalve]
23207908	Exocholeda spp.	-	[a beaked cockle]
23207901	Jupiteria spp.	-	[a beaked cockle]
23207909	Lamellileda spp.	-	[a beaked cockle]
23207902	Ledella spp.	-	[a beaked cockle]
23207903	Nuculana spp.	-	
23207910	Parayoldiella spp.	-	[a bivalve]
23207904	Poroleda spp.	-	[a beaked cockle]
23207905	Propeleda spp.	-	
23207907	Saccella spp.	-	[a beaked cockle]
23208901	Sarepta spp.	-	
23209901	Silicula spp.	-	[a beaked cockle]
23210901	Prelametila spp.	-	[a bivalve]
23211901	Tindaria spp.	-	[a bivalve]
23216902	Acharax spp.	-	[a date shell]
23216901	Solemya spp.	-	[a date shell]
23220901	Adipicola spp.	-	[a mussel]
23220902	Amygdalum spp.	-	
23220903	Arcuatula spp.	-	[a mussel]
23220904	Arenifodiens spp.	-	
23220905	Aulacomya spp.	-	
23220931	Bathymodiolus spp.	-	[a mussel]
23220932	Benthomodiolus spp.	-	[a mussel]
23220906	Botula spp.	-	
23220907	Brachidontes spp.	-	
23220908	Ciboticola spp.	-	
23220909	Dacrydium spp.	-	[a mussel]
23220910	Exosiperna spp.	-	
23220930	Gibbomodiola spp.	-	[a mussel]
23220933	Gigantidas spp.	-	[a mussel]
23220911	Gregariella spp.	-	[a mussel]
23220912	Idas spp.	-	[a mussel]
23220928	Jolya spp.	-	[a mussel]
23220926	Leiosolenus spp.	-	[a mussel]
23220914	Lithophaga spp.	-	
23220929	Modiolatus spp.	-	[a mussel]
23220915	Modiolus spp.	-	[a mussel]
23220917	Musculus spp.	-	[a mussel]
23220918	Mytilus spp.	-	[a mussel]
23220919	Perna spp.	-	[a mussel]
23220920	Rhomboidella spp.	-	[a mussel]
23220921	Septifer spp.	-	[a mussel]
23220922	Solamen spp.	-	
23220923	Stavelia spp.	-	
23220925	Trichomya spp.	-	
23220913	Xenostrobus spp.	-	[a mussel]
23220927	Zelithophaga spp.	-	[a mussel]
23226907	Acar spp.	-	[an ark shell]
23226901	Anadara spp.	-	COCKLES
23226902	Arca spp.	-	[an ark shell]
23226903	Barbatia spp.	-	[an ark shell]
23226904	Bathyarca spp.	-	[an ark shell]
23226916	Bentharca spp.	-	[an ark shell]
23226909	Calloarca spp.	-	[an ark shell]
23226908	Destacar spp.	-	[an ark shell]
23226915	Hawaiarca spp.	-	[an ark shell]
23226914	Mabellarca spp.	-	[an ark shell]
23226910	Mesocibota spp.	-	[an ark shell]
23226912	Mimarcaria spp.	-	[an ark shell]
23226911	Miratacar spp.	-	[an ark shell]
23226905	Samacar spp.	-	
23226913	Tegillarca spp.	-	[an ark shell]
23226906	Trisidos spp.	-	
23227901	Cucullaea spp.	-	
23228901	Arcopsis spp.	-	[a cockle]
23228906	Didimacar spp.	-	[a cockle]
23228905	Estellacar spp.	-	[a cockle]
23228907	Mulinarca spp.	-	[a cockle]
23228902	Sheldonella spp.	-	
23228903	Striarca spp.	-	
23228904	Verilarca spp.	-	[a cockle]
23230901	Limopsis spp.	-	[a dog cockle]
23231901	Glycymeris spp.	-	
23231902	Melaxinaea spp.	-	
23231903	Tucetona spp.	-	
23232901	Adacnarca spp.	-	
23232908	Aupouria spp.	-	[a bivalve]
23232902	Cosa spp.	-	
23232903	Cratis spp.	-	
23232904	Lissarca spp.	-	
23232907	Philobrya spp.	-	[a bivalve]
23232909	Verticipronus spp.	-	[a bivalve]
23233901	Huxleyia spp.	-	[a bivalve]
23233902	Nucinella spp.	-	[a bivalve]
23236905	Crenatula spp.	-	[a pearl oyster]
23236903	Electroma spp.	-	
23236906	Isognomon spp.	-	[a pearl oyster]
23236901	Pinctada spp.	-	PEARL OYSTERS
23236904	Pinctada spp. (except for Pinctada maxima)	-	pearl oysters
23236902	Pteria spp.	-	WING PEARL OYSTERS
23236907	Vulsella spp.	-	[a pearl oyster]
23237901	Malleus spp.	-	
23239901	Pulvinites spp.	-	[a bivalve]
23245901	Atrina spp.	-	[a razor clam]
23245902	Pinna spp.	-	[a razor clam]
23250901	Acesta spp.	-	[a file clam]
23250902	Ctenoides spp.	-	
23250903	Divarilima spp.	-	[a file clam]
23250908	Escalima spp.	-	[a file clam]
23250904	Lima spp.	-	[a file clam]
23250905	Limaria spp.	-	[a file clam]
23250906	Limatula spp.	-	[a file clam]
23250907	Limea spp.	-	
23256901	Hyotissa spp.	-	
23256902	Parahyotissa spp.	-	
23257901	Alectryonella spp.	-	
23257902	Booneostrea spp.	-	
23257904	Dendostrea spp.	-	
23257905	Lopha spp.	-	
23257903	Magallana spp.	-	[an oyster]
23257912	Nanostrea spp.	-	[an oyster]
23257913	Nicaisolopha spp.	-	[an oyster]
23257906	Ostrea spp.	-	[an oyster]
23257907	Planostrea spp.	-	
23257908	Pustulostrea spp.	-	
23257909	Saccostrea spp.	-	[an oyster]
23257910	Striostrea spp.	-	[an oyster]
23260901	Plicatula spp.	-	
23265901	Dimya spp.	-	
23270905	Adamussium spp.	-	[a scallop]
23270945	Amusium spp.	-	saucer scallops
23270939	Anguipecten spp.	-	[a scallop]
23270906	Annachlamys spp.	-	[a scallop]
23270907	Argopecten spp.	-	[a scallop]
23270908	Austrochlamys spp.	-	[a scallop]
23270940	Bractechlamys spp.	-	[a scallop]
23270903	Chlamys spp.	-	[a scallop]
23270909	Ciclopecten spp.	-	[a scallop]
23270910	Complicachlamys spp.	-	[a scallop]
23270911	Coralichlamys spp.	-	[a scallop]
23270912	Cryptopecten spp.	-	[a scallop]
23270913	Decatopecten spp.	-	[a scallop]
23270914	Delectopecten spp.	-	[a scallop]
23270915	Equichlamys spp.	-	[a scallop]
23270916	Excellichlamys spp.	-	[a scallop]
23270941	Glorichlamys spp.	-	[a scallop]
23270917	Gloripallium spp.	-	[a scallop]
23270938	Haumea spp.	-	[a scallop]
23270937	Hemipecten spp.	-	[a scallop]
23270918	Hyalopecten spp.	-	[a scallop]
23270919	Juxtamusium spp.	-	[a scallop]
23270920	Laevichlamys spp.	-	[a scallop]
23270921	Mesopeplum spp.	-	[a scallop]
23270904	Mimachlamys spp.	-	[a scallop]
23270922	Minnivola spp.	-	[a scallop]
23270923	Mirapecten spp.	-	[a scallop]
23270927	Mizuhopecten spp.	-	[a scallop]
23270924	Notochlamys spp.	-	[a scallop]
23270925	Palliolum spp.	-	[a scallop]
23270926	Pascahinnites spp.	-	[a scallop]
23270902	Pecten spp.	-	[a scallop]
23270928	Pedum spp.	-	[a scallop]
23270929	Pseudamussium spp.	-	[a scallop]
23270943	Pseudohinnites spp.	-	[a scallop]
23270930	Scaeochlamys spp.	-	[a scallop]
23270931	Semipallium spp.	-	[a scallop]
23270932	Serratovola spp.	-	[a scallop]
23270946	Sinepecten spp.	-	[a scallop]
23270933	Talochlamys spp.	-	[a scallop]
23270934	Veprichlamys spp.	-	[a scallop]
23270935	Volachlamys spp.	-	[a scallop]
23270944	Ylistrum spp.	-	saucer scallops
23270936	Zygochlamys spp.	-	[a scallop]
23271901	Catillopecten spp.	-	[a deepwater scallop]
23271909	Chlamydella spp.	-	[a deepwater scallop]
