Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Successful,OldDate,Visibility,Opcode-old,Boat,L.cam,R.cam,L.card,R.card,Raw.HD,Con.HD,Time.In,Time.Out,Waypoint,Field.staff,Habitat.Image.(Y/N),Habitat.classification.(Y/N),MaxN.complete.(dd/mm/yy),MaxN.Checker,Length.analyst,Length.completed.(dd/mm/yy),DOV.sites,DOV.Comments
Fish_P1_5,-23.32832188,113.7808493,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_2,3,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P1_6,-23.32832188,113.7808493,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_2,3,Todd Bond,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_1,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_2,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_3,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_4,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_5,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P2_6,-23.31876,113.78,20140801,0:00:00,Pelican Sanctuary,No-take,PelicanSZ_1,3,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_1,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_2,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_3,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_4,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_5,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish_P3_6,-23.23191306,113.762107,20140801,0:00:00,Between Maud and Pelican,Fished,MaudPelican_1,4,Nicole Ryan,,,NA,14-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
