OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.2	27	L033 (04).MP4	26619	R034 (04).MP4	25083	75.02022	1	19.28343	-355.25309	208.98381	-1986.25887	1.64553	1.26770	7.77038	0.58195	2028.57174	11.65282	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	28	L033 (04).MP4	26620	R034 (04).MP4	25084	75.02050	1	19.28371	-184.47438	404.86278	-1981.49429	1.18736	1.84781	7.73134	0.49997	2030.82847	12.52807	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	31	L033 (04).MP4	26626	R034 (04).MP4	25090	75.02217	1	19.28538	837.48154	715.85639	-2462.18506	4.02372	3.61080	11.76981	0.70294	2697.43971	24.01635	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	32	L033 (04).MP4	26626	R034 (04).MP4	25090	75.02217	1	19.28538	917.82757	735.21774	-2459.91181	4.34766	3.67223	11.67438	1.02295	2726.55803	25.46369	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	57	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	657.12977	571.82073	-2379.46728	3.15924	2.90109	11.10860	1.89050	2533.90273	20.01568	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	58	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	326.75621	189.51762	-2173.87089	1.70682	1.33592	9.34101	0.72396	2206.44537	9.78822	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	59	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	501.49997	406.74874	-2263.91841	2.40755	2.12083	10.10885	0.87141	2354.20333	15.83168	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	60	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	785.65274	452.30844	-2089.59865	3.21884	2.09420	8.50744	1.85750	2277.77428	23.38379	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	61	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	326.39881	592.48360	-2125.20623	1.66013	2.67567	8.89475	2.10394	2230.26333	17.53393	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	62	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	340.81265	318.23150	-1654.69900	1.32868	1.31426	5.43606	1.36008	1719.14319	15.64276	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	63	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	977.36118	491.49101	-2137.81328	3.95081	2.24576	8.72099	2.22670	2401.46703	27.03777	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	64	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	380.51260	173.35002	-1254.56163	1.07959	0.74697	3.13417	0.06233	1322.40877	18.37555	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	65	L033 (04).MP4	26640	R034 (04).MP4	25104	75.02606	1	19.28927	374.99415	-255.26235	-1252.13858	1.07080	0.87237	3.12861	11.02181	1331.77720	19.99343	Labridae	Coris	auricularis	37384088	54	AD	Passing			
npz6.2	88	L033 (04).MP4	26676	R034 (04).MP4	25140	75.03607	1	19.29928	289.72007	45.22238	-811.87705	0.59060	0.40336	1.30372	0.01441	863.20746	19.83731	Labridae	Coris	auricularis	37384088	1	AD	Passing			
npz6.2	121	L033 (05).MP4	20303	R034 (05).MP4	18767	95.80376	1	40.06697	224.26624	129.37519	-1394.27317	0.89886	0.76837	3.88682	0.16526	1418.10823	10.45063	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing			
npz6.2	122	L033 (05).MP4	27057	R034 (05).MP4	25521	97.68175	1	41.94496	-543.54740	-255.86574	-1496.56043	1.67772	1.02747	4.39052	1.77894	1612.63888	21.93158	Lethrinidae	Lethrinus	ravus	37351031	1	AD	Passing			
npz6.20	0	L039 (01).MP4	12270	R040 (01).MP4	10710	3.41174		-1.00000	-123.87123	9.01725	-1280.72387	0.69885	0.62622	3.24666	2.43814	1286.73191	5.52486	Nemipteridae			37347000				sync		
npz6.20	5	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	639.84656	-62.93023	-3658.82478	4.78186	1.79227	26.02272	11.78949	3714.88393	10.02482	Carangidae	Carangoides	spp		1	AD	Passing			
npz6.20	6	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1230.01055	-126.26415	-3592.38517	8.49768	1.86194	24.89042	7.67593	3799.22358	19.04808	Carangidae	Carangoides	spp		1	AD	Passing			
npz6.20	7	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1387.52450	581.60388	-2480.60323	5.89693	2.82557	10.62878	0.89993	2901.18591	31.05357	Carangidae	Carangoides	spp		1	AD	Passing			
npz6.20	8	L039 (03).MP4	73391	R040 (03).MP4	71831	65.50294	1	14.54258	1345.27374	310.84255	-2606.19008	6.30231	1.99990	12.31550	32.69748	2949.34082	27.80918	Carangidae	Carangoides	spp		1	AD	Passing			
