Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length
4.03,113.5005807,-22.78991929,13082019,8:24:00,4,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
4.08,113.4984427,-22.78601045,13082019,8:29:00,4,Ningaloo Marine Park,NA,?,Todd Bond,No,Yes
4.11,113.496067,-22.78371114,13082019,8:33:00,4,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
4.12,113.4877522,-22.78578052,13082019,8:56:00,4,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
5.02,113.54762,-22.78253,13082019,15:37:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
5.03,113.56188,-22.78303,13082019,15:42:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston ,Yes,Yes
5.07,113.57245,-22.7727833,13082019,15:49:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
5.08,113.5716127,-22.76807579,13082019,15:53:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
5.11,113.5723254,-22.76278737,13082019,16:05:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
5.13,113.58319,-22.76082,13082019,16:11:00,5,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,No
6.01,113.53596,-22.77091,13082019,13:41:00,6,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
6.02,113.55367,-22.75818,13082019,13:31:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,Yes,Yes
6.03,113.54189,-22.75754,13082019,13:25:00,6,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
6.04,113.5402541,-22.75175065,13082019,13:21:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,Yes,Yes
6.05,113.5412044,-22.7411738,13082019,13:15:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,Yes,Yes
6.12,113.541917,-22.73059695,13082019,13:11:00,6,Ningaloo Marine Park,NA,?,Brooke Gibbons,Yes,Yes
7.01,113.5509445,-22.73427585,14082019,8:24:00,7,Ningaloo Marine Park,NA,85,Charlotte Aston,Yes,Yes
7.02,113.5533202,-22.7317466,14082019,8:21:00,7,Ningaloo Marine Park,NA,84,Brooke Gibbons,Yes,Yes
7.03,113.5554582,-22.72507859,14082019,8:16:00,7,Ningaloo Marine Park,NA,82,Charlotte Aston,Yes,Yes
7.04,113.5630603,-22.72760784,14082019,8:13:00,7,Ningaloo Marine Park,NA,75,Brooke Gibbons,Yes,Yes
7.05,113.5732756,-22.72875749,14082019,8:08:00,7,Ningaloo Marine Park,NA,72,Brooke Gibbons,Yes,Yes
7.08,113.5756513,-22.73059695,14082019,8:03:00,7,Ningaloo Marine Park,NA,72,Charlotte Aston,Yes,Yes
8.01,113.5497567,-22.71266228,14082019,10:00:00,8,Ningaloo Marine Park,NA,87,Charlotte Aston,Yes,Yes
8.02,113.5559334,-22.70277523,14082019,10:06:00,8,Ningaloo Marine Park,NA,76,Charlotte Aston,Yes,Yes
8.05,113.57994,-22.7017,14082019,10:31:00,8,Ningaloo Marine Park,NA,63,Charlotte Aston,Yes,Yes
8.06,113.58157,-22.69621,14082019,10:27:00,8,Ningaloo Marine Park,NA,61,Charlotte Aston,Yes,Yes
8.07,113.57783,-22.69542,14082019,10:23:00,8,Ningaloo Marine Park,NA,63,Charlotte Aston,Yes,Yes
8.12,113.547381,-22.69932625,14082019,10:11:00,8,Ningaloo Marine Park,NA,95,Charlotte Aston,Yes,Yes
9.01,113.5359779,-22.70139564,13082019,11:16:00,9,Ningaloo Marine Park,NA,?,Charlotte Aston,Yes,Yes
9.02,113.5214865,-22.7025453,13082019,11:00:00,9,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
9.05,113.5248124,-22.69150858,13082019,11:05:00,9,Ningaloo Marine Park,NA,?,Charlotte Aston,No ,No
9.06,113.5319393,-22.6931181,13082019,11:10:00,9,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
9.07,113.5255251,-22.71082283,13082019,10:52:00,9,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
9.08,113.5136468,-22.71220242,13082019,10:45:00,9,Ningaloo Marine Park,NA,?,Todd Bond,Yes,Yes
10.01,113.5564085,-22.67587323,14082019,12:13:00,10,Ningaloo Marine Park,NA,93,Charlotte Aston,Yes,No
10.02,113.5564085,-22.67334399,14082019,12:19:00,10,Ningaloo Marine Park,NA,95,Charlotte Aston,Yes,Yes
10.03,113.5628228,-22.66874535,14082019,12:24:00,10,Ningaloo Marine Park,NA,88,Charlotte Aston,Yes,Yes
10.04,113.5518948,-22.6669059,14082019,12:33:00,10,Ningaloo Marine Park,NA,110,Charlotte Aston,No ,No 
