Dot Point Measurements

Generated: Wednesday, March 18, 2020 14:07:24

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
1.06.jpg	      0		944	1344													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	None		82001014	64.3
1.06.jpg	      0		136	1727													Open Water			Open					100.0
1.06.jpg	      0		405	1727													Open Water			Open					89.8
1.06.jpg	      0		675	1727													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	None		82001014	89.8
1.06.jpg	      0		944	1727													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	None		82001014	100.0
10.01.jpg	      0		136	193													Open Water			Open					100.0
10.01.jpg	      0		405	193													Octocoral/Black	Branching (3D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168902	89.8
10.01.jpg	      0		675	193													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	89.8
10.01.jpg	      0		944	193													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001015	100.0
10.01.jpg	      0		136	576													Open Water			Open					64.3
10.01.jpg	      0		405	576													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	46.9
10.01.jpg	      0		675	576													Octocoral/Black	Fan (2D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168912	46.9
10.01.jpg	      0		944	576													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	64.3
10.01.jpg	      0		136	960													Open Water			Open					46.6
10.01.jpg	      0		405	960													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	15.5
10.01.jpg	      0		675	960													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	15.5
10.01.jpg	      0		944	960													Unconsolidated	Sand / mud (fine sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001015	46.6
10.01.jpg	      0		136	1344													Open Water			Open					64.3
10.01.jpg	      0		405	1344													Octocoral/Black	Fan (2D)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			11168912	46.9
10.01.jpg	      0		675	1344													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001015	46.9
10.01.jpg	      0		944	1344													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	64.3
10.01.jpg	      0		136	1727													Open Water			Open					100.0
10.01.jpg	      0		405	1727													Octocoral/Black	Fan (2D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168912	89.8
10.01.jpg	      0		675	1727													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			82001015	89.8
10.01.jpg	      0		944	1727													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001015	100.0
10.02.jpg	      0		136	193													Sponges	Massive forms		Open	3. Good relief structure with some overhangs. >45 substrate slope.			10000903	100.0
10.02.jpg	      0		405	193													Unconsolidated	Sand / mud (coarse sand)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			82001014	89.8
10.02.jpg	      0		675	193													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	89.8
10.02.jpg	      0		944	193													Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001014	100.0
10.02.jpg	      0		136	576													Octocoral/Black	Whip		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			11168917	64.3
10.02.jpg	      0		405	576													Octocoral/Black	Branching (3D)		Open	3. Good relief structure with some overhangs. >45 substrate slope.			11168902	46.9
