"species","trophic_level","se","metric"
"Maurolicus javanicus","3.2","0.2","based on size and trophs of closest relative"
"Argyripnus pharos","3.3","0.3","based on size and trophs of closest relative"
"Astronesthes bilobatus","4.0","0.6","based on size and trophs of closest relative"
"Astronesthes boulengeri","4.0","0.6","based on size and trophs of closest relative"
"Astronesthes indopacificus","4.0","0.6","based on size and trophs of closest relative"
"Astronesthes lucifer","3.8","0.6","based on size and trophs of closest relative"
"Astronesthes lupina","3.9","0.6","based on size and trophs of closest relative"
"Astronesthes psychrolutes","4.0","0.7","based on size and trophs of closest relative"
"Astronesthes trifibulatus","3.9","0.6","based on size and trophs of closest relative"
"Borostomias antarcticus","3.6","0.54","based on food items"
"Borostomias mononema","4.0","0.66","based on food items"
"Heterophotus ophistoma","4.2","0.73","based on food items"
"Neonesthes capensis","4.0","0.66","based on food items"
"Neonesthes microcephalus","3.8","0.6","based on size and trophs of closest relative"
"Astronesthes ijimai","3.9","0.6","based on size and trophs of closest relative"
"Astronesthes indicus","3.5","0.48","based on food items"
"Astronesthes exsul","3.9","0.6","based on size and trophs of closest relative"
"Astronesthes kreffti","4.1","0.7","based on size and trophs of closest relative"
"Astronesthes splendidus","3.8","0.6","based on size and trophs of closest relative"
"Bathophilus abarbatus","4.2","0.7","based on size and trophs of closest relative"
"Bathophilus longipinnis","4.2","0.73","based on food items"
"Bathophilus nigerrimus","4.2","0.73","based on food items"
"Bathophilus pawneei","4.2","0.73","based on food items"
"Echiostoma barbatum","4.1","0.72","based on food items"
"Eustomias enbarbatus","4.5","0.80","based on food items"
"Eustomias trewavasae","4.5","0.80","based on food items"
"Bathophilus ater","4.3","0.7","based on size and trophs of closest relative"
"Bathophilus indicus","3.9","0.7","based on size and trophs of closest relative"
"Eustomias australensis","3.9","0.7","based on size and trophs of closest relative"
"Eustomias bifilis","4.3","0.8","based on size and trophs of closest relative"
"Eustomias bulbornatus","4.2","0.8","based on size and trophs of closest relative"
"Eustomias macronema","4.3","0.8","based on size and trophs of closest relative"
"Eustomias macrurus","4.5","0.80","based on food items"
"Eustomias satterleei","4.3","0.8","based on size and trophs of closest relative"
"Eustomias schmidti","4.2","0.73","based on food items"
"Flagellostomias boureei","4.6","0.8","based on size and trophs of closest relative"
"Melanostomias globulifer","4.1","0.7","based on size and trophs of closest relative"
"Melanostomias niger","4.2","0.7","based on size and trophs of closest relative"
"Melanostomias pauciradius","4.1","0.7","based on size and trophs of closest relative"
"Melanostomias tentaculatus","4.2","0.73","based on food items"
"Melanostomias valdiviae","4.2","0.73","based on food items"
"Opostomias micripnus","4.7","0.9","based on size and trophs of closest relative"
"Pachystomias microdon","4.2","0.73","based on food items"
"Photonectes albipennis","4.2","0.7","based on size and trophs of closest relative"
"Photonectes braueri","4.1","0.7","based on size and trophs of closest relative"
"Photonectes caerulescens","3.9","0.7","based on size and trophs of closest relative"
"Photonectes gracilis","4.0","0.7","based on size and trophs of closest relative"
"Photonectes mirabilis","3.9","0.7","based on size and trophs of closest relative"
"Photonectes parvimanus","4.1","0.7","based on size and trophs of closest relative"
"Thysanactis dentex","4.3","0.8","based on size and trophs of closest relative"
"Trigonolampa miriceps","4.5","0.80","based on food items"
"Eustomias vulgaris","4.4","0.8","based on size and trophs of closest relative"
"Eustomias parini","4.0","0.7","based on size and trophs of closest relative"
"Eustomias cryptobulbus","4.3","0.8","based on size and trophs of closest relative"
"Photonectes sphaerolampas","4.0","0.7","based on size and trophs of closest relative"
"Malacosteus niger","3.7","0.58","based on food items"
"Malacosteus australis","4.1","0.7","based on size and trophs of closest relative"
"Chauliodus sloani","4.2","0.7","based on diet studies"
"Stomias affinis","4.3","0.75","based on food items"
"Stomias boa","4.0","0.64","based on food items"
"Stomias longibarbatus","4.2","0.7","based on size and trophs of closest relative"
"Photostomias tantillux","3.8","0.6","based on size and trophs of closest relative"
"Photostomias liemi","3.9","0.7","based on size and trophs of closest relative"
"Idiacanthus fasciola","3.9","0.67","based on food items"
"Idiacanthus atlanticus","4.0","0.7","based on size and trophs of closest relative"
"Rouleina squamilatera","3.5","0.5","based on size and trophs of closest relative"
"Xenodermichthys copei","3.2","0.35","based on food items"
"Alepocephalus bicolor","3.6","0.2","based on size and trophs of closest relative"
"Asquamiceps hjorti","3.5","0.5","based on size and trophs of closest relative"
"Herwigia kreffti","3.5","0.5","based on size and trophs of closest relative"
"Photostylus pycnopterus","3.4","0.5","based on size and trophs of closest relative"
"Rouleina attrita","3.6","0.5","based on size and trophs of closest relative"
"Talismania antillarum","3.4","0.5","based on size and trophs of closest relative"
"Talismania longifilis","3.6","0.5","based on size and trophs of closest relative"
"Alepocephalus australis","3.8","0.39","based on food items"
"Mirognathus normani","3.4","0.5","based on size and trophs of closest relative"
"Narcetes lloydi","3.6","0.5","based on size and trophs of closest relative"
"Leptochilichthys microlepis","3.5","0.5","based on size and trophs of closest relative"
"Bajacalifornia arcylepis","3.4","0.5","based on size and trophs of closest relative"
"Bajacalifornia calcarata","3.5","0.5","based on size and trophs of closest relative"
"Bajacalifornia megalops","3.5","0.5","based on size and trophs of closest relative"
"Bathyprion danae","3.5","0.5","based on size and trophs of closest relative"
"Rouleina eucla","3.5","0.5","based on size and trophs of closest relative"
"Rouleina guentheri","3.4","0.5","based on size and trophs of closest relative"
"Rouleina maderensis","3.5","0.5","based on size and trophs of closest relative"
"Narcetes stomias","3.6","0.5","based on size and trophs of closest relative"
"Bathytroctes squamosus","3.5","0.5","based on size and trophs of closest relative"
"Bathytroctes zugmayeri","3.5","0.5","based on size and trophs of closest relative"
"Alepocephalus longiceps","3.5","0.2","based on size and trophs of closest relative"
"Talismania mekistonema","3.5","0.5","based on size and trophs of closest relative"
"Asquamiceps caeruleus","3.5","0.5","based on size and trophs of closest relative"
"Einara macrolepis","3.4","0.5","based on size and trophs of closest relative"
"Conocara kreffti","3.5","0.5","based on size and trophs of closest relative"
"Conocara microlepis","3.5","0.5","based on size and trophs of closest relative"
"Conocara murrayi","3.3","0.45","based on food items"
"Aulastomatomorpha phospherops","3.5","0.5","based on size and trophs of closest relative"
"Leptoderma affine","3.4","0.5","based on size and trophs of closest relative"
"Alepocephalus owstoni","3.6","0.2","based on size and trophs of closest relative"
"Alepocephalus longirostris","3.6","0.2","based on size and trophs of closest relative"
"Alepocephalus productus","3.6","0.2","based on size and trophs of closest relative"
"Alepocephalus triangularis","3.5","0.2","based on size and trophs of closest relative"
"Leptochilichthys pinguis","3.5","0.5","based on size and trophs of closest relative"
"Persparsia kopua","3.3","0.5","based on size and trophs of closest relative"
"Holtbyrnia laticauda","3.4","0.5","based on size and trophs of closest relative"
"Maulisia mauli","3.4","0.5","based on size and trophs of closest relative"
"Platytroctes apus","3.4","0.5","based on size and trophs of closest relative"
"Maulisia acuticeps","3.4","0.5","based on size and trophs of closest relative"
"Maulisia microlepis","3.4","0.5","based on size and trophs of closest relative"
"Normichthys yahganorum","3.4","0.5","based on size and trophs of closest relative"
"Latropiscis purpurissatus","4.0","0.66","based on food items"
"Hime curtirostris","3.9","0.6","based on size and trophs of closest relative"
"Hime pyrhistion","4.0","0.7","based on size and trophs of closest relative"
"Pseudotrichonotus belos","3.4","0.6","based on size and trophs of closest relative"
"Saurida undosquamis","4.5","0.4","based on diet studies"
"Trachinocephalus trachinus","4.2","0.7","based on size and trophs of closest relative"
"Synodus dermatogenys","4.2","0.7","based on diet studies"
"Synodus sageneus","4.1","0.7","based on size and trophs of closest relative"
"Saurida argentea","4.2","0.3","based on size and trophs of closest relative"
"Synodus similis","4.0","0.7","based on size and trophs of closest relative"
"Saurida elongata","4.5","0.8","based on diet studies"
"Synodus indicus","4.2","0.7","based on size and trophs of closest relative"
"Synodus hoshinonis","4.2","0.71","based on food items"
"Synodus kaianus","4.3","0.7","based on size and trophs of closest relative"
"Synodus macrops","4.0","0.7","based on size and trophs of closest relative"
"Saurida gracilis","4.2","0.4","based on diet studies"
"Saurida longimanus","4.1","0.3","based on size and trophs of closest relative"
"Synodus jaculum","4.0","0.7","based on size and trophs of closest relative"
"Bathysaurus ferox","4.3","0.69","based on food items"
"Synodus binotatus","4.0","0.7","based on size and trophs of closest relative"
"Synodus doaki","4.1","0.7","based on size and trophs of closest relative"
"Synodus variegatus","4.2","0.5","based on diet studies"
"Synodus rubromarmoratus","4.0","0.7","based on size and trophs of closest relative"
"Synodus tectus","3.8","0.7","based on size and trophs of closest relative"
"Saurida nebulosa","4.2","0.73","based on food items"
"Saurida tumbil","4.4","0.3","based on diet studies"
"Saurida wanieso","4.0","0.65","based on food items"
"Synodus oculeus","4.1","0.7","based on size and trophs of closest relative"
"Harpadon translucens","4.2","0.8","based on size and trophs of closest relative"
"Paraulopus nigripinnis","4.0","0.7","based on size and trophs of closest relative"
"Chlorophthalmus pectoralis","3.6","0.5","based on size and trophs of closest relative"
"Paraulopus longianalis","3.9","0.7","based on size and trophs of closest relative"
"Bathysauroides gigas","4.1","0.7","based on size and trophs of closest relative"
"Paraulopus melanostomus","4.2","0.7","based on size and trophs of closest relative"
"Paraulopus melanogrammus","4.1","0.7","based on size and trophs of closest relative"
"Bathysauropsis gracilis","3.4","0.5","based on size and trophs of closest relative"
"Paraulopus balteatus","4.2","0.7","based on size and trophs of closest relative"
"Paraulopus legandi","3.8","0.7","based on size and trophs of closest relative"
"Neoscopelus macrolepidotus","4.2","0.73","based on food items"
"Neoscopelus microchir","3.2","0.40","based on food items"
"Neoscopelus porosus","3.6","0.5","based on size and trophs of closest relative"
"Diaphus danae","3.3","0.3","based on diet studies"
"Lampanyctodes hectoris","3.2","0.24","based on food items"
"Ctenoscopelus phengodes","3.3","0.4","based on size and trophs of closest relative"
"Hygophum hygomii","3.0","0.00","based on food items"
"Scopelopsis multipunctatus","3.0","0.00","based on food items"
"Diaphus coeruleus","3.8","0.57","based on food items"
"Symbolophorus barnardi","3.1","0.30","based on food items"
"Diaphus perspicillatus","3.1","0.29","based on food items"
"Dasyscopelus asper","3.7","0.38","based on food items"
"Diaphus ostenfeldi","3.1","0.3","based on size and trophs of closest relative"
"Diaphus watasei","3.2","0.3","based on size and trophs of closest relative"
"Electrona subaspera","3.3","0.49","based on food items"
"Diaphus drachmanni","3.1","0.3","based on size and trophs of closest relative"
"Metelectrona ventralis","3.3","0.4","based on size and trophs of closest relative"
"Lampichthys procerus","3.2","0.4","based on size and trophs of closest relative"
"Gymnoscopelus piabilis","3.2","0.5","based on size and trophs of closest relative"
"Lampanyctus australis","3.3","0.4","based on diet studies"
"Lampanyctus intricarius","3.4","0.45","based on food items"
"Ceratoscopelus warmingii","3.4","0.53","based on food items"
"Notoscopelus resplendens","3.0","0.00","based on food items"
"Hygophum proximum","3.2","0.28","based on food items"
"Benthosema suborbitale","3.4","0.45","based on food items"
"Bolinichthys longipes","3.1","0.22","based on food items"
"Bolinichthys nikolayi","3.0","0.1","based on size and trophs of closest relative"
"Bolinichthys photothorax","3.0","0.00","based on food items"
"Bolinichthys supralateralis","3.1","0.1","based on size and trophs of closest relative"
"Centrobranchus nigroocellatus","3.4","0.45","based on food items"
"Diaphus anderseni","3.1","0.3","based on size and trophs of closest relative"
"Diaphus bertelseni","3.1","0.3","based on size and trophs of closest relative"
"Diaphus brachycephalus","3.1","0.3","based on size and trophs of closest relative"
"Diaphus effulgens","3.0","0.00","based on food items"
"Diaphus fragilis","3.1","0.16","based on food items"
"Diaphus luetkeni","3.8","0.55","based on food items"
"Diaphus meadi","3.0","0.00","based on food items"
"Diaphus metopoclampus","3.3","0.38","based on food items"
"Diaphus mollis","3.0","0.00","based on food items"
"Diaphus parri","3.1","0.3","based on size and trophs of closest relative"
"Diaphus splendidus","3.0","0.00","based on food items"
"Diaphus termophilus","3.1","0.3","based on size and trophs of closest relative"
"Diogenichthys atlanticus","3.1","0.25","based on food items"
"Electrona risso","3.4","0.45","based on food items"
"Gonichthys barnesi","3.2","0.4","based on size and trophs of closest relative"
"Hygophum hanseni","3.2","0.3","based on diet studies"
"Hygophum reinhardtii","3.2","0.31","based on food items"
"Lampadena notialis","3.2","0.2","based on size and trophs of closest relative"
"Lampanyctus alatus","3.2","0.32","based on food items"
"Lampanyctus ater","3.3","0.3","based on size and trophs of closest relative"
"Lampanyctus festivus","3.2","0.3","based on size and trophs of closest relative"
"Lampanyctus lepidolychnus","3.2","0.3","based on size and trophs of closest relative"
"Lampanyctus pusillus","3.4","0.45","based on food items"
"Lobianchia dofleini","3.0","0.11","based on food items"
"Lobianchia gemellarii","3.0","0.00","based on food items"
"Myctophum nitidulum","3.4","0.45","based on food items"
"Myctophum orientale","3.4","0.4","based on size and trophs of closest relative"
"Notolychnus valdiviae","3.1","0.20","based on food items"
"Symbolophorus evermanni","3.4","0.45","based on food items"
"Diaphus hudsoni","3.3","0.52","based on food items"
"Lampadena speculigera","3.2","0.2","based on size and trophs of closest relative"
"Lampanyctus macdonaldi","3.1","0.30","based on food items"
"Protomyctophum normani","3.3","0.49","based on food items"
"Protomyctophum subparallelum","3.2","0.5","based on size and trophs of closest relative"
"Taaningichthys bathyphilus","3.1","0.2","based on size and trophs of closest relative"
"Notoscopelus caudispinosus","3.2","0.1","based on size and trophs of closest relative"
"Triphoturus nigrescens","3.1","0.21","based on food items"
"Diaphus diadematus","3.1","0.3","based on size and trophs of closest relative"
"Diaphus kapalae","3.1","0.3","based on size and trophs of closest relative"
"Bolinichthys indicus","3.1","0.1","based on size and trophs of closest relative"
"Electrona paucirastra","3.3","0.46","based on food items"
"Benthosema fibulatum","3.2","0.33","based on food items"
"Benthosema pterotum","3.1","0.27","based on food items"
"Bolinichthys pyrsobolus","3.1","0.1","based on size and trophs of closest relative"
"Centrobranchus andreae","3.4","0.45","based on food items"
"Diaphus impostor","3.1","0.3","based on size and trophs of closest relative"
"Diaphus chrysorhynchus","3.0","0.3","based on size and trophs of closest relative"
"Diaphus garmani","3.1","0.3","based on size and trophs of closest relative"
"Diaphus jenseni","3.1","0.3","based on size and trophs of closest relative"
"Diaphus lucidus","3.0","0.00","based on food items"
"Diaphus malayanus","3.1","0.3","based on size and trophs of closest relative"
"Diaphus phillipsi","3.1","0.3","based on size and trophs of closest relative"
"Diaphus problematicus","3.0","0.00","based on food items"
"Diaphus regani","3.0","0.3","based on size and trophs of closest relative"
"Diaphus thiollierei","3.3","0.30","based on food items"
"Hygophum macrochir","3.2","0.3","based on size and trophs of closest relative"
"Lampadena chavesi","3.1","0.2","based on size and trophs of closest relative"
"Lampadena luminosa","3.2","0.2","based on size and trophs of closest relative"
"Lampadena urophaos","3.2","0.2","based on size and trophs of closest relative"
"Lampanyctus achirus","3.3","0.3","based on size and trophs of closest relative"
"Lampanyctus nobilis","3.1","0.28","based on food items"
"Loweina rara","3.2","0.4","based on size and trophs of closest relative"
"Dasyscopelus obtusirostris","3.6","0.4","based on size and trophs of closest relative"
"Dasyscopelus selenops","3.5","0.4","based on size and trophs of closest relative"
"Dasyscopelus spinosus","3.5","0.49","based on food items"
"Protomyctophum parallelum","3.3","0.5","based on size and trophs of closest relative"
"Symbolophorus boops","3.5","0.52","based on food items"
"Electrona carlsbergi","3.2","0.0","based on diet studies"
"Gymnoscopelus hintonoides","3.2","0.5","based on size and trophs of closest relative"
"Gymnoscopelus microlampas","3.0","0.00","based on food items"
"Metelectrona herwigi","3.2","0.45","based on food items"
"Bolinichthys distofax","3.1","0.1","based on size and trophs of closest relative"
"Electrona antarctica","3.2","0.4","based on diet studies"
"Bathypterois longifilis","4.0","0.44","based on food items"
"Bathypterois guentheri","3.5","0.5","based on size and trophs of closest relative"
"Bathypterois ventralis","3.4","0.4","based on size and trophs of closest relative"
"Bathypterois grallator","3.1","0.30","based on food items"
"Bathytyphlops marionae","3.3","0.45","based on food items"
"Bathymicrops regis","3.5","0.50","based on food items"
"Scopelosaurus ahlstromi","3.3","0.4","based on size and trophs of closest relative"
"Scopelosaurus meadi","3.3","0.4","based on size and trophs of closest relative"
"Luciosudis normani","3.3","0.4","based on size and trophs of closest relative"
"Scopelosaurus hamiltoni","3.4","0.40","based on food items"
"Scopelosaurus hoedti","3.3","0.4","based on size and trophs of closest relative"
"Scopelosaurus mauli","3.3","0.4","based on size and trophs of closest relative"
"Macroparalepis macrogeneion","4.4","0.6","based on size and trophs of closest relative"
"Lestidium nudum","4.2","0.6","based on size and trophs of closest relative"
"Lestidiops jayakari","4.2","0.7","based on size and trophs of closest relative"
"Magnisudis prionosa","4.5","0.80","based on food items"
"Arctozenus risso","3.2","0.0","based on diet studies"
"Lestidiops indopacificus","3.2","0.5","based on size and trophs of closest relative"
"Lestidium longilucifer","4.3","0.6","based on size and trophs of closest relative"
"Lestrolepis japonica","4.1","0.6","based on size and trophs of closest relative"
"Stemonosudis elegans","3.3","0.6","based on size and trophs of closest relative"
"Stemonosudis macrura","3.6","0.6","based on size and trophs of closest relative"
"Stemonosudis rothschildi","3.8","0.7","based on size and trophs of closest relative"
"Sudis hyalina","4.2","0.7","based on size and trophs of closest relative"
"Lestrolepis pofi","4.1","0.6","based on size and trophs of closest relative"
"Lestidium nigrirostrum","4.3","0.6","based on size and trophs of closest relative"
"Lestidiops mirabilis","4.5","0.7","based on size and trophs of closest relative"
"Omosudis lowii","4.3","0.64","based on food items"
"Alepisaurus ferox","4.0","0.2","based on diet studies"
"Alepisaurus brevirostris","3.8","0.61","based on food items"
"Anotopterus vorax","4.5","0.80","based on food items"
"Coccorella atlantica","4.4","0.57","based on food items"
"Evermannella balbo","4.2","0.73","based on food items"
"Evermannella indica","4.1","0.7","based on size and trophs of closest relative"
"Odontostomops normalops","4.3","0.60","based on food items"
"Benthalbella infans","4.5","0.80","based on food items"
"Rosenblattichthys alatus","3.9","0.7","based on size and trophs of closest relative"
"Scopelarchoides danae","4.2","0.8","based on size and trophs of closest relative"
"Scopelarchus analis","4.2","0.73","based on food items"
"Scopelarchus guentheri","4.2","0.7","based on size and trophs of closest relative"
"Scopelarchoides kreffti","4.4","0.8","based on size and trophs of closest relative"
"Cetostoma regani","3.4","0.45","based on food items"
"Rondeletia loricata","3.4","0.52","based on food items"
"Barbourisia rufa","3.3","0.41","based on food items"
"Ateleopus japonicus","4.2","0.73","based on food items"
"Gigantura chuni","4.2","0.73","based on food items"
"Gigantura indica","4.0","0.7","based on size and trophs of closest relative"
"Gonorynchus greyi","2.1","0.1","based on size and trophs of closest relative"
"Chanos chanos","2.6","0.18","based on food items"
"Netuma thalassina","3.5","0.2","based on diet studies"
"Netuma bilineata","3.8","0.49","based on food items"
"Plicofollis argyropleuron","3.8","0.2","based on diet studies"
"Amissidens hainesi","3.8","0.42","based on food items"
"Neoarius graeffei","3.6","0.2","based on diet studies"
"Neoarius leptaspis","4.2","0.0","based on diet studies"
"Hexanematichthys mastersi","3.4","0.40","based on food items"
"Netuma proxima","4.1","0.3","based on diet studies"
"Nemapteryx armiger","3.7","0.4","based on diet studies"
"Neoarius berneyi","3.1","0.44","based on food items"
"Plicofollis nella","3.7","0.3","based on size and trophs of closest relative"
"Cinetodus froggatti","3.2","0.44","based on food items"
"Hemiarius dioctes","3.8","0.4","based on size and trophs of closest relative"
"Cochlefelis insidiator","3.5","0.6","based on size and trophs of closest relative"
"Neoarius pectoralis","3.0","0.5","based on size and trophs of closest relative"
"Cnidoglanis macrocephalus","2.8","0.32","based on food items"
"Plotosus lineatus","3.6","0.3","based on diet studies"
"Euristhmus nudiceps","3.9","0.62","based on food items"
"Euristhmus lepturus","3.5","0.6","based on size and trophs of closest relative"
"Paraplotosus albilabris","3.4","0.54","based on food items"
"Euristhmus microceps","3.4","0.5","based on size and trophs of closest relative"
"Plotosus canius","3.8","0.4","based on diet studies"
"Tandanus bostocki","3.5","0.6","based on size and trophs of closest relative"
"Paraplotosus butleri","3.4","0.54","based on food items"
"Paraplotosus muelleri","3.4","0.54","based on food items"
"Euristhmus microphthalmus","3.1","0.5","based on size and trophs of closest relative"
"Euristhmus sandrae","3.4","0.5","based on size and trophs of closest relative"
"Batrachomoeus occidentalis","3.5","0.5","based on size and trophs of closest relative"
"Halophryne diemensis","3.7","0.56","based on food items"
"Batrachomoeus trispinosus","3.5","0.5","based on size and trophs of closest relative"
"Halophryne ocellatus","3.5","0.5","based on size and trophs of closest relative"
"Halophryne queenslandiae","3.5","0.5","based on size and trophs of closest relative"
"Batrachomoeus dahli","3.4","0.5","based on size and trophs of closest relative"
"Batrachomoeus dubius","3.6","0.5","based on size and trophs of closest relative"
"Batrachomoeus rubricephalus","3.5","0.5","based on size and trophs of closest relative"
"Aspasmogaster tasmaniensis","3.3","0.3","based on size and trophs of closest relative"
"Cochleoceps bassensis","3.2","0.3","based on size and trophs of closest relative"
"Creocele cardinalis","3.3","0.3","based on size and trophs of closest relative"
"Aspasmogaster costata","3.2","0.3","based on size and trophs of closest relative"
"Aspasmogaster liorhynchus","3.2","0.3","based on size and trophs of closest relative"
"Aspasmogaster occidentalis","3.2","0.3","based on size and trophs of closest relative"
"Alabes brevis","3.0","0.2","based on size and trophs of closest relative"
"Alabes dorsalis","3.4","0.3","based on size and trophs of closest relative"
"Alabes hoesei","3.2","0.3","based on size and trophs of closest relative"
"Alabes parvula","3.2","0.3","based on size and trophs of closest relative"
"Cochleoceps bicolor","3.3","0.3","based on size and trophs of closest relative"
"Cochleoceps orientalis","3.2","0.3","based on size and trophs of closest relative"
"Cochleoceps spatula","3.2","0.3","based on size and trophs of closest relative"
"Cochleoceps viridis","3.2","0.3","based on size and trophs of closest relative"
"Diademichthys lineatus","3.1","0.20","based on food items"
"Discotrema crinophilum","3.6","0.3","based on size and trophs of closest relative"
"Kopua kuiteri","3.1","0.3","based on size and trophs of closest relative"
"Lepadichthys sandaracatus","3.4","0.2","based on size and trophs of closest relative"
"Posidonichthys hutchinsi","3.0","0.2","based on size and trophs of closest relative"
"Lepadichthys caritus","3.2","0.2","based on size and trophs of closest relative"
"Lepadichthys frenatus","3.7","0.3","based on size and trophs of closest relative"
"Parvicrepis parvipinnis","3.1","0.3","based on size and trophs of closest relative"
"Alabes elongata","3.4","0.3","based on size and trophs of closest relative"
"Alabes gibbosa","3.4","0.3","based on size and trophs of closest relative"
"Alabes obtusirostris","3.2","0.3","based on size and trophs of closest relative"
"Alabes occidentalis","3.2","0.3","based on size and trophs of closest relative"
"Alabes scotti","3.2","0.3","based on size and trophs of closest relative"
"Alabes bathys","3.2","0.3","based on size and trophs of closest relative"
"Discotrema monogrammum","3.2","0.2","based on size and trophs of closest relative"
"Kopua nuimata","3.1","0.3","based on size and trophs of closest relative"
"Flexor incus","3.3","0.2","based on size and trophs of closest relative"
"Lophiomus setigerus","4.0","0.66","based on food items"
"Lophiodes triradiatus","4.5","0.8","based on size and trophs of closest relative"
"Lophiodes mutilus","4.2","0.73","based on food items"
"Lophiodes naresi","4.1","0.7","based on size and trophs of closest relative"
"Lophiodes endoi","4.5","0.8","based on size and trophs of closest relative"
"Lophiodes gracilimanus","4.0","0.7","based on size and trophs of closest relative"
"Thymichthys verrucosus","3.7","0.6","based on size and trophs of closest relative"
"Brachionichthys hirsutus","3.3","0.39","based on food items"
"Sympterichthys unipennis","3.4","0.6","based on size and trophs of closest relative"
"Sympterichthys politus","3.7","0.6","based on size and trophs of closest relative"
"Brachionichthys australis","3.6","0.6","based on size and trophs of closest relative"
"Brachiopsilus ziebelli","3.8","0.7","based on size and trophs of closest relative"
"Brachiopsilus dossenus","3.6","0.6","based on size and trophs of closest relative"
"Pezichthys amplispinus","3.4","0.6","based on size and trophs of closest relative"
"Pezichthys compressus","3.4","0.6","based on size and trophs of closest relative"
"Pezichthys eltanini","3.3","0.6","based on size and trophs of closest relative"
"Sympterichthys moultoni","3.4","0.6","based on size and trophs of closest relative"
"Echinophryne mitchellii","3.8","0.7","based on size and trophs of closest relative"
"Lophichthys boschmai","3.5","0.6","based on size and trophs of closest relative"
"Tathicarpus butleri","3.8","0.7","based on size and trophs of closest relative"
"Allenichthys glauerti","4.0","0.7","based on size and trophs of closest relative"
"Echinophryne crassispina","3.5","0.6","based on size and trophs of closest relative"
"Rhycherus filamentosus","4.0","0.7","based on size and trophs of closest relative"
"Lophiocharon trisignatus","3.9","0.7","based on size and trophs of closest relative"
"Antennarius hispidus","4.2","0.73","based on food items"
"Antennarius striatus","4.2","0.7","based on diet studies"
"Tetrabrachium ocellatum","4.2","0.73","based on food items"
"Abantennarius nummifer","4.2","0.73","based on food items"
"Kuiterichthys furcipilis","3.9","0.7","based on size and trophs of closest relative"
"Phyllophryne scortea","3.7","0.6","based on size and trophs of closest relative"
"Abantennarius analis","4.0","0.7","based on size and trophs of closest relative"
"Abantennarius coccineus","4.2","0.73","based on food items"
"Antennarius commerson","4.2","0.73","based on food items"
"Abantennarius dorehensis","4.3","0.7","based on size and trophs of closest relative"
"Antennarius pictus","4.4","0.8","based on size and trophs of closest relative"
"Abantennarius rosaceus","3.8","0.7","based on size and trophs of closest relative"
"Antennatus tuberosus","3.8","0.7","based on size and trophs of closest relative"
"Echinophryne reynoldsi","3.6","0.6","based on size and trophs of closest relative"
"Histiophryne bougainvilli","3.6","0.6","based on size and trophs of closest relative"
"Histrio histrio","3.9","0.63","based on food items"
"Rhycherus gloveri","3.9","0.7","based on size and trophs of closest relative"
"Antennarius maculatus","4.2","0.73","based on food items"
"Lophiocharon hutchinsi","3.5","0.6","based on size and trophs of closest relative"
"Dibrachichthys melanurus","3.5","0.6","based on size and trophs of closest relative"
"Histiophryne maggiewalker","3.6","0.6","based on size and trophs of closest relative"
"Porophryne erythrodactylus","3.6","0.6","based on size and trophs of closest relative"
"Antennarius randalli","3.8","0.7","based on size and trophs of closest relative"
"Chaunax endeavouri","4.1","0.7","based on size and trophs of closest relative"
"Chaunax penicillatus","4.2","0.7","based on size and trophs of closest relative"
"Chaunacops melanostomus","3.8","0.6","based on size and trophs of closest relative"
"Chaunacops spinosus","3.8","0.7","based on size and trophs of closest relative"
"Chaunacops coloratus","4.0","0.7","based on size and trophs of closest relative"
"Chaunax gomoni","4.0","0.7","based on size and trophs of closest relative"
"Halieutaea brevicauda","3.4","0.6","based on size and trophs of closest relative"
"Malthopsis bulla","3.3","0.5","based on size and trophs of closest relative"
"Dibranchus japonicus","3.4","0.6","based on size and trophs of closest relative"
"Halieutaea coccinea","3.3","0.6","based on size and trophs of closest relative"
"Halieutaea fumosa","3.4","0.6","based on size and trophs of closest relative"
"Coelophrys brevipes","3.2","0.5","based on size and trophs of closest relative"
"Halieutopsis bathyoreos","3.2","0.5","based on size and trophs of closest relative"
"Halieutopsis nudiventer","3.2","0.5","based on size and trophs of closest relative"
"Halicmetus reticulatus","3.3","0.5","based on size and trophs of closest relative"
"Halicmetus ruber","3.3","0.5","based on size and trophs of closest relative"
"Halieutopsis galatea","3.2","0.5","based on size and trophs of closest relative"
"Halieutopsis stellifera","3.2","0.5","based on size and trophs of closest relative"
"Halieutopsis simula","3.2","0.5","based on size and trophs of closest relative"
"Malthopsis provocator","3.2","0.5","based on size and trophs of closest relative"
"Malthopsis apis","3.2","0.5","based on size and trophs of closest relative"
"Malthopsis gigas","3.3","0.6","based on size and trophs of closest relative"
"Malthopsis mitrigera","3.3","0.5","based on size and trophs of closest relative"
"Dibranchus nasutus","3.3","0.6","based on size and trophs of closest relative"
"Halicmetus niger","3.3","0.5","based on size and trophs of closest relative"
"Coelophrys micropus","3.3","0.5","based on size and trophs of closest relative"
"Malthopsis asperata","3.3","0.5","based on size and trophs of closest relative"
"Coelophrys mollis","3.1","0.5","based on size and trophs of closest relative"
"Halieutopsis andriashevi","3.2","0.5","based on size and trophs of closest relative"
"Malthopsis mcgroutheri","3.2","0.5","based on size and trophs of closest relative"
"Melanocetus johnsonii","4.1","0.69","based on food items"
"Melanocetus murrayi","3.8","0.6","based on size and trophs of closest relative"
"Diceratias bispinosus","4.2","0.73","based on food items"
