"species","trophic_level","se","metric"
"Carcharhinus altimus","4.5","0.3","based on diet studies"
"Carcharhinus sorrah","4.2","0.5","based on diet studies"
"Carcharhinus tilstoni","4.2","0.6","based on diet studies"
"Hemigaleus australiensis","4.4","0.1","based on diet studies"
"Carcharhinus leucas","4.3","0.5","based on diet studies"
"Galeocerdo cuvier","4.5","0.0","based on diet studies"
"Carcharhinus brevipinna","4.2","0.6","based on diet studies"
"Rhizoprionodon taylori","4.5","0.0","based on diet studies"
"Carcharhinus macloti","4.2","0.4","based on diet studies"
"Carcharhinus amboinensis","4.3","0.5","based on diet studies"
"Carcharhinus albimarginatus","4.2","0.5","based on diet studies"
"Negaprion acutidens","4.1","0.6","based on diet studies"
"Carcharhinus amblyrhynchos","4.1","0.5","based on diet studies"
"Carcharhinus longimanus","4.2","0.4","based on diet studies"
"Carcharhinus amblyrhynchoides","4.2","0.6","based on diet studies"
"Carcharhinus cautus","4.3","0.3","based on diet studies"
"Carcharhinus fitzroyensis","4.1","0.6","based on size and trophs of closest relative"
"Carcharhinus melanopterus","3.9","0.4","based on diet studies"
"Rhizoprionodon oligolinx","4.1","0.55","based on food items"
"Triaenodon obesus","4.2","0.6","based on diet studies"
"Carcharhinus limbatus","4.4","0.4","based on diet studies"
"Glyphis glyphis","4.2","0.7","based on size and trophs of closest relative"
"Glyphis garricki","4.3","0.7","based on size and trophs of closest relative"
"Sphyrna lewini","4.1","0.5","based on diet studies"
"Sphyrna mokarran","4.3","0.5","based on diet studies"
"Eusphyra blochii","4.2","0.6","based on diet studies"
"Sphyrna zygaena","4.9","0.5","based on diet studies"
"Centrophorus moluccensis","4.3","0.70","based on food items"
"Dalatias licha","4.2","0.4","based on diet studies"
"Deania calceus","4.3","0.4","based on diet studies"
"Deania quadrispinosa","4.5","0.80","based on food items"
"Etmopterus lucifer","4.2","0.3","based on diet studies"
"Squalus megalops","4.3","0.3","based on diet studies"
"Squalus acanthias","4.4","0.4","based on diet studies"
"Centrophorus squamosus","4.5","0.3","based on diet studies"
"Centrophorus harrissoni","4.3","0.3","based on size and trophs of closest relative"
"Centrophorus uyato","4.5","0.60","based on food items"
"Centroselachus crepidater","4.2","0.4","based on diet studies"
"Scymnodon macracanthus","4.5","0.59","based on food items"
"Isistius brasiliensis","4.3","0.3","based on diet studies"
"Etmopterus pusillus","4.2","0.4","based on diet studies"
"Squaliolus aliae","4.4","0.57","based on food items"
"Centroscymnus owstonii","4.5","0.62","based on food items"
"Etmopterus granulosus","4.2","0.2","based on diet studies"
"Etmopterus unicolor","4.0","0.3","based on diet studies"
"Centroscyllium kamoharai","3.8","0.3","based on size and trophs of closest relative"
"Centroscymnus coelolepis","4.5","0.1","based on diet studies"
"Etmopterus bigelowi","4.4","0.63","based on food items"
"Etmopterus fusus","4.0","0.5","based on size and trophs of closest relative"
"Etmopterus dianthus","4.1","0.5","based on size and trophs of closest relative"
"Etmopterus evansi","4.0","0.5","based on size and trophs of closest relative"
"Etmopterus dislineatus","4.2","0.5","based on size and trophs of closest relative"
"Etmopterus brachyurus","4.2","0.6","based on diet studies"
"Etmopterus molleri","4.2","0.5","based on size and trophs of closest relative"
"Euprotomicrus bispinatus","4.1","0.4","based on diet studies"
"Scymnodalatias albicauda","4.1","0.5","based on size and trophs of closest relative"
"Somniosus antarcticus","4.5","0.58","based on food items"
"Squalus notocaudatus","4.2","0.3","based on size and trophs of closest relative"
"Squalus albifrons","4.3","0.4","based on size and trophs of closest relative"
"Squalus crassispinus","4.2","0.3","based on size and trophs of closest relative"
"Squalus nasutus","4.2","0.3","based on size and trophs of closest relative"
"Squalus grahami","4.3","0.3","based on size and trophs of closest relative"
"Zameus squamulosus","4.0","0.60","based on food items"
"Isistius plutodus","4.2","0.4","based on size and trophs of closest relative"
"Squalus edmundsi","4.3","0.4","based on size and trophs of closest relative"
