id,imcra_names,imcra_codes
37012002,Central Eastern Shelf Transition,39
37012002,Northeast Shelf Province,40
37012002,Southern Province,8
37012001,Tasmania Province,10
37012001,Southeast Transition,11
37012001,Central Eastern Province,12
37012001,Tasman Basin Province,13
37012001,Timor Province,2
37012001,Northwest Transition,3
37012001,Northwest Province,4
37012001,Central Western Transition,5
37012001,Central Western Province,6
37012001,Southwest Transition,7
37012001,Southern Province,8
37012001,West Tasmania Transition,9
37465022,Lord Howe Province,14
37465022,Northern Shelf Province,25
37465022,Northwest Shelf Transition,26
37465022,Northwest Shelf Province,27
37465022,Central Western Shelf Transition,28
37465022,Central Western Shelf Province,29
37465022,Southwest Shelf Transition,30
37465022,Southwest Shelf Province,31
37465022,Central Eastern Shelf Province,38
37465022,Central Eastern Shelf Transition,39
37465022,Northeast Shelf Province,40
37465022,Northeast Shelf Transition,41
37465045,Timor Province,2
37465045,Cocos (Keeling) Island Province,22
37465045,Christmas Island Province,23
37465045,Northern Shelf Province,25
37465045,Northwest Shelf Transition,26
37465045,Northwest Shelf Province,27
37465045,Central Western Shelf Transition,28
37465045,Central Western Shelf Province,29
37465045,Northwest Transition,3
37465045,Southwest Shelf Transition,30
37465045,Central Eastern Shelf Province,38
37465045,Central Eastern Shelf Transition,39
37465045,Northeast Shelf Province,40
37465045,Northeast Shelf Transition,41
37465046,Timor Province,2
37465046,Christmas Island Province,23
37465046,Northwest Transition,3
37465046,Central Eastern Shelf Transition,39
37465046,Northeast Shelf Province,40
37465046,Northeast Shelf Transition,41
37446012,Northeast Province,18
37446012,Northeast Transition,19
37446012,Cape Province,20
37310004,Northeast Shelf Province,40
37310011,Northern Shelf Province,25
37310011,Northwest Shelf Transition,26
37310011,Northeast Shelf Province,40
37310011,Northeast Shelf Transition,41
37310012,Southeast Shelf Transition,37
37310012,Central Eastern Shelf Province,38
37310012,Central Eastern Shelf Transition,39
37310018,Southeast Shelf Transition,37
37310018,Central Eastern Shelf Province,38
37310018,Central Eastern Shelf Transition,39
37310005,Northern Shelf Province,25
37310005,Northwest Shelf Transition,26
37310005,Northeast Shelf Province,40
37310005,Northeast Shelf Transition,41
37310002,Northern Shelf Province,25
37310002,Northwest Shelf Transition,26
37310002,Northwest Shelf Province,27
37310002,Central Western Shelf Transition,28
37310002,Central Western Shelf Province,29
37310002,Northeast Shelf Transition,41
37296041,Central Eastern Shelf Province,38
37296041,Central Eastern Shelf Transition,39
37296041,Northeast Shelf Province,40
37296041,Northeast Shelf Transition,41
37374002,Northeast Transition,19
37374002,Cape Province,20
37374002,Cocos (Keeling) Island Province,22
37374002,Christmas Island Province,23
37374002,Northwest Shelf Province,27
37374002,Central Western Shelf Transition,28
37374002,Central Eastern Shelf Transition,39
37374002,Northeast Shelf Province,40
37374002,Northeast Shelf Transition,41
