caab_code,imcra_region
37380004,Timor Transition
37380004,Central Eastern Shelf Transition
37380004,Northeast Shelf Province
37380004,Northeast Shelf Transition
37372015,Northeast Province
37372015,Northeast Transition
37372015,Timor Province
37372015,Cape Province
37372015,Northwest Shelf Transition
37372015,Northeast Shelf Province
37372015,Northeast Shelf Transition
37441024,Timor Transition
37441024,Central Eastern Province
37441024,Tasman Basin Province
37441024,Lord Howe Province
37441024,Central Eastern Transition
37441024,Kenn Transition
37441024,Kenn Province
37441024,Northeast Province
37441024,Northeast Transition
37441024,Timor Province
37441024,Cape Province
37441024,Norfolk Island Province
37441024,Cocos (Keeling) Island Province
37441024,Christmas Island Province
37441024,Northern Shelf Province
37441024,Northwest Shelf Transition
37441024,Northwest Shelf Province
37441024,Northwest Transition
37441024,Northwest Province
37428030,Bass Strait Shelf Province
37428030,Central Eastern Shelf Province
37228062,Northwest Province
37353004,Southeast Shelf Transition
37353004,Central Eastern Shelf Province
37353004,Central Eastern Shelf Transition
37353004,Northeast Shelf Province
37353003,Central Western Shelf Province
37353003,Southwest Shelf Transition
37353003,Southwest Shelf Province
37353003,Great Australian Bight Shelf Transition
37353003,Spencer Gulf Shelf Province
37353003,Western Bass Strait Shelf Transition
37353003,Bass Strait Shelf Province
37353003,Tasmanian Shelf Province
37353003,Southeast Shelf Transition
37353012,Northern Shelf Province
37353012,Northwest Shelf Transition
37353012,Northwest Shelf Province
37353012,Central Western Shelf Transition
37353012,Central Western Shelf Province
37353011,Northern Shelf Province
37353011,Northwest Shelf Transition
37353011,Northeast Shelf Province
37353011,Northeast Shelf Transition
37353014,Northern Shelf Province
37353014,Northwest Shelf Transition
37353014,Northwest Shelf Province
37353014,Central Western Shelf Transition
37353014,Central Western Shelf Province
37290017,Northern Shelf Province
37290017,Northwest Shelf Transition
37290017,Northwest Shelf Province
37290017,Central Western Shelf Transition
37290017,Central Western Shelf Province
37290017,Southwest Shelf Transition
37290017,Central Eastern Shelf Transition
37290017,Northeast Shelf Province
37290017,Northeast Shelf Transition
37466024,Northeast Shelf Transition
37437004,Northeast Province
37437004,Northeast Shelf Province
37437005,Northeast Province
37437005,Northeast Shelf Province
37437005,Northeast Shelf Transition
37437006,Timor Province
37437006,Christmas Island Province
