"synonym","unacceptreason","aphiaid","scientific"
"Prosopodasys leurynnis",NA,279482,"Acanthosphex leurynnis"
"Acanthostracion guineensis",NA,238343,"Acanthostracion guineense"
"Lactophrys guineensis",NA,238343,"Acanthostracion guineense"
"Ostracion guineense",NA,238343,"Acanthostracion guineense"
"Ostracion guineensis",NA,238343,"Acanthostracion guineense"
"Ostracion guineënsis",NA,238343,"Acanthostracion guineense"
"Lactophrys notacanthus",NA,127410,"Acanthostracion notacanthus"
"Ostracion notacanthus",NA,127410,"Acanthostracion notacanthus"
"Ostracion quadricornis notacanthus",NA,127410,"Acanthostracion notacanthus"
"Acanthostracion poligonos","misspelling",1577312,"Acanthostracion polygonium"
"Acanthostracion polygonia","misspelling",1577312,"Acanthostracion polygonium"
"Acanthostracion polygonius",NA,1577312,"Acanthostracion polygonium"
"Lactophrys polygonia",NA,1577312,"Acanthostracion polygonium"
"Lactophrys polygonius","misspelling",1577312,"Acanthostracion polygonium"
"Lactophrys saxatilis",NA,1577312,"Acanthostracion polygonium"
"Acanthostracion tricornis",NA,158920,"Acanthostracion quadricornis"
"Lactophrys quadricornis",NA,158920,"Acanthostracion quadricornis"
"Lactophrys tricornis",NA,158920,"Acanthostracion quadricornis"
"Ostracion quadricornis",NA,158920,"Acanthostracion quadricornis"
"Ostracion tricornis",NA,158920,"Acanthostracion quadricornis"
"Acanthurus achillas","misspelling",272957,"Acanthurus achilles"
"Acanthurus aterrimus",NA,272957,"Acanthurus achilles"
"Hepatus achilles",NA,272957,"Acanthurus achilles"
"Hepatus aterrimus",NA,272957,"Acanthurus achilles"
"Teuthis achilles",NA,272957,"Acanthurus achilles"
"Teuthis aterrimus",NA,272957,"Acanthurus achilles"
"Hepatus bahianus",NA,159578,"Acanthurus bahianus"
"Teuthis bahianus",NA,159578,"Acanthurus bahianus"
"Acanthurus barine",NA,219637,"Acanthurus bariene"
"Acanthurus kingii",NA,219637,"Acanthurus bariene"
"Acanthurus nummifer",NA,219637,"Acanthurus bariene"
"Hepatus bariene",NA,219637,"Acanthurus bariene"
"Rhombotides nummifer",NA,219637,"Acanthurus bariene"
"Acanthurus chirurgicus","misspelling",159580,"Acanthurus chirurgus"
"Acanthurus phlebotomus",NA,159580,"Acanthurus chirurgus"
"Chaetodon chirurgus",NA,159580,"Acanthurus chirurgus"
"Acanthurus brevis",NA,159581,"Acanthurus coeruleus"
"Acanthurus broussonnetii",NA,159581,"Acanthurus coeruleus"
"Acanthurus caeruleus","misspelling",159581,"Acanthurus coeruleus"
"Acanthurus coerulus","misspelling",159581,"Acanthurus coeruleus"
"Acanthurus heliodes","misspelling",159581,"Acanthurus coeruleus"
"Acanthurus violaceus",NA,159581,"Acanthurus coeruleus"
"Acronurus caeruleatus",NA,159581,"Acanthurus coeruleus"
"Hepatus caeruleus","misspelling",159581,"Acanthurus coeruleus"
"Hepatus pawnee",NA,159581,"Acanthurus coeruleus"
"Teuthis coeruleus",NA,159581,"Acanthurus coeruleus"
"Teuthis helioides",NA,159581,"Acanthurus coeruleus"
"Acanthurus dussumiere","misspelling",219641,"Acanthurus dussumieri"
"Acanthurus dussumierri","misspelling",219641,"Acanthurus dussumieri"
"Acanthurus lamarrii",NA,219641,"Acanthurus dussumieri"
"Acanthurus undulatus",NA,219641,"Acanthurus dussumieri"
"Hepatus dussumieri",NA,219641,"Acanthurus dussumieri"
"Rhombotides dussumieri",NA,219641,"Acanthurus dussumieri"
"Rhombotides lamarrii",NA,219641,"Acanthurus dussumieri"
"Teuthis dussumieri",NA,219641,"Acanthurus dussumieri"
"Acanthurus gahm","misspelling",219636,"Acanthurus gahhm"
"Chaetodon nigrofuscus gahhm",NA,219636,"Acanthurus gahhm"
"Harpurus guttatus",NA,219650,"Acanthurus guttatus"
"Hepatus guttatus",NA,219650,"Acanthurus guttatus"
"Rhombotides guttatus",NA,219650,"Acanthurus guttatus"
"Teuthis guttatus",NA,219650,"Acanthurus guttatus"
"Zabrasoma guttatus",NA,219650,"Acanthurus guttatus"
"Acanthurus japonica","misspelling",272962,"Acanthurus japonicus"
"Acanthurus japonicas","misspelling",272962,"Acanthurus japonicus"
"Hepatus aliala japonicus",NA,272962,"Acanthurus japonicus"
"Acanthurus leucochilus",NA,219629,"Acanthurus leucocheilus"
"Acanthurus leuocheilus","misspelling",219629,"Acanthurus leucocheilus"
"Acanthurus leuococheilus","misspelling",219629,"Acanthurus leucocheilus"
"Acanthurus melanosternon",NA,219629,"Acanthurus leucocheilus"
"Hepatus leucopareius",NA,219624,"Acanthurus leucopareius"
"Hepatus umbra",NA,219624,"Acanthurus leucopareius"
"Teuthis bishopi",NA,219624,"Acanthurus leucopareius"
"Teuthis leucopareius",NA,219624,"Acanthurus leucopareius"
"Teuthis umbra",NA,219624,"Acanthurus leucopareius"
"Acanthurus delisiani",NA,219628,"Acanthurus leucosternon"
"Acanthurus delisianus",NA,219628,"Acanthurus leucosternon"
"Acanthurus leucosternum","misspelling",219628,"Acanthurus leucosternon"
"Hepatus leucosternon",NA,219628,"Acanthurus leucosternon"
"Rhombotides leucosternon",NA,219628,"Acanthurus leucosternon"
"Acanthurus vittatus",NA,159582,"Acanthurus lineatus"
"Chaetodon lineatus",NA,159582,"Acanthurus lineatus"
"Ctenodon lineatus",NA,159582,"Acanthurus lineatus"
"Harpurus lineatus",NA,159582,"Acanthurus lineatus"
"Hepatus lineatus",NA,159582,"Acanthurus lineatus"
"Rhombotides lineatus",NA,159582,"Acanthurus lineatus"
"Teuthis lineatus",NA,159582,"Acanthurus lineatus"
"Hepatus maculiceps",NA,272963,"Acanthurus maculiceps"
"Acanthurus aurolineatus",NA,219651,"Acanthurus mata"
"Acanthurus bleekeri",NA,219651,"Acanthurus mata"
"Acanthurus weberi",NA,219651,"Acanthurus mata"
"Chaetodon mata",NA,219651,"Acanthurus mata"
"Chaetodon meta","misspelling",219651,"Acanthurus mata"
"Hepatus weberi",NA,219651,"Acanthurus mata"
"Acanthurus monrovie",NA,126750,"Acanthurus monroviae"
"Teuthis munroviae",NA,126750,"Acanthurus monroviae"
"Acanthurus aliala",NA,219638,"Acanthurus nigricans"
"Acanthurus glaucoparecius","misspelling",219638,"Acanthurus nigricans"
"Acanthurus glaucopareius",NA,219638,"Acanthurus nigricans"
"Chaetodon nigricans",NA,219638,"Acanthurus nigricans"
"Hepatus aliala",NA,219638,"Acanthurus nigricans"
"Acanthurus gahm nigricauda",NA,219626,"Acanthurus nigricauda"
"Acanthurus nigricauada",NA,219626,"Acanthurus nigricauda"
"Acanthurus nigricaudus","misspelling",219626,"Acanthurus nigricauda"
"Acanthurus fuliginosus",NA,219640,"Acanthurus nigrofuscus"
"Acanthurus lineolatus",NA,219640,"Acanthurus nigrofuscus"
"Acanthurus matoides",NA,219640,"Acanthurus nigrofuscus"
"Acanthurus rubropunctatus",NA,219640,"Acanthurus nigrofuscus"
"Chaetodon nigrofuscus",NA,219640,"Acanthurus nigrofuscus"
"Ctenodon rubropunctatus",NA,219640,"Acanthurus nigrofuscus"
"Hepatus fuliginosus",NA,219640,"Acanthurus nigrofuscus"
"Hepatus lineolatus",NA,219640,"Acanthurus nigrofuscus"
"Hepatus lucillae",NA,219640,"Acanthurus nigrofuscus"
"Teuthis lucillae",NA,219640,"Acanthurus nigrofuscus"
"Acanthurus atramentatus",NA,219642,"Acanthurus nigroris"
"Acanthurus bipunctatus",NA,219642,"Acanthurus nigroris"
"Acanthurus nigros",NA,219642,"Acanthurus nigroris"
"Hepatus atramentatus",NA,219642,"Acanthurus nigroris"
"Teuthis atrimentatus",NA,219642,"Acanthurus nigroris"
"Harpurina nubilus",NA,272964,"Acanthurus nubilus"
"Hepatus nubilus",NA,272964,"Acanthurus nubilus"
"Acanthurus chrysosoma",NA,219625,"Acanthurus olivaceus"
"Acanthurus eparai","junior synonym",219625,"Acanthurus olivaceus"
"Acanthurus eparei",NA,219625,"Acanthurus olivaceus"
"Acanthurus erythromelas",NA,219625,"Acanthurus olivaceus"
"Acanthurus humeralis",NA,219625,"Acanthurus olivaceus"
"Acanthurus olicaceous",NA,219625,"Acanthurus olivaceus"
"Ctenodon erythromelas","synonym",219625,"Acanthurus olivaceus"
"Harpurus paroticus",NA,219625,"Acanthurus olivaceus"
"Hepatus chrysosoma",NA,219625,"Acanthurus olivaceus"
"Hepatus olivaceus",NA,219625,"Acanthurus olivaceus"
"Rhombotides olivaceus",NA,219625,"Acanthurus olivaceus"
"Rhombotides xanthosoma",NA,219625,"Acanthurus olivaceus"
"Teuthis olivaceus",NA,219625,"Acanthurus olivaceus"
"Acanthurus triostegus polyzona",NA,219652,"Acanthurus polyzona"
"Rhombotides polyzona",NA,219652,"Acanthurus polyzona"
"Acanthurus armiger","synonym",219648,"Acanthurus pyroferus"
"Acanthurus celebicus",NA,219648,"Acanthurus pyroferus"
"Acanthurus fuscus",NA,219648,"Acanthurus pyroferus"
"Hepatus celebicus",NA,219648,"Acanthurus pyroferus"
"Hepatus pyriferus","misspelling",219648,"Acanthurus pyroferus"
"Hepatus pyroferus",NA,219648,"Acanthurus pyroferus"
"Rhombotides celebicus",NA,219648,"Acanthurus pyroferus"
"Acanthurus carinatus",NA,219649,"Acanthurus sohal"
"Aspisurus sohar","misspelling",219649,"Acanthurus sohal"
"Chaetodon sohal",NA,219649,"Acanthurus sohal"
"Chaetodon sohar","misspelling",219649,"Acanthurus sohal"
"Choetodon sohab","misspelling",219649,"Acanthurus sohal"
"Ctenodon ruppelii",NA,219649,"Acanthurus sohal"
"Acanthurus bicommatus","synonym",219632,"Acanthurus tennentii"
"Acanthurus plagiatus",NA,219632,"Acanthurus tennentii"
"Acanthurus tennenti","misspelling",219632,"Acanthurus tennentii"
"Acanthurus philippinus",NA,219646,"Acanthurus thompsoni"
"Hepatus philippinus",NA,219646,"Acanthurus thompsoni"
"Hepatus thompsoni",NA,219646,"Acanthurus thompsoni"
"Teuthis thompsoni",NA,219646,"Acanthurus thompsoni"
"Acronurus nigriculus",NA,301914,"Acanthurus tractus"
"Teuthis tractus",NA,301914,"Acanthurus tractus"
"Acanthurus hirudo",NA,219630,"Acanthurus triostegus"
"Acanthurus hirundo","junior synonym",219630,"Acanthurus triostegus"
"Acanthurus pentazona",NA,219630,"Acanthurus triostegus"
"Acanthurus sandvicensis",NA,219630,"Acanthurus triostegus"
"Acanthurus subarmatus",NA,219630,"Acanthurus triostegus"
"Acanthurus triastegus","misspelling",219630,"Acanthurus triostegus"
"Acanthurus triostegus marquesensis",NA,219630,"Acanthurus triostegus"
"Acanthurus triostegus sandvicensis","synonym",219630,"Acanthurus triostegus"
"Acanthurus triostegus triostegus",NA,219630,"Acanthurus triostegus"
"Acanthurus triostegust","misspelling",219630,"Acanthurus triostegus"
"Acanthurus zebra",NA,219630,"Acanthurus triostegus"
"Chaetodon couaga",NA,219630,"Acanthurus triostegus"
"Chaetodon triostegus",NA,219630,"Acanthurus triostegus"
"Harpurus fasciatus",NA,219630,"Acanthurus triostegus"
"Hepatus sandvicensis",NA,219630,"Acanthurus triostegus"
"Hepatus triostegus",NA,219630,"Acanthurus triostegus"
"Rhombotides pentazona",NA,219630,"Acanthurus triostegus"
"Rhombotides triostegus",NA,219630,"Acanthurus triostegus"
"Teuthis australis",NA,219630,"Acanthurus triostegus"
"Teuthis elegans",NA,219630,"Acanthurus triostegus"
"Teuthis sandvicensis",NA,219630,"Acanthurus triostegus"
"Teuthis triostegus",NA,219630,"Acanthurus triostegus"
"Teuthis troughtoni",NA,219630,"Acanthurus triostegus"
"Acanthurus crestonis",NA,219634,"Acanthurus xanthopterus"
"Acanthurus rasi",NA,219634,"Acanthurus xanthopterus"
"Acanthurus reticulatus",NA,219634,"Acanthurus xanthopterus"
"Hepatus aquilinus",NA,219634,"Acanthurus xanthopterus"
"Hepatus crestonis",NA,219634,"Acanthurus xanthopterus"
"Hepatus guntheri","misspelling",219634,"Acanthurus xanthopterus"
"Hepatus xanthopterus",NA,219634,"Acanthurus xanthopterus"
"Teuthis crestonis",NA,219634,"Acanthurus xanthopterus"
"Teuthis guentheri",NA,219634,"Acanthurus xanthopterus"
"Teuthis guentheri",NA,219634,"Acanthurus xanthopterus"
"Teuthis güntheri","misspelling",219634,"Acanthurus xanthopterus"
"Teuthis xanthopterus",NA,219634,"Acanthurus xanthopterus"
"Acanthopsis biaculeata",NA,1022744,"Acantopsis dialuzona"
"Acanthopsis choerorhynchus","misspelling",1022744,"Acantopsis dialuzona"
"Acanthopsis choirorhynchos","misspelling",1022744,"Acantopsis dialuzona"
"Acanthopsis choirorhynchus","misspelling",1022744,"Acantopsis dialuzona"
"Acanthopsis choirorrhynchus","misspelling",1022744,"Acantopsis dialuzona"
"Acantopsis biaculeata",NA,1022744,"Acantopsis dialuzona"
"Acantopsis choirorhynchos",NA,1022744,"Acantopsis dialuzona"
"Cobitis choirorhynchos","synonym",1022744,"Acantopsis dialuzona"
"Cobitis macrorhynchos",NA,1022744,"Acantopsis dialuzona"
"Acanthopsis spectabilis",NA,1420021,"Acantopsis spectabilis"
"Prostheacanthus spectabilis","synonym",1420021,"Acantopsis spectabilis"
"Capoeta tanganicae",NA,1018977,"Acapoeta tanganicae"
"Varicorhinus tanganicae","senior synonym",1018977,"Acapoeta tanganicae"
"Acara heckelii","synonym",1020157,"Acarichthys heckelii"
"Acara subocularis",NA,1020157,"Acarichthys heckelii"
"Acarichthys heckeli",NA,1020157,"Acarichthys heckelii"
"Acarichthys heckelli",NA,1020157,"Acarichthys heckelii"
"Geophagus thayeri","synonym",1020157,"Acarichthys heckelii"
"Acara cognatus","synonym",1026272,"Acaronia nassa"
"Acara nassa",NA,1026272,"Acaronia nassa"
"Acara unicolor","synonym",1026272,"Acaronia nassa"
"Apistogramma ambloplitoides",NA,1026272,"Acaronia nassa"
"Centrarchus rostratus","synonym",1026272,"Acaronia nassa"
"Amoya caninus","senior synonym",219372,"Acentrogobius caninus"
"Ctenogobius caninus",NA,219372,"Acentrogobius caninus"
"Gobius caninus",NA,219372,"Acentrogobius caninus"
"Gobius philipi",NA,219372,"Acentrogobius caninus"
"Gobius philippi","misspelling",219372,"Acentrogobius caninus"
"Radigobius caninus","misspelling",219372,"Acentrogobius caninus"
"Yongeichthys caninus",NA,219372,"Acentrogobius caninus"
"Amoya chlorostigmatoides",NA,278776,"Acentrogobius chlorostigmatoides"
"Creisson chlorostigmatoides",NA,278776,"Acentrogobius chlorostigmatoides"
"Gobius chlorostigmatoides",NA,278776,"Acentrogobius chlorostigmatoides"
"Aulopareia cyanomos",NA,278777,"Acentrogobius cyanomos"
"Gobius cyanomos",NA,278777,"Acentrogobius cyanomos"
"Gobius griseus",NA,278781,"Acentrogobius griseus"
"Amoya janthinopterus",NA,278782,"Acentrogobius janthinopterus"
"Creisson janthinopterus",NA,278782,"Acentrogobius janthinopterus"
"Gobius janthinopterus",NA,278782,"Acentrogobius janthinopterus"
"Gobius masoni",NA,278783,"Acentrogobius masoni"
"Amoya lopezi",NA,312541,"Acentrogobius moloanus"
"Amoya moloana","misspelling",312541,"Acentrogobius moloanus"
"Amoya moloanus",NA,312541,"Acentrogobius moloanus"
"Aparrius moloanus",NA,312541,"Acentrogobius moloanus"
"Ctenogobius moloanus",NA,312541,"Acentrogobius moloanus"
"Mindorogobius lopezi",NA,312541,"Acentrogobius moloanus"
"Amoya multifasciata",NA,367199,"Acentrogobius multifasciatus"
"Ctenogobius multifasciatus",NA,367199,"Acentrogobius multifasciatus"
"Rhinogobius multifasciatus",NA,367199,"Acentrogobius multifasciatus"
"Ctenogobius nebulosus",NA,312542,"Acentrogobius nebulosus"
"Ctenogobius petersenii",NA,312542,"Acentrogobius nebulosus"
"Gobius auchenotaenia",NA,312542,"Acentrogobius nebulosus"
"Gobius baliuroides",NA,312542,"Acentrogobius nebulosus"
"Gobius brevifilis",NA,312542,"Acentrogobius nebulosus"
"Gobius caninus africanus",NA,312542,"Acentrogobius nebulosus"
"Gobius caninus var. africana","synonym",312542,"Acentrogobius nebulosus"
"Gobius criniger decaryi",NA,312542,"Acentrogobius nebulosus"
"Gobius festivus",NA,312542,"Acentrogobius nebulosus"
"Gobius nebulosus",NA,312542,"Acentrogobius nebulosus"
"Gobius petersii",NA,312542,"Acentrogobius nebulosus"
"Rhinogobius baliuroides",NA,312542,"Acentrogobius nebulosus"
"Rhinogobius lungi",NA,312542,"Acentrogobius nebulosus"
"Rhinogobius nebulosus",NA,312542,"Acentrogobius nebulosus"
"Yongeichthys nebulosus",NA,312542,"Acentrogobius nebulosus"
"Acanthogobius pflaumi","misspelling",278785,"Acentrogobius pflaumii"
"Acentrogobius pflaumi","misspelling",278785,"Acentrogobius pflaumii"
"Amoya pflaumi","misspelling",278785,"Acentrogobius pflaumii"
"Amoya pflaumii",NA,278785,"Acentrogobius pflaumii"
"Gobius pflaumii",NA,278785,"Acentrogobius pflaumii"
"Rhinogobius pflaumi","misspelling",278785,"Acentrogobius pflaumii"
"Acentrogobius ferox",NA,219371,"Acentrogobius simplex"
"Gobius simplex",NA,219371,"Acentrogobius simplex"
"Amoya suluensis",NA,278787,"Acentrogobius suluensis"
"Ctenogobius suluensis",NA,278787,"Acentrogobius suluensis"
"Rhinogobius suluensis",NA,278787,"Acentrogobius suluensis"
"Aboma viganensis",NA,278788,"Acentrogobius viganensis"
"Amoya viganensis",NA,278788,"Acentrogobius viganensis"
"Gobius viganensis",NA,278788,"Acentrogobius viganensis"
"Acentrogobius sealei",NA,219369,"Acentrogobius viridipunctatus"
"Creisson sealei","synonym",219369,"Acentrogobius viridipunctatus"
"Ctenogobius viridipunctatus",NA,219369,"Acentrogobius viridipunctatus"
"Gobius chlorostigma",NA,219369,"Acentrogobius viridipunctatus"
"Gobius viridipunctatus",NA,219369,"Acentrogobius viridipunctatus"
"Heptapterus fissipinnis",NA,1605248,"Acentronichthys fissipinnis"
"Heptapterus leptos",NA,1010361,"Acentronichthys leptos"
"Atelurus germani",NA,217980,"Acentronura gracilissima"
"Hippocampus gracilissimus",NA,217980,"Acentronura gracilissima"
"Acentronura mossambica",NA,217979,"Acentronura tentaculata"
"Syngnathoides algensis",NA,217979,"Acentronura tentaculata"
"Acestridium colombiensis",NA,1525288,"Acestridium colombiense"
"Cynopotamus anomalus",NA,1466506,"Acestrocephalus anomalus"
"Xiphorhamphus anomalus",NA,1466506,"Acestrocephalus anomalus"
"Acestrocephalus bohlkei",NA,1012665,"Acestrocephalus boehlkei"
"Acestrocephalus ginesi",NA,1010237,"Acestrocephalus sardina"
"Charax sardina","synonym",1010237,"Acestrocephalus sardina"
"Cynopotamus sardina",NA,1010237,"Acestrocephalus sardina"
"Xiphorhamphus abbreviatus","synonym",1423173,"Acestrorhynchus abbreviatus"
"Salmo falcatus",NA,874265,"Acestrorhynchus falcatus"
"Salmo pulverulentus","synonym",874265,"Acestrorhynchus falcatus"
"Xiphorhamphus ferox","synonym",874265,"Acestrorhynchus falcatus"
"Hydrocyon falcirostris",NA,1417992,"Acestrorhynchus falcirostris"
"Xiphoramphus falcirostris","senior synonym",1417992,"Acestrorhynchus falcirostris"
"Xiphorhynchus falcirostris","senior synonym",1417992,"Acestrorhynchus falcirostris"
"Xiphorhamphus heterolepis","synonym",1423145,"Acestrorhynchus heterolepis"
"Xiphorhamphus lacustris",NA,1391243,"Acestrorhynchus lacustris"
"Acestorhynchus microlepis",NA,1010773,"Acestrorhynchus microlepis"
"Acestrorhynchus apurensis",NA,1010773,"Acestrorhynchus microlepis"
"Acestrorhynchus cachorro","synonym",1010773,"Acestrorhynchus microlepis"
"Acestrorhynchus guianensis","synonym",1010773,"Acestrorhynchus microlepis"
"Hydrocyon microlepis",NA,1010773,"Acestrorhynchus microlepis"
"Acanthorhodeus asmussi",NA,1020529,"Acheilognathus asmussii"
"Acanthorhodeus asmussii",NA,1020529,"Acheilognathus asmussii"
"Acanthorhodeus asmussii amurensis",NA,1020529,"Acheilognathus asmussii"
"Acheilognathus assmussii",NA,1020529,"Acheilognathus asmussii"
"Devario asmussii",NA,1020529,"Acheilognathus asmussii"
"Acanthorhodeus barbatulus",NA,1014925,"Acheilognathus barbatulus"
"Acheilognathus argenteus",NA,1014925,"Acheilognathus barbatulus"
"Acheilognathus shibatae","synonym",1014925,"Acheilognathus barbatulus"
"Achilognathus barbatulus","misspelling",1014925,"Acheilognathus barbatulus"
"Acheilognathus elongatus brevicaudatus",NA,1524136,"Acheilognathus brevicaudatus"
"Acheilognathus koreanus",NA,1467854,"Acheilognathus coreanus"
"Achilognathus coreanus",NA,1467854,"Acheilognathus coreanus"
"Acheilognathus brevianalis",NA,1017837,"Acheilognathus cyanostigma"
"Acanthorhodeus deignani","synonym",1014434,"Acheilognathus deignani"
"Acanthorhodeus elongatus","synonym",1017027,"Acheilognathus elongatus"
"Acanthorhodeus grahami",NA,1017027,"Acheilognathus elongatus"
"Acanthorhodeus fowleri",NA,1013567,"Acheilognathus gracilis"
"Acheilognathus gracilis gracilis","senior synonym",1013567,"Acheilognathus gracilis"
"Acheilognathus gracilis luchowensis","junior synonym",1013567,"Acheilognathus gracilis"
"Acheilognathus luchowensis","synonym",1013567,"Acheilognathus gracilis"
"Pseudoperilampus hondae",NA,1525907,"Acheilognathus hondae"
"Rhodeus hondae",NA,1525907,"Acheilognathus hondae"
"Acanthorhodeus hypselonotus",NA,1020565,"Acheilognathus hypselonotus"
"Achilognathus imberbis","misspelling",1421319,"Acheilognathus imberbis"
"Paracheilognathus imberbis","senior synonym",1421319,"Acheilognathus imberbis"
"Acheilognathus imtermebia",NA,1021973,"Acheilognathus intermedia"
"Capoeta intermedia",NA,1021973,"Acheilognathus intermedia"
"Pararhodeus kyphus",NA,1524301,"Acheilognathus kyphus"
"Acanthorhodeus longibarbatus",NA,1012622,"Acheilognathus longibarbatus"
"Achilognathus longipinnis",NA,1526167,"Acheilognathus longipinnis"
"Acanthorhodeus bergi","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus dicaeus","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus guichenoti","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus jeholicus","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus longispinnis","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus macropterus","synonym",279486,"Acheilognathus macropterus"
"Acanthorhodeus ngowyangi","synonym",279486,"Acheilognathus macropterus"
"Acheilognathus dicaeus",NA,279486,"Acheilognathus macropterus"
"Acheliognathus macropterus","misspelling",279486,"Acheilognathus macropterus"
"Paracheilognathus jeholicus",NA,279486,"Acheilognathus macropterus"
"Acheilognathus moriokae","synonym",279487,"Acheilognathus melanogaster"
"Paracheilognathus meridianus",NA,1014923,"Acheilognathus meridianus"
"Acheilognathus elongatus elongatus",NA,1523901,"Acheilognathus microphysa"
"Acheilognathus elongatus microphysa",NA,1523901,"Acheilognathus microphysa"
"Acanthorhodeus omeiensis",NA,1015521,"Acheilognathus omeiensis"
"Paracheilognathus peihoensis",NA,1017831,"Acheilognathus peihoensis"
"Acanthorhodeus polylepis",NA,1013561,"Acheilognathus polylepis"
"Acanthorhodeus dayeus",NA,1012621,"Acheilognathus polyspinus"
"Acanthorhodeus polyspinus","synonym",1012621,"Acheilognathus polyspinus"
"Acheilognathus rhombea",NA,1022001,"Acheilognathus rhombeus"
"Capoeta rhombea",NA,1022001,"Acheilognathus rhombeus"
"Paracheilognathus rhombeus","senior synonym",1022001,"Acheilognathus rhombeus"
"Acheilognathus lanceolata tabira","senior synonym",1017240,"Acheilognathus tabira"
"Acheilognathus tabira erythropterus",NA,1017240,"Acheilognathus tabira"
"Acheilognathus tabira jordani",NA,1017240,"Acheilognathus tabira"
"Acheilognathus tabira nakamurae",NA,1017240,"Acheilognathus tabira"
"Acheilognathus tabira tabira",NA,1017240,"Acheilognathus tabira"
"Acheilognathus tabira tohokuensis",NA,1017240,"Acheilognathus tabira"
"Paracheilognathus tabira",NA,1017240,"Acheilognathus tabira"
"Paracheilognathus tabira tabira","senior synonym",1017240,"Acheilognathus tabira"
"Acanthorhodeus taenianalis",NA,1026267,"Acheilognathus taenianalis"
"Acanthorhodeus macropterus tonkinensis","senior synonym",1013099,"Acheilognathus tonkinensis"
"Acanthorhodeus robustus",NA,1013099,"Acheilognathus tonkinensis"
"Acanthorhodeus tonkinensis","synonym",1013099,"Acheilognathus tonkinensis"
"Pseudoperilampus typus",NA,1021108,"Acheilognathus typus"
"Acheilognathus yarmatsutae",NA,1016025,"Acheilognathus yamatsutae"
"Achiroides melanorhijnchus","misspelling",279489,"Achiroides melanorhynchus"
"Achiroides melanorhinchus","misspelling",279489,"Achiroides melanorhynchus"
"Achiroides melanorhynchos","misspelling",279489,"Achiroides melanorhynchus"
"Eurypleura melanorhyncha",NA,279489,"Achiroides melanorhynchus"
"Plagusia melanorhynchus",NA,279489,"Achiroides melanorhynchus"
"Synaptura achira",NA,279489,"Achiroides melanorhynchus"
"Synaptura melanorhyncha",NA,279489,"Achiroides melanorhynchus"
"Achiropsetta heterolepis",NA,234676,"Achiropsetta tricholepis"
"Mancopsetta argentina",NA,234676,"Achiropsetta tricholepis"
"Mancopsetta tricholepis",NA,234676,"Achiropsetta tricholepis"
"Achirus maculipinnis gunteri",NA,279490,"Achirus achirus"
"Monochir punctifer",NA,279490,"Achirus achirus"
"Monochirus lineatus",NA,279490,"Achirus achirus"
"Pleuronectes achirus",NA,279490,"Achirus achirus"
"Achirus achirus declivis",NA,279491,"Achirus declivis"
"Solea klunzingeri",NA,279492,"Achirus klunzingeri"
"Pleuronectes lineatus",NA,279493,"Achirus lineatus"
"Pleuronectes nigricans",NA,279493,"Achirus lineatus"
"Solea mazatlana",NA,279494,"Achirus mazatlanus"
"Solea scutum",NA,279495,"Achirus scutum"
"Trinectes zebrinus",NA,279496,"Achirus zebrinus"
"Labrus gouldii",NA,279497,"Achoerodus gouldii"
"Platychoerops muelleri",NA,279497,"Achoerodus gouldii"
"Heterochoerops viridis",NA,279498,"Achoerodus viridis"
"Platychoerops badius",NA,279498,"Achoerodus viridis"
"Trochocopus unicolor",NA,279498,"Achoerodus viridis"
"Chondrostoma arcasii","senior synonym",1020903,"Achondrostoma arcasii"
"Leuciscus arcasii",NA,1020903,"Achondrostoma arcasii"
"Leucos arcasii",NA,1020903,"Achondrostoma arcasii"
"Rutilus arcasi","misspelling",1020903,"Achondrostoma arcasii"
"Rutilus arcasii",NA,1020903,"Achondrostoma arcasii"
"Rutilus rubilio arcasi",NA,1020903,"Achondrostoma arcasii"
"Chondrostoma occidentale",NA,1009317,"Achondrostoma occidentale"
"Chondrostoma macrolepidotum",NA,1009326,"Achondrostoma oligolepis"
"Chondrostoma oligolepis",NA,1009326,"Achondrostoma oligolepis"
"Leuciscus macrolepidotus",NA,1009326,"Achondrostoma oligolepis"
"Rutilus macrolepidotus",NA,1009326,"Achondrostoma oligolepis"
"Acipenser baeri","misspelling",233942,"Acipenser baerii"
"Acipenser baeri baicalensis",NA,233942,"Acipenser baerii"
"Acipenser baeri stenorrhynchus","misspelling",233942,"Acipenser baerii"
"Acipenser baerii baerii",NA,233942,"Acipenser baerii"
"Acipenser baerii baicalensis",NA,233942,"Acipenser baerii"
"Acipenser baerii baikalensis","misspelling",233942,"Acipenser baerii"
"Acipenser baerii stenorrhynchus",NA,233942,"Acipenser baerii"
"Acipenser baieri","misspelling",233942,"Acipenser baerii"
"Acipenser stenorrhynchus","synonym",233942,"Acipenser baerii"
"Acipenser stenorrhynchus baicalensis","synonym",233942,"Acipenser baerii"
"Acipenser brevirostris","misspelling",157869,"Acipenser brevirostrum"
"Accipenser fulvescens",NA,271694,"Acipenser fulvescens"
"Acipenser rubicundus",NA,271694,"Acipenser fulvescens"
