"synonym","unacceptreason","aphiaid","scientific"
"Acanthoclinus trilineatus",NA,279471,"Acanthoclinus littoreus"
"Blennius littoreus",NA,279471,"Acanthoclinus littoreus"
"Blennius quadridactylus",NA,279471,"Acanthoclinus littoreus"
"Taumakoides littoreus",NA,279471,"Acanthoclinus littoreus"
"Taumakoides marilynae",NA,279472,"Acanthoclinus marilynae"
"Taumakoides matti",NA,279473,"Acanthoclinus matti"
"Taumakoides rua",NA,279474,"Acanthoclinus rua"
"Botia nebulosa","synonym",1026425,"Acanthocobitis botia"
"Cobitis botia",NA,1026425,"Acanthocobitis botia"
"Nemacheilus botia",NA,1026425,"Acanthocobitis botia"
"Nemacheilus botia botia","senior synonym",1026425,"Acanthocobitis botia"
"Nemachilus botia",NA,1026425,"Acanthocobitis botia"
"Nemachilus botius",NA,1026425,"Acanthocobitis botia"
"Nemachilus mackenziei",NA,1026425,"Acanthocobitis botia"
"Neomacheilus botia",NA,1026425,"Acanthocobitis botia"
"Noemacheilus botia","senior synonym",1026425,"Acanthocobitis botia"
"Cobitis mooreh",NA,1026429,"Acanthocobitis mooreh"
"Cobitis moreh",NA,1026429,"Acanthocobitis mooreh"
"Nemacheilus aureus",NA,1026429,"Acanthocobitis mooreh"
"Nemacheilus botia aureus","junior synonym",1026429,"Acanthocobitis mooreh"
"Nemacheilus mooreh","senior synonym",1026429,"Acanthocobitis mooreh"
"Nemacheilus moreh",NA,1026429,"Acanthocobitis mooreh"
"Nemacheilus sinuatus",NA,1026429,"Acanthocobitis mooreh"
"Nemachilus sinuatus","junior synonym",1026429,"Acanthocobitis mooreh"
"Noemacheilus mooreh","senior synonym",1026429,"Acanthocobitis mooreh"
"Noemacheilus moreh",NA,1026429,"Acanthocobitis mooreh"
"Acanthocobitis pavonaceus",NA,1022515,"Acanthocobitis pavonacea"
"Cobitis pavonacea",NA,1022515,"Acanthocobitis pavonacea"
"Cobitis pavonaceous",NA,1022515,"Acanthocobitis pavonacea"
"Nemacheilus pavonaceus","senior synonym",1022515,"Acanthocobitis pavonacea"
"Nemachilus pavonaceous",NA,1022515,"Acanthocobitis pavonacea"
"Nemachilus pavonaceus",NA,1022515,"Acanthocobitis pavonacea"
"Noemacheilus pavonaceous",NA,1022515,"Acanthocobitis pavonacea"
"Noemacheilus pavonaceus","senior synonym",1022515,"Acanthocobitis pavonacea"
