"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C26-170",,"too big","Bothidae","Unknown","spp","1","206.08726",,"14046",,"27.0520672683532","153.295047854002","180.347115122355",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C29-183",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","523.01004",,"32454",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C29-185",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","454.06811",,"11131",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C29-186",,"too big","Clupeidae","Herklotsichthys","blackburni","5","100.99563",,"53478",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-030",,"too small","Echeneidae","Echeneis","naucrates","1","103.33516",,"20458",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-030",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","505.0134",,"31057",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-188",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","507.65038",,"40507",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-188",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","559.96199",,"40682",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-190",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","535.17004",,"7378",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C30-192",,"too big","Nemipteridae","Scolopsis","meridiana","1","200.18089",,"49815",,"34.5","195.5","230",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too small","Carangidae","Gnathanodon","speciosus","1","162.82215",,"6521",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too small","Carangidae","Gnathanodon","speciosus","1","173.94564",,"6556",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too small","Echeneidae","Echeneis","naucrates","1","139.93325",,"63498",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too big","Clupeidae","Herklotsichthys","blackburni","8","106.00665",,"947",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C32-032",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","586.05729",,"66161",,"74.7","423.3","498",,,,
