"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-014",,"species.not.observed.in.region.before","Carangidae","Trachinotus","botla",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-016","1","3D.point.measurement.over.rms","Cheloniidae","Chelonia","mydas",,,,"31454","2181.55147",,,,,"22.74234",,"39020002"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-016",,"too small","Echeneidae","Echeneis","naucrates","1","78.49785",,"19853",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-016",,"too big","Labridae","Stethojulis","bandanensis","1","128.98642",,"13313",,"22.5","127.5","150",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-016",,"too big","Pomacentridae","Pomacentrus","spp","1","86.4339",,"16925",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-016",,"too big","Pomacentridae","Unknown","spp","1","111.09746",,"47107",,"17.9579144869277","101.761515425924","119.719429912851",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"species.not.observed.in.region.before","Cheloniidae","Eretmochelys","imbricata",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Acanthuridae","Acanthurus","grammoptilus","2","368.67268",,"16186",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","346.48261",,"16208",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Pomacentridae","Pomacentrus","spp","2","80.17887",,"44628",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Siganidae","Siganus","virgatus","2","266.70775",,"80447",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Siganidae","Siganus","virgatus","2","257.91566",,"80458",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Siganidae","Siganus","virgatus","2","258.98834",,"80472",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-017",,"too big","Siganidae","Siganus","virgatus","2","271.79991",,"80656",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,,,,,,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,"too small","Echeneidae","Echeneis","naucrates","1","156.41669",,"26396",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,"too small","Echeneidae","Echeneis","naucrates","1","104.21247",,"26399",,"165","935","1100",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,"too big","Haemulidae","Plectorhinchus","multivittatus","1","437.50525",,"66521",,"75","425","500",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-018",,"too big","Serranidae","Unknown","spp","1","490.71674",,"55952",,"62.6441632372917","354.983591677986","417.627754915278",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","116.74432",,"51722",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","116.42881",,"51884",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","136.2785",,"51907",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","139.41859",,"51956",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","136.25287",,"52181",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","132.19084",,"52200",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-020",,"too small","Lethrinidae","Lethrinus","nebulosus","1","113.62641",,"52401",,"141","799","940",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"species.not.observed.in.region.before","Cheloniidae","Chelonia","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","329.59213",,"42283",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","315.55583",,"42328",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","309.188",,"42348",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","392.90105",,"42398",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Labridae","Halichoeres","nebulosus","1","130.90377",,"42847",,"18","102","120",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Pomacentridae","Pomacentrus","spp","2","82.33545",,"22294",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Pomacentridae","Pomacentrus","spp","2","82.03837",,"22603",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Pomacentridae","Pomacentrus","spp","1","100.01068",,"22666",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-021",,"too big","Scombridae","Scomberomorus","spp","1","1381.53969",,"77264",,"179.7","1018.3","1198",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-026","1","length.measurement.over.rms","Nemipteridae","Pentapodus","vitta",,"118.39213",,"74335","608.76227",,,,,"43.34355","0.5901","37347022"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-026","1","length.measurement.over.rms","Scombridae","Scomberomorus","spp",,"1129.80599",,"76394","6832.40724",,,,,"243.10698","38.09779",
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-026","1","length.measurement.over.rms","Scombridae","Scomberomorus","spp",,"1112.3204",,"76605","7833.93481",,,,,"275.3215","65.89083",
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-026","1","3D.point.measurement.over.rms","Sphyrnidae","Sphyrna","lewini",,,,"34600","4689.8039",,,,,"142.31155",,"37019001"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-028-B",,"species.not.in.life.history.sheet","Pomacentridae","Chromis","sp1",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-028-B",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-028-B",,"too big","Labridae","Scarus","spp","1","439.70721",,"64708",,"70.5391305840534","399.721739976302","470.260870560356",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-028-B",,"too big","Lutjanidae","Lutjanus","russellii","1","469.95066",,"32003",,"75","425","500",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-028-B",,"too big","Pomacanthidae","Chaetodontoplus","duboulayi","1","308.16569",,"26919",,"42","238","280",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-029",,"too small","Pomacanthidae","Pomacanthus","spp","1","53.89989",,"75318",,"57.6","326.4","384",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-029",,"too small","Pomacanthidae","Pomacanthus","spp","1","45.69651",,"75726",,"57.6","326.4","384",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-029",,"too big","Chaetodontidae","Chelmon","marginalis","1","158.7342",,"49569",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-034",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","517.56274",,"80246",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-042",,,,,,,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-044",,,,,,,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-044",,"too big","Terapontidae","Amniataba","caudavittata","3","257.35533",,"67983",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-046",,"too big","Nemipteridae","Scaevius","milii","2","200.80699",,"27587",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-047",,"too big","Labridae","Unknown","spp","3","361.36518",,"23994",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-047",,"too big","Labridae","Unknown","spp","1","398.83448",,"24021",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-047",,"too big","Labridae","Unknown","spp","1","370.12007",,"24058",,"46.1680007483113","261.618670907098","307.786671655409",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-048",,"too big","Elopidae","Elops","spp","1","1056.05518",,"48059",,"178.5","1011.5","1190",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-049",,"species.not.observed.in.region.before","Elapidae","Aipysurus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-049",,"too big","Chaetodontidae","Chelmon","marginalis","1","154.34207",,"54270",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-051",,"species.not.observed.in.region.before","Elapidae","Aipysurus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-052","1","3D.point.without.a.number","Unknown","Unknown","unknown",,,,"40125",,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-053",,"species.not.observed.in.region.before","Elapidae","Aipysurus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-053",,"too big","Nemipteridae","Scaevius","milii","2","187.96848",,"74460",,"30","170","200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-053",,"stereo.maxn.does.not.equal.maxn","Sphyraenidae","Sphyraena","obtusata",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too small","Carangidae","Gnathanodon","speciosus","1","55.66359",,"60747",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Carangidae","Unknown","spp","1","862.46204",,"59851",,"117.679261380976","666.84914782553","784.528409206506",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Carangidae","Unknown","spp","1","836.91739",,"59978",,"117.679261380976","666.84914782553","784.528409206506",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Carangidae","Unknown","spp","1","754.90197",,"60029",,"117.679261380976","666.84914782553","784.528409206506",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Clupeidae","Unknown","spp","5","202.75382",,"11985",,"33.3069452745501","188.739356555784","222.046301830334",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Clupeidae","Unknown","spp","6","217.68283",,"12005",,"33.3069452745501","188.739356555784","222.046301830334",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Pomacentridae","Pomacentrus","spp","1","82.34138",,"29259",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Pomacentridae","Pomacentrus","spp","2","86.45582",,"29879",,"13.6699999968211","77.4633333153195","91.1333333121406",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Pseudochromidae","Unknown","spp","1","149.33462",,"22954",,"13.1972197693783","74.7842453598103","87.9814651291886",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-054",,"too big","Serranidae","Unknown","spp","1","372.57898",,"33349",,"62.6441632372917","354.983591677986","417.627754915278",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-055",,"species.not.in.life.history.sheet","Labridae","Scarus","sp3",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-055",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-055",,"too big","Chaetodontidae","Chaetodon","aureofasciatus","1","125.34354",,"6100",,"21","119","140",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-057",,"too big","Clupeidae","Herklotsichthys","blackburni","3","114.77113",,"8653",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-057",,"too big","Clupeidae","Herklotsichthys","blackburni","2","105.48901",,"8662",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-057",,"too big","Clupeidae","Herklotsichthys","blackburni","2","111.6927",,"8678",,"17.745","100.555","118.3",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-057",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","578.02151",,"42162",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-057",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","546.35184",,"42238",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-060",,"too big","Chaetodontidae","Chelmon","marginalis","1","159.20758",,"67408",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-005",,"too big","Tetraodontidae","Lagocephalus","lunaris","2","542.06661",,"23972",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-006",,"too big","Pinguipedidae","Parapercis","nebulosa","1","214.82067",,"78309",,"37.5","212.5","250",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-006",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","491.80784",,"27189",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-006",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","515.34098",,"27240",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-006",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","466.64308",,"27261",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-007",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-008",,"too big","Chaetodontidae","Chaetodon","aureofasciatus","3","123.40576",,"71806",,"21","119","140",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-008",,"too big","Pomacentridae","Abudefduf","bengalensis","3","153.83939",,"15602",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-010",,"species.not.in.life.history.sheet","Pomacentridae","Chromis","sp1",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-010",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-011",,"too big","Pinguipedidae","Parapercis","nebulosa","1","217.34671",,"38838",,"37.5","212.5","250",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPT-011",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","527.57354",,"63979",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,"1","period.wrong.length",,,,,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,,"stereo.maxn.does.not.equal.maxn","Lethrinidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,,"stereo.maxn.does.not.equal.maxn","Nemipteridae","Pentapodus","nagasakiensis",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,,"stereo.maxn.does.not.equal.maxn","Bothidae","Hyporhamphus","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,,"stereo.maxn.does.not.equal.maxn","Phoxocephalidae","Birubius","maamus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs",,,"stereo.maxn.does.not.equal.maxn","Muricidae","Murexsul","octogonus",,,,,,,,,,,,
