level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Sponges	Cup-likes	Cups	Incomplete cup / curled fan			10000918
Sponges	Cup-likes	Cups	Tables / discs			10000920
Sponges	Cup-likes	Tubes and chimneys				10000911
Sponges	Cup-likes					10000909
Sponges	Erect forms	Branching				10000915
Sponges	Erect forms	Laminar				10000913
Sponges	Erect forms	Palmate				10000914
Sponges	Erect forms	Simple				10000916
Sponges	Erect forms	Stalked				10000906
Sponges	Erect forms					10000912
Sponges	Massive forms	Balls				10000905
Sponges	Massive forms	Cryptic				10000908
Sponges	Massive forms	Simple				10000904
Sponges	Massive forms					10000903
Sponges						10000000
Unscorable						00000001
Worms	Acorn worms					36110000
Worms	Echiura					17020000
Worms	Flatworms					13000000
Worms	Penisworms					15400000
Worms	Polychaetes	Other polychaetes				22000902
Worms	Polychaetes	Tube worms				22000901
Worms	Polychaetes					22000000
Worms	Sipuncula					17000000
Worms						80600901
Substrate	Consolidated (hard)	Boulders				82001003
Substrate	Consolidated (hard)	Boulders			Veneer	82001003
Substrate	Consolidated (hard)	Boulders			Iceberg scour	82001003
Substrate	Consolidated (hard)	Boulders			Storm damage	82001003
Substrate	Consolidated (hard)	Boulders			Urchin barren	82001003
Substrate	Consolidated (hard)	Boulders			Turf mat	82001003
Substrate	Consolidated (hard)	Cobbles				82001004
Substrate	Consolidated (hard)	Cobbles			Veneer	82001004
Substrate	Consolidated (hard)	Cobbles			Iceberg scour	82001004
Substrate	Consolidated (hard)	Cobbles			Storm damage	82001004
Substrate	Consolidated (hard)	Cobbles			Urchin barren	82001004
Substrate	Consolidated (hard)	Cobbles			Turf mat	82001004
Substrate	Consolidated (hard)	Rock				82001002
Substrate	Consolidated (hard)	Rock			Veneer	82001002
Substrate	Consolidated (hard)	Rock			Iceberg scour	82001002
Substrate	Consolidated (hard)	Rock			Storm damage	82001002
Substrate	Consolidated (hard)	Rock			Urchin barren	82001002
Substrate	Consolidated (hard)	Rock			Turf mat	82001002
Substrate	Consolidated (hard)					82001001
Substrate	Consolidated (hard)				Veneer	82001001
Substrate	Consolidated (hard)				Iceberg scour	82001001
Substrate	Consolidated (hard)				Storm damage	82001001
Substrate	Consolidated (hard)				Urchin barren	82001001
Substrate	Consolidated (hard)				Turf mat	82001001
Substrate	Unconsolidated (soft)	Pebble / gravel				82001006
Substrate	Unconsolidated (soft)	Pebble / gravel			Veneer	82001006
Substrate	Unconsolidated (soft)	Pebble / gravel			Iceberg scour	82001006
Substrate	Unconsolidated (soft)	Pebble / gravel			Storm damage	82001006
Substrate	Unconsolidated (soft)	Pebble / gravel			Urchin barren	82001006
Substrate	Unconsolidated (soft)	Pebble / gravel			Turf mat	82001006
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic			82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic		Veneer	82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic		Iceberg scour	82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic		Storm damage	82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic		Urchin barren	82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Biologenic		Turf mat	82001007
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)			82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Veneer	82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Iceberg scour	82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Storm damage	82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Urchin barren	82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)		Turf mat	82001011
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)			82001012
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Veneer	82001012
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Iceberg scour	82001012
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Storm damage	82001012
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Urchin barren	82001012
Substrate	Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)		Turf mat	82001012
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)				82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Veneer	82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Iceberg scour	82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Storm damage	82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Urchin barren	82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)			Turf mat	82001013
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Veneer	82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Iceberg scour	82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Storm damage	82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Urchin barren	82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Turf mat	82001014
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)			82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Veneer	82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Iceberg scour	82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Storm damage	82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Urchin barren	82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)		Turf mat	82001015
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)			82001016
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Veneer	82001016
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Iceberg scour	82001016
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Storm damage	82001016
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Urchin barren	82001016
Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)		Turf mat	82001016
Substrate	Unconsolidated (soft)					82001005
Substrate	Unconsolidated (soft)				Veneer	82001005
Substrate	Unconsolidated (soft)				Iceberg scour	82001005
Substrate	Unconsolidated (soft)				Storm damage	82001005
Substrate	Unconsolidated (soft)				Urchin barren	82001005
Substrate	Unconsolidated (soft)				Turf mat	82001005
Substrate						82001000
Substrate					Veneer	82001000
Substrate					Iceberg scour	82001000
Substrate					Storm damage	82001000
Substrate					Urchin barren	82001000
Substrate					Turf mat	82001000
